Player,year,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Sam Young,2014,0,JUV,11,32.5,21.9,7.4,15.8,466.0,1.6,4.5,367.0,5.5,6.9,803.0,1.9,5.4,7.3,2.1,1.6,0.3,3.5,2.7
Tony Mitchell,2014,1,TREN,33,31.2,20.1,6.8,18.2,375.0,2.6,8.1,325.0,3.8,5.4,713.0,1.2,4.4,5.6,2.8,1.4,0.7,3.3,2.6
LaQuinton Ross,2014,0,PES,30,33.0,17.1,5.5,13.6,403.0,1.6,4.2,376.0,4.6,5.3,867.0,1.6,5.5,7.1,1.3,1.3,0.5,3.1,2.6
Allan Ray,2014,0,BOL,31,29.8,16.9,5.5,12.9,424.0,2.2,4.8,460.0,3.8,4.2,915.0,1.1,2.7,3.8,2.3,1.0,0.2,3.3,2.6
Dawan Robinson,2014,0,VAR,15,31.3,16.2,5.6,11.5,486.0,0.8,2.8,286.0,4.2,5.1,829.0,0.7,3.4,4.1,4.4,0.9,0.0,2.5,2.7
Chris Wright,2014,0,PES,15,32.3,16.1,5.9,14.8,396.0,0.7,2.7,268.0,3.6,5.1,711.0,1.3,2.6,3.9,3.4,1.5,0.1,2.7,2.2
Jeremy Hazell,2014,0,BOL,33,27.5,15.8,5.5,12.7,429.0,2.4,6.8,348.0,2.5,3.2,766.0,0.5,2.4,2.9,1.2,1.2,0.2,1.3,1.3
David Logan,2014,0,SAS,48,30.4,15.7,5.3,12.4,429.0,3.0,7.7,394.0,2.1,2.5,825.0,0.6,2.0,2.6,2.5,1.4,0.1,2.2,2.1
Kenny Hayes,2014,0,CRE,28,31.5,15.4,5.1,11.9,429.0,1.0,3.0,321.0,4.3,4.8,888.0,0.6,2.1,2.7,2.1,0.8,0.0,1.9,1.7
Dejan Ivanov,2014,0,JUV,24,27.7,15.4,5.7,10.5,544.0,0.6,1.9,326.0,3.4,4.6,730.0,3.6,2.8,6.4,2.0,1.0,0.3,1.8,2.3
Austin Freeman,2014,0,ORL,18,33.1,15.3,5.6,14.9,373.0,1.8,5.6,320.0,2.4,3.0,815.0,0.6,2.9,3.4,2.9,0.7,0.1,2.7,2.1
Adrian Banks,2014,0,AVE,30,30.6,15.3,4.9,10.1,488.0,0.8,2.2,358.0,4.7,5.7,814.0,0.5,2.1,2.6,2.7,0.8,0.0,2.5,1.5
Jerome Dyson,2014,0,SAS,47,29.4,15.2,4.8,13.1,362.0,1.6,6.0,270.0,4.0,5.2,772.0,1.0,3.0,3.9,4.1,2.0,0.0,3.3,3.1
C.J. Williams,2014,0,PIS,30,31.3,14.4,5.4,13.2,413.0,1.9,5.4,352.0,1.7,2.2,769.0,0.7,3.5,4.2,2.1,0.9,0.7,1.9,2.6
Marcus Denmon,2014,0,NBB,34,29.9,14.4,4.7,11.9,399.0,2.4,6.8,361.0,2.5,2.8,885.0,0.7,2.3,2.9,2.0,1.1,0.2,1.5,2.0
Darius Johnson-Odom,2014,0,CAN,35,31.7,14.4,5.1,10.8,472.0,1.4,4.0,357.0,2.7,4.1,669.0,0.5,2.9,3.4,4.1,0.9,0.1,2.9,2.1
Kyle Gibson,2014,0,ROM,19,30.2,14.2,4.5,12.5,357.0,2.5,7.6,333.0,2.7,3.0,895.0,0.7,1.8,2.5,2.1,0.7,0.1,1.7,2.4
Alessandro Gentile,2014,0,MIL,37,27.3,14.1,5.2,10.7,486.0,0.9,3.0,288.0,2.8,3.5,806.0,1.0,3.8,4.8,3.3,1.1,0.2,2.8,2.4
Phil Goss,2014,0,VEN,41,27.6,14.1,4.8,10.7,451.0,1.7,4.3,392.0,2.8,3.2,869.0,0.5,2.0,2.5,3.4,1.2,0.1,2.0,2.7
Hrvoje Peric,2014,0,VEN,42,27.0,14.1,5.6,11.2,504.0,1.0,3.1,321.0,1.8,2.5,710.0,1.5,3.9,5.4,2.2,1.0,0.6,1.9,2.7
Jacob Pullen,2014,0,NBB,29,29.4,14.0,4.6,10.9,424.0,2.1,5.9,363.0,2.7,3.6,748.0,0.3,2.1,2.4,3.1,0.9,0.0,2.1,1.8
Samardo Samuels,2014,0,MIL,40,24.5,14.0,5.1,8.5,601.0,0.2,0.7,286.0,3.6,5.0,706.0,2.3,4.2,6.4,2.0,0.5,0.7,2.3,2.2
MarShon Brooks,2014,0,MIL,40,23.3,13.6,4.8,10.3,468.0,1.9,5.0,372.0,2.1,2.9,718.0,0.9,2.4,3.3,2.0,0.8,0.4,1.5,1.6
Eric Maynor,2014,0,VAR,15,33.3,13.5,4.7,13.5,351.0,1.9,6.1,319.0,2.1,2.6,821.0,0.4,3.7,4.1,7.4,0.7,0.1,2.8,3.1
Metta World Peace,2014,0,CAN,13,23.2,13.4,4.8,11.5,423.0,2.2,5.4,400.0,1.5,2.5,606.0,1.4,2.6,4.0,1.3,1.5,0.3,2.5,2.5
Sek Henry,2014,0,ORL,24,33.3,13.3,4.8,10.6,455.0,1.6,4.1,388.0,2.1,3.1,676.0,0.8,3.6,4.4,3.4,1.2,0.3,2.9,2.6
James Mays,2014,0,NBB,30,25.1,13.3,5.1,9.8,517.0,0.2,1.1,188.0,3.0,5.2,581.0,3.7,5.5,9.2,0.8,0.6,0.5,2.0,2.8
Josh Owens,2014,0,TREN,34,28.5,13.3,5.9,9.9,598.0,0.0,0.0,0.0,1.4,2.6,552.0,2.9,3.5,6.4,1.0,0.8,0.4,2.0,2.1
Yakhouba Diawara,2014,0,VAR,24,31.3,13.2,4.3,12.1,359.0,1.7,6.0,283.0,2.8,4.2,670.0,1.4,2.8,4.2,2.0,0.9,0.1,2.4,2.8
Dominique Archie,2014,0,ORL,26,32.5,13.2,4.6,10.1,452.0,1.4,3.7,381.0,2.6,3.5,736.0,1.1,5.3,6.3,1.3,0.9,0.4,2.7,2.5
Cameron Clark,2014,0,CRE,28,29.5,13.0,5.0,12.3,409.0,0.7,2.4,279.0,2.2,3.1,705.0,1.6,5.5,7.1,1.0,1.2,0.5,1.8,2.8
Darius Lavrinovic,2014,0,REG,22,18.5,13.0,5.0,9.0,553.0,0.9,2.6,351.0,2.1,2.8,758.0,1.3,2.8,4.1,1.0,0.4,0.8,1.8,3.0
Christian Eyenga,2014,0,VAR,21,30.3,12.7,5.3,11.0,483.0,0.2,1.2,154.0,2.0,3.3,594.0,1.8,4.1,5.9,1.4,0.9,1.0,2.4,3.0
James Feldeine,2014,0,CAN,33,28.7,12.6,4.4,10.4,423.0,1.8,4.8,380.0,2.0,2.5,793.0,0.2,3.3,3.5,2.8,1.5,0.2,2.1,1.6
Luca Vitali,2014,0,CRE,27,31.5,12.5,3.5,8.0,438.0,1.3,3.5,379.0,4.1,4.7,874.0,1.0,4.7,5.6,5.7,1.1,0.1,2.9,2.9
Justin Harper,2014,0,AVE,29,26.9,12.4,5.2,10.9,483.0,1.0,2.8,375.0,0.9,1.1,781.0,2.0,2.9,4.9,1.0,0.6,0.3,1.9,2.8
Rakim Sanders,2014,0,SAS,42,26.0,12.3,4.5,10.3,435.0,1.6,4.2,384.0,1.6,2.9,561.0,1.7,2.2,3.9,1.3,1.0,0.4,2.0,2.3
Achille Polonara,2014,0,REG,49,32.1,12.1,4.4,9.4,472.0,1.6,4.3,367.0,1.7,2.7,629.0,2.2,6.0,8.2,1.6,1.0,0.8,1.1,1.9
Okaro White,2014,0,BOL,33,26.9,12.1,3.7,8.4,438.0,0.8,2.0,388.0,4.0,4.9,815.0,2.5,4.4,6.8,1.1,0.7,1.0,2.0,3.3
Andy Rautins,2014,0,VAR,28,32.0,12.0,3.9,10.2,379.0,3.0,7.7,395.0,1.3,1.5,814.0,0.3,4.3,4.6,2.3,1.0,0.1,2.4,3.0
Davide Pascolo,2014,0,TREN,33,27.8,12.0,4.9,9.2,538.0,0.3,1.3,262.0,1.8,2.2,795.0,2.8,4.8,7.6,1.8,1.2,1.0,1.3,2.0
Donell Taylor,2014,0,REG,10,24.0,11.9,4.6,10.1,455.0,1.9,4.6,413.0,0.8,1.1,727.0,0.6,3.3,3.9,1.7,1.2,0.2,1.2,2.1
Johndre Jefferson,2014,0,VAR,12,26.8,11.8,4.8,6.9,687.0,0.0,0.0,0.0,2.3,3.7,614.0,3.8,4.8,8.6,1.0,1.0,1.0,1.3,1.8
O.D. Anosike,2014,0,AVE,30,30.5,11.5,4.8,7.7,621.0,0.0,0.0,0.0,1.9,3.5,528.0,4.0,6.9,10.9,1.0,1.0,0.2,2.9,2.6
Edgar Sosa,2014,0,SAS,40,22.1,11.4,4.1,10.0,406.0,1.7,5.1,328.0,1.7,2.4,688.0,0.3,1.3,1.6,3.0,0.7,0.1,1.7,1.9
Rimantas Kaukenas,2014,0,REG,41,25.3,11.4,4.2,8.8,482.0,1.0,3.1,310.0,2.0,2.4,827.0,0.4,1.6,2.0,2.9,0.9,0.1,2.5,2.8
