#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Delonte Holland,0,VAR,15,37.7,25.0,8.9,19.4,460,2.0,6.4,313,5.1,7.2,713,1.7,3.1,4.7,2.2,1.9,0.2,3.5,2.5
2,Clay Tucker,0,TER,21,36.1,21.0,7.1,16.9,421,3.1,8.0,391,3.7,4.6,794,0.3,5.1,5.4,3.3,2.2,0.1,3.0,2.7
3,Morris Finley,0,SOLS,30,30.8,20.3,6.7,13.5,498,2.5,5.8,423,4.4,5.2,846,0.6,2.7,3.3,3.3,2.5,0.1,3.0,2.6
4,Devin Smith,0,AVE,39,29.0,18.7,7.2,13.8,525,2.1,5.7,362,2.1,2.7,790,1.5,3.8,5.3,1.7,2.2,0.7,2.5,3.0
5,Drake Diener,0,ORL,20,36.6,18.2,6.2,12.7,484,2.0,5.8,348,3.9,4.2,940,0.9,3.4,4.2,2.4,2.5,0.2,2.6,2.1
6,Jumaine Jones,0,SS,26,35.9,17.9,6.3,13.6,462,2.8,6.5,435,2.6,3.5,744,2.1,6.3,8.5,1.1,2.0,0.7,3.3,2.7
7,Danilo Gallinari,1,MIL,37,34.5,17.6,5.3,11.2,473,1.8,4.5,405,5.2,6.1,850,1.6,4.3,5.9,1.4,1.9,0.4,1.9,2.6
8,Romel Beck,0,ORL,15,29.1,17.5,6.7,12.9,523,1.5,4.2,349,2.5,2.8,905,0.6,1.9,2.5,0.9,1.4,0.3,2.0,2.4
9,Gianmarco Pozzecco,0,ORL,30,30.7,17.3,4.9,11.3,429,1.8,5.1,359,5.7,6.5,878,0.6,2.1,2.7,7.8,1.8,0.1,6.2,2.5
10,DaShaun Wood,0,CAN,38,34.0,16.9,5.8,11.7,492,1.6,3.6,428,3.9,5.0,774,0.6,2.4,3.0,3.3,2.7,0.1,3.1,2.7
