#,Player,MVP,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1,Joseph Forte,0,BOL,2,36.0,24.5,9.0,19.0,474,4.5,10.0,450,2.0,3.0,667,1.5,2.0,3.5,1.5,3.5,0.5,1.0,2.5
2,Michael Hicks,0,PES,33,32.9,18.2,6.7,13.4,499,1.6,4.0,397,3.3,3.9,837,1.5,4.0,5.5,0.9,2.1,0.2,3.2,3.4
3,Rashad Anderson,0,PAU,25,31.8,18.2,6.4,15.3,421,2.9,8.3,348,2.4,3.2,763,0.8,2.0,2.8,1.5,1.3,0.1,1.8,3.3
4,Andre Collins,0,FER,30,33.5,17.5,6.0,13.8,436,3.0,7.5,404,2.4,2.9,818,0.4,2.2,2.6,3.0,3.0,0.1,2.7,2.7
5,Rick Apodaca,0,FER,5,29.4,17.2,6.4,11.6,552,2.6,5.8,448,1.8,2.6,692,0.2,1.6,1.8,2.6,1.8,0.0,2.8,2.4
6,Guillermo Diaz,0,JUV,25,33.3,16.7,5.8,11.7,498,1.8,4.5,411,3.2,4.1,767,0.5,2.9,3.4,2.0,1.4,0.0,1.9,2.2
7,Jaycee Carroll,0,TER,34,27.9,15.9,5.9,11.7,508,2.1,4.6,465,1.9,2.3,833,1.6,3.0,4.6,1.1,1.4,0.1,1.9,2.1
8,David Hawkins,0,MIL,42,30.2,15.8,5.3,11.2,473,1.2,3.3,380,3.9,5.2,756,1.0,2.7,3.6,2.7,2.4,0.3,2.6,3.0
9,Ricky Minard,0,MON,28,32.3,15.6,5.6,12.6,442,1.1,3.3,330,3.4,4.7,727,1.3,3.1,4.4,1.4,2.8,0.1,2.0,2.6
10,Allan Ray,0,FER,15,29.7,15.5,4.7,10.7,444,1.1,2.9,364,5.0,5.9,843,1.1,4.1,5.2,2.0,2.5,0.3,3.3,2.7
11,Harold Jamison,0,FER,28,27.4,15.1,5.9,8.7,683,0.0,0.0,0,3.3,6.6,500,3.3,2.5,5.9,0.6,2.1,0.1,2.1,2.5
12,Joe Smith,0,BEI,39,29.4,14.9,4.5,10.4,435,2.4,6.2,379,3.5,4.2,846,0.5,1.4,1.9,3.7,1.4,0.0,2.4,3.1
13,Ibrahim Jaaber,0,ROM,35,30.4,14.9,5.5,10.3,535,1.9,4.7,405,2.0,2.8,724,0.9,2.4,3.4,2.6,2.5,0.3,2.2,2.4
14,Chris Levour Warren,0,AVE,28,31.7,14.8,5.0,11.7,425,1.8,4.8,366,3.1,3.9,798,1.5,3.4,4.9,2.0,1.3,0.3,2.6,2.8
15,Earl Boykins,0,BOL,35,30.7,14.6,4.7,10.7,434,1.1,2.8,374,4.3,5.0,851,0.6,2.0,2.5,3.6,1.7,0.0,3.2,2.0
16,Ramel Curry,0,PES,33,31.7,14.5,5.5,11.2,495,1.1,3.4,330,2.3,2.7,833,1.0,2.0,3.0,2.4,1.6,0.1,3.0,2.3
17,Kevinn Pinkney,0,CAN,30,28.5,14.2,5.4,8.9,605,0.8,2.4,333,2.6,3.7,705,2.7,4.5,7.2,0.5,1.2,0.5,2.2,3.5
18,Giuseppe Poeta,0,TER,33,30.3,14.2,4.3,9.3,464,0.8,2.4,359,4.7,6.0,779,0.4,1.9,2.3,4.2,1.6,0.0,2.8,2.4
19,Leroy Hurd,0,PES,31,29.1,14.1,5.4,11.0,488,1.4,3.6,378,2.0,3.4,596,1.6,2.9,4.5,0.9,2.1,0.4,2.0,2.7
20,Gary Neal,0,TREV,38,28.7,13.9,5.3,11.5,459,1.8,5.2,345,1.6,2.3,709,0.8,2.5,3.3,1.3,1.2,0.0,2.2,2.3
21,Andre Hutson,0,ROM,35,28.1,13.9,5.3,9.5,554,0.0,0.1,250,3.3,4.1,786,2.5,3.2,5.7,0.9,1.9,0.4,1.9,3.0
22,Stefano Mancinelli,0,BOL,30,33.5,13.8,5.4,11.5,474,1.5,4.5,343,1.4,2.0,700,1.2,3.1,4.3,1.9,1.6,0.5,2.1,2.4
23,Hector Romero,0,PAU,21,28.2,13.8,5.2,10.2,514,0.2,0.9,211,3.1,4.6,677,3.1,4.0,7.0,0.9,1.4,0.5,1.8,3.1
24,Kiwane Garris,0,MON,30,32.1,13.7,4.2,9.7,436,1.9,4.2,448,3.4,4.0,857,0.3,1.4,1.8,2.5,1.2,0.0,2.3,2.5
