Year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2006,Mens Sana 1871 Siena,1,1,1,44,41.2,87.9,30.0,61.1,491,9.0,22.8,398,18.8,25.4,743,9.9,23.7,33.6,12.8,14.0,2.7,14.6,22.2
2006,Virtus Bologna,1,1,0,46,40.4,81.8,29.3,60.9,480,8.8,23.3,376,14.5,20.4,712,9.1,21.8,31.0,12.5,12.0,2.0,14.9,24.9
2006,Fortituto Kontatto Bologna,0,0,0,34,40.3,81.3,29.0,61.4,472,7.0,20.9,336,16.2,22.3,726,10.1,23.3,33.3,11.3,10.4,3.2,15.1,21.6
2006,Edilnol Pallacanestro Biella,1,0,0,39,40.5,81.1,29.4,63.7,461,7.5,20.8,360,14.9,21.1,704,11.6,23.6,35.2,11.9,11.2,1.9,16.4,23.1
2006,Banca Tercas Teramo,0,0,0,34,40.0,81.1,28.5,62.3,458,6.3,20.2,313,17.7,23.8,745,9.9,22.8,32.7,12.9,11.7,1.4,14.7,22.4
2006,Pallalcesto Amatori Udine,0,0,0,34,40.0,81.0,27.5,59.8,460,9.6,25.1,384,16.3,21.7,752,8.5,23.1,31.7,12.1,9.6,2.6,15.8,21.5
2006,Givova Scafati,0,0,0,34,40.3,80.8,27.9,59.6,469,8.1,22.4,364,16.9,22.9,736,9.6,23.1,32.7,11.6,14.5,1.7,16.5,23.9
2006,OpenJobMetis Varese,1,0,0,38,40.5,79.9,27.7,58.8,471,9.1,23.0,395,15.4,21.3,723,8.1,21.7,29.9,9.6,10.8,2.0,13.7,22.7
2006,Sutor Montegranaro,0,0,0,34,40.1,79.4,27.0,57.9,466,9.3,25.6,365,16.1,22.0,733,9.4,20.8,30.2,10.5,11.9,1.0,17.8,21.0
2006,TDShop.it Livorno,0,0,0,34,40.3,78.9,27.9,58.1,481,5.7,17.6,324,17.3,24.6,701,9.0,21.1,30.0,9.9,12.0,1.7,18.4,22.1
2006,Acqua San Bernardo Cantu,1,0,0,37,40.5,78.3,27.9,60.3,463,8.9,25.3,351,13.6,20.7,657,9.4,23.5,32.9,11.8,10.4,1.8,16.8,21.2
2006,Sidigas Avellino,0,0,0,34,40.1,77.9,27.3,59.8,457,6.9,20.4,340,16.4,22.5,728,9.8,22.8,32.6,12.0,12.7,1.4,17.5,21.3
2006,AX Armani Exchange Milan,1,0,0,42,40.0,77.7,25.9,55.4,468,7.4,21.3,349,18.4,26.7,690,9.7,23.6,33.3,10.1,12.3,1.7,16.0,22.9
2006,S.S. Basket Napoli,1,0,0,37,40.4,76.4,26.4,58.8,448,9.2,24.7,372,14.5,20.9,692,8.7,22.5,31.2,9.6,11.4,1.8,16.1,23.2
2006,Universo De'Longhi Treviso,0,0,0,34,40.0,75.9,26.1,56.3,464,7.2,20.4,353,16.5,21.9,755,8.7,22.9,31.6,11.9,10.9,2.1,15.5,20.9
2006,Virtus Roma,1,0,0,41,41.0,75.6,27.1,58.0,467,6.4,20.5,310,15.0,21.0,715,10.0,22.2,32.2,11.5,14.1,1.7,16.3,25.4
2006,Grissin Bon Reggio Emilia,0,0,0,34,40.0,75.3,27.5,62.5,440,5.6,19.2,294,14.6,20.5,713,10.7,20.9,31.6,9.2,13.8,2.9,17.3,23.6
2006,Orlandina Basket,0,0,0,34,40.1,74.2,27.1,59.0,460,5.6,17.4,323,14.3,20.9,685,10.0,21.5,31.5,10.5,8.6,1.9,15.4,19.5
