year,Team,Playoff,Finalist,Winner,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2018,Banco di Sardegna Sassari,1,1,0,43,40.7,88.8,31.5,67.7,465,9.2,24.4,377,16.7,22.3,745,13.8,28.3,42.1,17.1,6.0,1.6,12.3,20.9
2018,AX Armani Exchange Milan,1,0,0,38,40.7,88.6,31.1,65.7,474,10.2,27.4,373,16.1,20.9,770,10.6,25.9,36.5,16.3,6.7,2.4,11.6,20.2
2018,Pallacanestro Trieste 2004,1,0,0,34,40.3,87.0,31.9,66.9,477,9.6,25.6,374,13.6,17.9,760,10.3,26.8,37.1,18.1,6.5,3.1,14.3,22.0
2018,Vanoli Cremona,1,0,0,39,40.5,84.7,30.8,68.7,449,9.5,28.3,335,13.6,19.1,711,12.0,27.2,39.2,15.6,6.1,2.2,12.3,18.9
2018,Acqua San Bernardo Cantu,0,0,0,30,40.3,84.2,31.2,66.4,470,7.1,20.8,340,14.7,20.7,710,12.2,28.3,40.5,17.1,5.6,2.0,14.2,20.9
2018,Fiat Torino,0,0,0,30,40.8,83.1,30.2,63.4,477,8.8,23.2,381,13.8,19.4,713,8.7,26.0,34.7,17.3,7.2,2.4,13.8,17.2
2018,Enel Brindisi,1,0,0,33,40.5,82.2,30.5,66.9,457,8.6,25.3,339,12.5,16.7,748,9.5,25.9,35.5,17.8,7.8,2.6,12.0,16.8
2018,Sidigas Avellino,1,0,0,35,40.1,81.1,29.7,65.5,453,8.7,25.2,347,13.0,17.2,756,10.2,27.9,38.1,18.9,5.3,3.1,12.3,19.8
2018,Gemani Basket Brescia,0,0,0,30,40.3,80.3,28.0,63.6,440,8.6,24.7,349,15.7,21.1,744,10.2,26.7,37.0,16.1,6.4,2.7,13.0,19.4
2018,Virtus Bologna,0,0,0,30,40.0,79.6,28.8,63.0,456,7.5,21.8,346,14.5,20.3,714,10.0,24.9,34.9,13.3,5.7,2.7,11.2,21.3
2018,OpenJobMetis Varese,0,0,0,30,40.0,79.5,29.1,66.8,435,10.1,28.9,350,11.3,16.3,691,12.4,25.0,37.5,15.7,7.2,1.9,10.0,20.6
2018,Carpegna Prosciutto Basket Pesaro,0,0,0,30,40.2,79.4,28.4,67.1,424,7.3,22.8,322,15.2,20.6,737,11.5,24.8,36.3,10.7,8.4,2.3,13.7,20.0
2018,Umana Venezia,1,1,1,47,40.4,78.9,28.9,63.1,458,10.1,28.0,361,11.0,16.6,665,9.2,27.4,36.7,18.2,6.6,3.0,12.6,22.5
2018,Grissin Bon Reggio Emilia,0,0,0,30,40.0,78.8,28.5,65.9,433,9.2,27.1,339,12.5,17.0,739,10.3,24.9,35.2,15.5,6.9,2.6,12.8,21.0
2018,Georgio Tesi Group Pistoia,0,0,0,30,40.2,77.1,27.7,63.5,436,7.1,21.4,330,14.7,21.2,696,10.6,24.8,35.4,13.9,6.0,2.4,14.4,21.1
2018,Dolomiti Energia Trento,1,0,0,35,40.6,76.7,27.8,65.7,423,7.2,22.1,326,14.0,20.6,681,11.8,24.9,36.7,13.9,8.7,1.4,12.1,21.3
