#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(1989) 
Scavolini Pesaro",30,6025,2944,57.2,57.2
2,"(1987) 
Tracer Milano",30,6025,3055,59.1,59.1
3,"(1987) 
Basket Brescia",30,6100,3035,55.8,55.8
4,"(1990) 
Scavolini Pesaro",30,6050,3004,59.8,59.8
5,"(1990) 
A. Ranger Varese",30,6075,2802,56.7,56.7
6,"(1988) 
Enichem Livorno",30,6050,2897,58.7,58.7
7,"(1987) 
Banco Roma",30,6025,2776,56.9,56.9
8,"(1987) 
Neutroroberts Firenze",30,6075,2689,53.1,53.1
9,"(1987) 
Hitachi Venezia",30,6025,2855,55.5,55.5
10,"(1987) 
Wuber Napoli",30,6100,2634,52.9,52.9
11,"(1987) 
Divarese Varese",30,6100,2840,55.7,55.7
12,"(2001) 
Metis Varese",36,7200,3086,53,53
13,"(1989) 
A. Ranger Varese",30,6025,2860,57.3,57.3
14,"(1987) 
Scavolini Pesaro",30,6050,2823,55.1,55.1
15,"(1988) 
Scavolini Pesaro",30,6000,2678,56.5,56.5
16,"(1987) 
Arexons Cantù",30,6075,2815,56.3,56.3
17,"(1989) 
Vismara Cantu'",30,6000,2676,57.3,57.3
18,"(1990) 
Benetton Treviso",30,6000,2742,58.5,58.5
19,"(1989) 
Il Messaggero Roma",30,6025,2802,57.9,57.9
20,"(1987) 
Allibert Livorno",30,6050,2576,55.9,55.9
21,"(2000) 
Varese Roosters",34,6825,3020,53.5,53.5
22,"(1987) 
Enichem Livorno",30,6050,2782,54.2,54.2
23,"(1988) 
Philips Milano",30,6000,2760,57.2,57.2
24,"(1990) 
Phonola Caserta",30,6050,2689,54.4,54.4
25,"(1990) 
Auxilium Torino",30,6020,2903,63.6,63.6
26,"(1989) 
Enimont Livorno",30,6025,2699,56.1,56.1
27,"(1990) 
S. Clear Cantu'",30,6050,2663,57.3,57.3
28,"(2001) 
Benetton Treviso",36,7250,3359,57.5,57.5
29,"(1991) 
Benetton Treviso",30,6000,2736,59.9,59.9
30,"(1995) 
Buckler Bologna",32,6450,2889,59.1,59.1
31,"(1991) 
Scavolini Pesaro",30,6000,2690,56.5,56.5
32,"(1989) 
Philips Milano",30,6000,2797,56.1,56.1
33,"(1990) 
Filanto Forli'",30,6025,2980,55,55
34,"(2000) 
Kinder Bologna",34,6850,3018,56.9,56.9
35,"(1994) 
Cagiva Varese",32,6475,2874,60.3,60.3
36,"(2001) 
Viola Reggio Calabria",36,7250,2972,51.9,51.9
37,"(2000) 
Viola Reggio Calabria",34,6825,2939,56.3,56.3
38,"(1988) 
Ipifim Torino",30,6025,2706,54.3,54.3
39,"(1988) 
Knorr Bologna",30,6000,2623,53.6,53.6
40,"(1987) 
S. Benedetto Torino",30,6000,2711,58.2,58.2
41,"(2001) 
Skipper Bologna",36,7200,3075,57,57
42,"(1987) 
Dietor Bologna",30,6075,2695,52.7,52.7
43,"(1990) 
Filodoro Napoli",30,6100,2581,53.7,53.7
44,"(1991) 
Robe di Kappa Torino",30,6075,2663,57.5,57.5
45,"(1989) 
Arimo Bologna",30,6025,2716,55.7,55.7
46,"(2001) 
Kinder Bologna",36,7225,3121,57.1,57.1
47,"(1989) 
Benetton Treviso",30,6050,2584,55.3,55.3
48,"(2001) 
Montepaschi Siena",36,7300,2975,58.3,58.3
49,"(1990) 
Libertas Livorno",30,6025,2718,54.8,54.8
50,"(1995) 
Scavolini Pesaro",32,6475,2791,56.3,56.3
51,"(1988) 
Phonola Roma",30,6000,2479,54.8,54.8
52,"(1989) 
Cantine Riunite R.Emilia",30,6025,2668,58,58
53,"(1988) 
Vismara Cantu'",30,5825,2745,56.7,56.7
54,"(1988) 
Hitachi Venezia",30,6000,2482,53.6,53.6
55,"(1988) 
Arimo Bologna",30,6025,2636,55.6,55.6
56,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,52.7,52.7
57,"(1995) 
Illycaffe' Trieste",32,6425,2557,52.7,52.7
58,"(1991) 
Il Messaggero Roma",30,6050,2778,59.2,59.2
59,"(2001) 
Adecco Milano",36,7300,2953,50.8,50.8
60,"(1989) 
Irge Desio",30,6075,2656,52.2,52.2
61,"(1991) 
A. Ranger Varese",30,6050,2675,55.1,55.1
