#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Openjobmetis Varese",19,3825,1522,54,54
2,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,45.5,45.5
3,"(2019) 
Germani Basket Brescia",21,4200,1554,49,49
4,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,48.3,48.3
5,"(2019) 
Umana Reyer Venezia",21,4225,1582,50.8,50.8
6,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,52.1,52.1
7,"(2019) 
Vanoli Cremona",20,4000,1617,54.5,54.5
8,"(2019) 
De'Longhi Treviso",21,4200,1664,54.2,54.2
9,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,52,52
10,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,50.3,50.3
11,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,52.4,52.4
12,"(1998) 
Pall. Varese",26,5025,1977,51.1,51.1
13,"(2020) 
Virtus Segafredo Bologna",28,5600,2168,46,46
14,"(2019) 
Happy Casa Brindisi",21,4250,1696,52.4,52.4
15,"(1997) 
Kinder Bologna",26,5225,1795,45.3,45.3
16,"(2017) 
Openjobmetis Varese",30,6050,2271,48.1,48.1
17,"(2019) 
Virtus Roma",22,4425,1880,52.5,52.5
18,"(2009) 
Canadian Solar BO",28,5625,2057,50.4,50.4
19,"(2009) 
Montepaschi Siena",28,5600,1965,47.2,47.2
20,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,51.6,51.6
21,"(1998) 
Kinder Bologna",26,5225,1776,50.5,50.5
22,"(2019) 
Oriora Pistoia",22,4400,1832,53.5,53.5
23,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,53.4,53.4
24,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,46.2,46.2
25,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,46.2,46.2
26,"(2009) 
Lottomatica Roma",28,5625,2132,51.8,51.8
27,"(1998) 
Sony Milano",26,5200,1881,51.4,51.4
28,"(1998) 
Calze Pompea Roma",26,5300,1960,50.3,50.3
29,"(1998) 
Polti Cantu'",26,5075,1818,54.5,54.5
30,"(1998) 
Benetton Treviso",26,5250,1866,50.3,50.3
31,"(2009) 
Armani Jeans Milano",28,5700,2069,53.5,53.5
32,"(2021) 
UNAHOTELS Reggio Emilia",30,6150,2401,51.9,51.9
33,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,46.5,46.5
34,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,46.5,46.5
35,"(1998) 
Teamsystem Bologna",26,5200,1817,51.8,51.8
36,"(2018) 
Openjobmetis Varese",30,6000,2284,52,52
37,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,56,56
38,"(1997) 
Benetton Treviso",26,5200,1873,50.2,50.2
39,"(2009) 
Angelico Biella",28,5650,2252,51.8,51.8
40,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,50.2,50.2
