#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,22.7,22.4
2,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,22.7,22.4
3,"(2023) 
Virtus Segafredo Bologna",30,6050,2668,22,21.8
4,"(2020) 
Virtus Segafredo Bologna",28,5600,2397,22.6,22.6
5,"(2021) 
UNAHOTELS Reggio Emilia",30,6150,2409,19.7,19.2
6,"(2023) 
Dolomiti Energia Trentino",30,6025,2498,19.6,19.6
7,"(2021) 
Banco di Sardegna Sassari",30,6075,2541,19.5,19.3
8,"(2021) 
Banco di Sardegna Sassari",30,6075,2541,19.5,19.3
9,"(2018) 
Sidigas Avellino",30,6025,2470,19.5,19.4
10,"(2018) 
Umana Reyer Venezia",30,6075,2440,19.4,19.2
11,"(2022) 
Banco di Sardegna Sassari",30,6025,2530,19.4,19.3
12,"(2022) 
Banco di Sardegna Sassari",30,6025,2530,19.4,19.3
13,"(2016) 
EA7 Emporio Armani Milano",30,6000,2584,19.2,19.2
14,"(2017) 
Sidigas Avellino",30,6175,2492,18.7,18.2
15,"(2022) 
Openjobmetis Varese",30,6050,2726,18.6,18.4
16,"(2022) 
Openjobmetis Varese",30,6050,2726,18.6,18.4
17,"(2015) 
Sidigas Avellino",30,6050,2389,18.5,18.4
18,"(2018) 
Alma Trieste",30,6050,2634,18.5,18.4
19,"(2022) 
Givova Scafati",30,6050,2378,18.4,18.2
20,"(2023) 
Germani Brescia",30,6025,2618,18.4,18.3
21,"(2017) 
Umana Reyer Venezia",30,6075,2481,18.3,18.1
22,"(2014) 
Umana Reyer Venezia",30,6025,2400,18.3,18.2
23,"(2023) 
Givova Scafati Basket",30,6100,2481,18.2,17.9
24,"(2022) 
Umana Reyer Venezia",30,6075,2510,18.2,17.9
25,"(2022) 
Umana Reyer Venezia",30,6075,2510,18.2,17.9
26,"(2016) 
Sidigas Avellino",30,6075,2392,18,17.8
27,"(2021) 
A|X Armani Exchange Milano",30,6050,2465,18,17.9
28,"(2021) 
A|X Armani Exchange Milano",30,6050,2465,18,17.9
29,"(2022) 
Virtus Segafredo Bologna",30,6025,2542,18,18
30,"(2022) 
Virtus Segafredo Bologna",30,6025,2542,18,18
31,"(2023) 
Generazione Vincente Napoli Basket",30,6029,2587,17.9,17.8
32,"(2017) 
Banco di Sardegna Sassari",30,6100,2586,17.9,17.6
33,"(2017) 
Fiat Torino",30,6025,2432,17.7,17.7
34,"(2020) 
Banco di Sardegna Sassari",28,5625,2527,19,18.9
35,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2418,17.7,17.6
36,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2418,17.7,17.6
