#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(1990) 
Panasonic R.Calabria",30,6050,2660,4.9,4.8
2,"(2000) 
Paf Bologna",34,6900,2750,3.9,3.8
3,"(1992) 
Panasonic R.Calabria",30,6075,2688,4.3,4.2
4,"(1994) 
Comerson Siena",32,6400,2417,3.9,3.9
5,"(2014) 
Grissin Bon Reggio Emilia",30,6075,2317,4.1,4.1
6,"(2014) 
Banco di Sardegna Sassari",30,6075,2549,3.9,3.9
7,"(2015) 
Banco di Sardegna Sassari",30,6125,2509,3.9,3.8
8,"(2015) 
Acqua Vitasnella Cantù",30,6100,2422,3.8,3.8
9,"(2016) 
Grissin Bon Reggio Emilia",30,6050,2458,3.8,3.8
10,"(2016) 
Pasta Reggia Caserta",30,6075,2337,3.8,3.8
11,"(2005) 
Benetton Treviso",34,6875,2862,3.3,3.3
12,"(2005) 
Angelico Biella",34,6850,2730,3.3,3.3
13,"(1990) 
A. Ranger Varese",30,6075,2802,3.7,3.7
14,"(2013) 
Granarolo Bologna",30,6050,2335,3.7,3.7
15,"(1988) 
Divarese Varese",30,6000,2614,3.7,3.7
16,"(2006) 
Climamio Bologna",34,6850,2764,3.2,3.2
17,"(2000) 
BingoSNAI Montecatini",34,6850,2806,3.2,3.2
18,"(2013) 
Grissin Bon Reggio Emilia",30,6000,2341,3.6,3.6
19,"(1988) 
Enichem Livorno",30,6050,2897,3.6,3.5
20,"(2010) 
Lottomatica Roma",30,6000,2323,3.5,3.5
21,"(2012) 
Enel Brindisi",30,6025,2441,3.5,3.5
22,"(2017) 
Sidigas Avellino",30,6175,2492,3.4,3.3
23,"(2021) 
GeVi Napoli Basket",30,6075,2393,3.4,3.4
24,"(2012) 
Cimberio Varese",30,6050,2519,3.4,3.4
25,"(1989) 
Paini Napoli",30,6000,2656,3.4,3.4
26,"(2001) 
Kinder Bologna",36,7225,3121,2.8,2.8
27,"(2004) 
Climamio Bologna",34,6925,2897,3,2.9
28,"(2023) 
Bertram Derthona Tortona",30,6025,2411,3.4,3.4
29,"(2001) 
Benetton Treviso",36,7250,3359,2.8,2.8
