#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(1997) 
Benetton Treviso",26,5200,2000,1,1
2,"(2019) 
Banco di Sardegna Sassari",21,4200,1796,1.5,1.5
3,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1671,1.5,1.5
4,"(1993) 
Stefanel Trieste",30,6075,2584,1.1,1.1
5,"(1993) 
Scavolini Pesaro",30,6000,2625,1.2,1.2
6,"(1995) 
Benetton Treviso",32,6425,2761,1.1,1.1
7,"(1998) 
Sony Milano",26,5200,1952,1.4,1.4
8,"(1997) 
Stefanel Milano",26,5200,2030,1.4,1.4
9,"(1996) 
Benetton Treviso",26,5225,2195,1.5,1.5
10,"(2019) 
Umana Reyer Venezia",21,4225,1638,1.9,1.8
11,"(2019) 
A|X Armani Exchange Milano",21,4200,1687,1.9,1.9
12,"(2019) 
Germani Basket Brescia",21,4200,1707,1.9,1.9
13,"(2017) 
Sidigas Avellino",30,6175,2492,1.3,1.3
14,"(1999) 
Paf Bologna",30,6000,2379,1.3,1.3
15,"(1998) 
Benetton Treviso",26,5250,2108,1.5,1.5
16,"(2003) 
Benetton Treviso",34,6625,2943,1.2,1.2
17,"(1999) 
Kinder Bologna",30,6000,2275,1.4,1.4
18,"(2019) 
Segafredo Virtus Bologna",20,4025,1719,2.1,2
19,"(1995) 
Stefanel Milano",32,6475,2789,1.3,1.3
20,"(1992) 
Panasonic R.Calabria",30,6075,2688,1.4,1.4
21,"(1990) 
Panasonic R.Calabria",30,6050,2660,1.4,1.4
22,"(2009) 
Benetton Treviso",28,5625,2230,1.5,1.5
23,"(2020) 
Happy Casa Brindisi",28,5600,2395,1.5,1.5
24,"(1998) 
S.D.A.G. Gorizia",26,5250,1868,1.6,1.6
25,"(1998) 
Teamsystem Bologna",26,5200,2023,1.6,1.6
26,"(1998) 
Pall. Varese",26,5025,2133,1.6,1.7
27,"(1994) 
Benetton Treviso",32,6425,2781,1.3,1.3
28,"(2022) 
Umana Reyer Venezia",30,6075,2510,1.4,1.4
29,"(2022) 
Umana Reyer Venezia",30,6075,2510,1.4,1.4
30,"(1989) 
Benetton Treviso",30,6050,2584,1.4,1.4
31,"(1996) 
Teamsystem Bologna",26,5225,2067,1.7,1.6
32,"(2019) 
Dolomiti Energia Trentino",21,4225,1635,2,2
33,"(2011) 
Banco di Sardegna Sassari",32,6400,2581,1.4,1.4
34,"(2009) 
Lottomatica Roma",28,5625,2149,1.6,1.6
35,"(2019) 
Happy Casa Brindisi",21,4250,1776,2.1,2.1
36,"(1999) 
Adr Roma",30,6050,2204,1.5,1.5
37,"(1989) 
Viola Reggio Calabria",30,6050,2582,1.5,1.5
38,"(1999) 
Telit Trieste",30,6025,2220,1.5,1.5
39,"(1998) 
Müller Verona",26,5300,1969,1.7,1.7
40,"(1997) 
Fontanafredda Siena",26,5225,1928,1.7,1.7
41,"(1998) 
Polti Cantu'",26,5075,1779,1.7,1.8
42,"(1991) 
Benetton Treviso",30,6000,2736,1.5,1.5
43,"(1998) 
Ducato Siena",26,5250,1997,1.8,1.8
44,"(1997) 
Teamsystem Bologna",26,5225,2172,1.8,1.8
45,"(1997) 
Kinder Bologna",26,5225,2070,1.8,1.8
46,"(1996) 
Fontanafredda Siena",26,5225,2021,1.8,1.8
47,"(1998) 
Kinder Bologna",26,5225,1983,1.8,1.8
48,"(2019) 
De'Longhi Treviso",21,4200,1620,2.2,2.2
49,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1533,2.3,2.3
50,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1583,2.3,2.3
51,"(2000) 
Paf Bologna",34,6900,2750,1.4,1.4
52,"(2004) 
Armani Jeans Milano",34,6825,2680,1.4,1.4
53,"(1995) 
Buckler Bologna",32,6450,2889,1.5,1.5
54,"(2006) 
Eldo Napoli",34,6875,2648,1.4,1.4
55,"(1999) 
Lineltex Imola",30,6025,2487,1.6,1.6
56,"(2012) 
Scavolini Banca Marche Pesaro",30,6000,2245,1.6,1.6
57,"(1998) 
Calze Pompea Roma",26,5300,1927,1.8,1.8
58,"(1992) 
S. Clear Cantu'",30,6100,2572,1.6,1.6
59,"(1999) 
Adecco Milano",30,6075,2117,1.6,1.6
60,"(2017) 
EA7 Emporio Armani Milano",30,6075,2463,1.6,1.6
61,"(2017) 
Umana Reyer Venezia",30,6075,2481,1.6,1.6
62,"(2023) 
Virtus Segafredo Bologna",30,6050,2668,1.6,1.6
63,"(2013) 
Grissin Bon Reggio Emilia",30,6000,2341,1.6,1.6
64,"(1997) 
Mash J. Verona",26,5225,2070,1.9,1.9
65,"(2001) 
Euro Roseto",36,7250,3018,1.4,1.4
