#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(1990) 
Panasonic R.Calabria",30,6050,2664,4.9,4.8
2,"(2000) 
Paf Bologna",34,6900,2482,3.9,3.8
3,"(1992) 
Panasonic R.Calabria",30,6075,2574,4.3,4.2
4,"(1994) 
Comerson Siena",32,6400,2445,3.9,3.9
5,"(2014) 
Grissin Bon Reggio Emilia",30,6075,2219,4.1,4.1
6,"(2014) 
Banco di Sardegna Sassari",30,6075,2435,3.9,3.9
7,"(2015) 
Banco di Sardegna Sassari",30,6125,2439,3.9,3.8
8,"(2015) 
Acqua Vitasnella Cantù",30,6100,2405,3.8,3.8
9,"(2016) 
Grissin Bon Reggio Emilia",30,6050,2443,3.8,3.8
10,"(2016) 
Pasta Reggia Caserta",30,6075,2430,3.8,3.8
11,"(2005) 
Benetton Treviso",34,6875,2616,3.3,3.3
12,"(2005) 
Angelico Biella",34,6850,2645,3.3,3.3
13,"(1990) 
A. Ranger Varese",30,6069,2860,3.7,3.7
14,"(2013) 
Granarolo Bologna",30,6050,2376,3.7,3.7
15,"(1988) 
Divarese Varese",30,6000,2442,3.7,3.7
16,"(2006) 
Climamio Bologna",34,6850,2775,3.2,3.2
17,"(2000) 
BingoSNAI Montecatini",34,6850,2946,3.2,3.2
18,"(2013) 
Grissin Bon Reggio Emilia",30,6000,2236,3.6,3.6
19,"(1988) 
Enichem Livorno",30,6050,2754,3.6,3.5
20,"(2017) 
Sidigas Avellino",30,6175,2313,3.5,3.4
21,"(2010) 
Lottomatica Roma",30,6000,2262,3.5,3.5
22,"(2012) 
Enel Brindisi",30,6025,2483,3.5,3.5
23,"(2021) 
GeVi Napoli Basket",30,6075,2455,3.4,3.4
24,"(2012) 
Cimberio Varese",30,6050,2311,3.4,3.4
25,"(2023) 
Bertram Derthona Tortona",30,6025,2378,3.4,3.4
26,"(1989) 
Paini Napoli",30,6000,2644,3.4,3.4
27,"(2001) 
Kinder Bologna",36,7225,2703,2.8,2.8
28,"(2004) 
Climamio Bologna",34,6925,2619,3,2.9
29,"(2001) 
Benetton Treviso",36,7250,2986,2.8,2.8
30,"(2012) 
Montepaschi Siena",30,6000,2160,3.4,3.4
31,"(2016) 
Openjobmetis Varese",30,6050,2402,3.3,3.3
32,"(2014) 
Umana Reyer Venezia",30,6025,2221,3.3,3.3
33,"(1999) 
Paf Bologna",30,6000,2060,3.3,3.3
34,"(2002) 
Lottomatica Roma",34,6825,2507,2.9,2.9
35,"(2013) 
Giorgio Tesi Group Pistoia",30,6100,2323,3.3,3.2
36,"(2009) 
Montepaschi Siena",28,5600,1965,3.5,3.5
37,"(2007) 
Tisettanta Cantu'",34,6875,2776,2.9,2.8
38,"(2006) 
Bipop Carire R.Emilia",34,6800,2723,2.9,2.9
39,"(2022) 
UNAHOTELS Reggio Emilia",30,6075,2312,3.2,3.2
40,"(2009) 
Carife Ferrara",28,5675,2211,3.5,3.4
41,"(2011) 
Acea Roma",32,6525,2603,3,2.9
42,"(1995) 
Benetton Treviso",32,6425,2612,3,3
43,"(2008) 
La Fortezza Bologna",30,6075,2336,3.2,3.1
44,"(2014) 
Dolomiti Energia Trento",30,6075,2402,3.2,3.1
45,"(2018) 
Sidigas Avellino",30,6025,2456,3.2,3.2
46,"(2023) 
Dolomiti Energia Trentino",30,6025,2557,3.2,3.2
47,"(2014) 
EA7 Emporio Armani Milano",30,6000,2202,3.2,3.2
48,"(2014) 
Acqua Vitasnella Cantù",30,6100,2354,3.1,3.1
49,"(2018) 
Alma Trieste",30,6050,2527,3.1,3.1
50,"(1989) 
A. Ranger Varese",30,6025,2766,3.1,3.1
51,"(1996) 
Polti Cantu'",26,5250,2038,3.6,3.6
52,"(2005) 
Bipop Carire R.Emilia",34,6975,2803,2.7,2.7
53,"(1994) 
Scavolini Pesaro",32,6500,2634,2.9,2.9
54,"(1994) 
Cagiva Varese",32,6475,2715,2.9,2.9
55,"(2014) 
Enel Brindisi",30,6025,2231,3.1,3.1
56,"(1989) 
Arimo Bologna",30,6025,2710,3.1,3.1
57,"(2020) 
Fortitudo Lavoropiù Bologna",28,5600,2291,3.3,3.3
58,"(2003) 
Tris Reggio Calabria",34,6900,2734,2.7,2.7
59,"(2012) 
Lenovo Cantù",30,5825,2031,3.1,3.2
60,"(2002) 
Snaidero Udine",34,6850,2698,2.7,2.7
61,"(2007) 
Montepaschi Siena",34,6825,2366,2.7,2.7
62,"(1990) 
Stefanel Trieste",30,6050,2504,3,3
63,"(1990) 
Phonola Caserta",30,6050,2649,3,3
64,"(2016) 
Vanoli Cremona",30,6025,2416,3,3
65,"(2003) 
Lauretana Biella",34,6900,2759,2.6,2.6
66,"(2011) 
EA7 Armani Milano",32,6400,2359,2.8,2.8
67,"(2008) 
GMAC Bologna",30,6125,2385,3,2.9
68,"(1992) 
Phonola Caserta",30,6075,2562,3,3
69,"(2021) 
Vanoli Basket Cremona",30,6075,2535,3,3
70,"(2015) 
Pasta Reggia Caserta",30,6050,2288,3,3
71,"(2008) 
Montepaschi Siena",30,6050,2153,3,3
72,"(1987) 
Irge Desio",30,6050,2684,3,3
73,"(2021) 
Umana Reyer Venezia",30,6027,2297,3,3
74,"(2023) 
UNAHOTELS Reggio Emilia",30,6000,2406,3,3
75,"(2015) 
Manital Torino",30,6075,2401,3,2.9
76,"(2017) 
EA7 Emporio Armani Milano",30,6075,2244,3,2.9
77,"(2012) 
EA7 Emporio Armani Milano",30,6075,2304,3,2.9
78,"(1987) 
Enichem Livorno",30,6050,2700,3,2.9
79,"(1987) 
Tracer Milano",30,6025,2906,3,3
80,"(1991) 
Ticino Assicurazioni Siena",30,6000,2487,3,3
81,"(1993) 
Scavolini Pesaro",30,6000,2548,3,3
82,"(1996) 
Teamsystem Bologna",26,5225,1932,3.4,3.4
83,"(2006) 
Montepaschi Siena",34,6875,2522,2.6,2.6
84,"(2004) 
Benetton Treviso",34,6825,2457,2.6,2.6
85,"(2003) 
Scavolini Pesaro",34,6700,2761,2.6,2.6
86,"(2010) 
Fabi Shoes Montegranaro",30,6050,2382,2.9,2.9
87,"(1991) 
Philips Milano",30,6050,2597,2.9,2.9
88,"(2015) 
Dolomiti Energia Trentino",30,6025,2274,2.9,2.9
89,"(2015) 
Betaland Capo d'Orlando",30,6025,2205,2.9,2.9
90,"(2009) 
Lottomatica Roma",28,5625,2132,3.1,3.1
91,"(2007) 
Premiata Montegranaro",34,6850,2706,2.6,2.5
92,"(2003) 
Mabo Livorno",34,6850,2984,2.6,2.5
93,"(2006) 
Snaidero Cucine Udine",34,6800,2811,2.6,2.6
94,"(2008) 
Lottomatica Roma",30,6125,2398,2.9,2.8
95,"(2018) 
Umana Reyer Venezia",30,6075,2256,2.9,2.9
96,"(2022) 
GeVi Napoli Basket",30,6075,2515,2.9,2.9
97,"(1987) 
Allibert Livorno",30,6050,2589,2.9,2.9
98,"(1989) 
Viola Reggio Calabria",30,6050,2598,2.9,2.9
99,"(1999) 
Telit Trieste",30,6025,2211,2.9,2.9
100,"(2013) 
Montepaschi Siena",30,6025,2114,2.9,2.9
101,"(2000) 
Varese Roosters",34,6825,3210,2.5,2.5
102,"(2004) 
Scavolini Pesaro",34,6800,2753,2.5,2.5
103,"(1995) 
Cagiva Varese",32,6475,2706,2.7,2.7
104,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,2.9,2.8
105,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,2.9,2.8
106,"(2014) 
Granarolo Bologna",30,6000,2416,2.9,2.9
107,"(1988) 
Paini Napoli",30,5800,2505,2.9,3
108,"(2001) 
Fabriano Basket",36,7275,3166,2.4,2.3
109,"(2001) 
Metis Varese",36,7200,3149,2.4,2.4
110,"(2022) 
Dolomiti Energia Trentino",30,6050,2335,2.8,2.8
111,"(2022) 
Dolomiti Energia Trentino",30,6050,2335,2.8,2.8
112,"(2012) 
Trenkwalder Reggio Emilia",30,6000,2201,2.8,2.8
113,"(2004) 
Montepaschi Siena",34,6825,2593,2.5,2.5
114,"(2002) 
Benetton Treviso",34,6825,2691,2.5,2.5
115,"(2016) 
Enel Brindisi",30,6100,2465,2.8,2.8
116,"(2012) 
Acea Roma",30,6050,2273,2.8,2.8
117,"(2008) 
Carife Ferrara",30,6050,2390,2.8,2.8
118,"(2013) 
Acqua Vitasnella Cantù",30,6050,2290,2.8,2.8
119,"(1990) 
Knorr Bologna",30,6025,2530,2.8,2.8
120,"(2016) 
MIA-Red October Cantù",30,6025,2476,2.8,2.8
121,"(1990) 
Il Messaggero Roma",30,6020,2671,2.8,2.8
122,"(1989) 
Knorr Bologna",30,6000,2523,2.8,2.8
123,"(1998) 
Kinder Bologna",26,5225,1776,3.2,3.2
124,"(2001) 
Montepaschi Siena",36,7300,2714,2.3,2.3
125,"(2007) 
Upim Bologna",34,6850,2696,2.4,2.4
126,"(2002) 
Skipper Bologna",34,6800,2704,2.4,2.4
127,"(1995) 
Scavolini Pesaro",32,6475,2760,2.6,2.6
128,"(1987) 
Wuber Napoli",30,6100,2746,2.8,2.7
129,"(2018) 
Happy Casa Brindisi",30,6075,2370,2.8,2.7
130,"(2016) 
Sidigas Avellino",30,6075,2285,2.8,2.7
131,"(2022) 
Openjobmetis Varese",30,6050,2722,2.8,2.7
132,"(2022) 
Openjobmetis Varese",30,6050,2722,2.8,2.7
133,"(2013) 
Acea Roma",30,6050,2350,2.8,2.7
134,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,3,3
135,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,3,3
136,"(2000) 
Kinder Bologna",34,6850,2551,2.4,2.4
137,"(2002) 
Virtus Bologna",34,6850,2749,2.4,2.4
138,"(2007) 
Lottomatica Roma",34,6675,2471,2.4,2.5
139,"(2011) 
Canadian Solar Bologna",32,6450,2378,2.6,2.5
140,"(1991) 
Pall. Trapani",30,6125,2644,2.7,2.7
141,"(2013) 
Enel Brindisi",30,6025,2242,2.7,2.7
142,"(2010) 
Benetton Treviso",30,6025,2252,2.7,2.7
143,"(2003) 
Lottomatica Roma",34,6925,2653,2.4,2.3
144,"(2003) 
Air Avellino",34,6825,2919,2.4,2.4
145,"(2007) 
Snaidero Cucine Udine",34,6825,2760,2.4,2.4
146,"(2003) 
Benetton Treviso",34,6625,2640,2.4,2.4
147,"(1994) 
Filodoro Bologna",32,6475,2555,2.5,2.5
148,"(2022) 
Germani Brescia",30,6100,2426,2.7,2.7
149,"(2022) 
Germani Brescia",30,6100,2426,2.7,2.7
150,"(1993) 
Stefanel Trieste",30,6075,2423,2.7,2.7
151,"(2009) 
Canadian Solar BO",28,5625,2057,2.9,2.9
152,"(2017) 
Umana Reyer Venezia",30,6075,2364,2.7,2.6
153,"(2018) 
Germani Basket Brescia",30,6050,2443,2.7,2.6
154,"(1991) 
Benetton Treviso",30,6000,2500,2.7,2.7
155,"(2018) 
Segafredo Virtus Bologna",30,6000,2410,2.7,2.7
156,"(2009) 
Air Avellino",28,5675,2186,2.9,2.8
157,"(2005) 
Whirlpool Varese",34,6875,2643,2.3,2.3
158,"(2005) 
Montepaschi Siena",34,6850,2495,2.3,2.3
159,"(1987) 
Divarese Varese",30,6100,2661,2.6,2.6
160,"(2008) 
Air Avellino",30,6075,2293,2.6,2.6
161,"(2013) 
EA7 Emporio Armani Milano",30,6025,2134,2.6,2.6
162,"(1990) 
Auxilium Torino",30,6020,2931,2.6,2.6
163,"(2020) 
Virtus Segafredo Bologna",28,5600,2168,2.8,2.8
164,"(2001) 
Coop Nordest Trieste",36,7250,2945,2.2,2.2
165,"(1995) 
Buckler Bologna",32,6450,2636,2.4,2.4
166,"(1993) 
Filodoro Bologna",30,6050,2375,2.6,2.6
167,"(1988) 
Arimo Bologna",30,6025,2550,2.6,2.6
168,"(2018) 
Grissin Bon Reggio Emilia",30,6000,2493,2.6,2.6
169,"(2001) 
Viola Reggio Calabria",36,7250,3205,2.1,2.1
170,"(2000) 
Lineltex Imola",34,6900,3102,2.3,2.2
171,"(2005) 
Carpisa Napoli",34,6875,2848,2.3,2.2
172,"(2007) 
Siviglia Wear Teramo",34,6850,2966,2.3,2.2
173,"(2007) 
Scavolini Spar Pesaro",34,6825,2819,2.3,2.3
174,"(1995) 
Cx Orologi Siena",32,6425,2616,2.4,2.4
175,"(2008) 
Scavolini Spar Pesaro",30,6075,2436,2.6,2.5
176,"(2014) 
Giorgio Tesi Group Pistoia",30,6050,2332,2.6,2.5
177,"(1997) 
Kinder Bologna",26,5225,1795,3,2.9
178,"(2007) 
Pierrel Capo d'Orlando",34,6875,2985,2.2,2.2
179,"(2005) 
Climamio Bologna",34,6875,2650,2.2,2.2
180,"(2005) 
Snaidero Udine",34,6850,2793,2.2,2.2
181,"(2015) 
Vanoli Cremona",30,6125,2213,2.5,2.5
182,"(2023) 
EA7 Emporio Armani Milano",30,6000,2235,2.5,2.5
183,"(2020) 
Vanoli Basket Cremona",28,5700,2395,2.7,2.7
184,"(2000) 
Benetton Treviso",34,6850,2738,2.2,2.2
185,"(2007) 
Benetton Treviso",34,6825,2592,2.2,2.2
186,"(2011) 
Benetton Treviso",32,6450,2493,2.3,2.3
187,"(1994) 
Stefanel Milano",32,6450,2629,2.3,2.3
188,"(2011) 
Umana Venezia",32,6450,2436,2.3,2.3
189,"(1987) 
Basket Brescia",30,6100,3261,2.5,2.5
190,"(2014) 
Vanoli Cremona",30,6075,2348,2.5,2.5
191,"(2022) 
Umana Reyer Venezia",30,6075,2402,2.5,2.5
192,"(2022) 
Umana Reyer Venezia",30,6075,2402,2.5,2.5
193,"(1987) 
Benetton Treviso",30,6050,2555,2.5,2.5
194,"(2021) 
Germani Brescia",30,6000,2310,2.5,2.5
195,"(2021) 
Germani Brescia",30,6000,2310,2.5,2.5
196,"(2023) 
NutriBullet Treviso Basket",30,6000,2545,2.5,2.5
197,"(2020) 
Umana Reyer Venezia",28,5625,2142,2.7,2.7
198,"(2007) 
Angelico Biella",34,6875,2860,2.2,2.2
199,"(2003) 
Skipper Bologna",34,6770,2730,2.2,2.2
200,"(2011) 
Montepaschi Siena",32,6475,2308,2.3,2.3
201,"(1990) 
Filodoro Napoli",30,6100,2677,2.5,2.4
202,"(2010) 
Dinamo Sassari",30,6075,2512,2.5,2.4
203,"(1987) 
Banco Roma",30,6025,2721,2.5,2.5
204,"(1991) 
Phonola Caserta",30,6000,2578,2.5,2.5
205,"(2017) 
Vanoli Cremona",30,6000,2495,2.5,2.5
206,"(1997) 
Benetton Treviso",26,5200,1873,2.8,2.8
207,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,3.7,3.7
208,"(2002) 
Carifac Fabriano",34,6925,2928,2.1,2.1
209,"(2000) 
Snaidero Udine",34,6850,2845,2.1,2.1
210,"(2007) 
La Fortezza Bologna",34,6850,2731,2.1,2.1
211,"(2006) 
Benetton Treviso",34,6800,2463,2.1,2.1
212,"(2011) 
Banco di Sardegna Sassari",32,6400,2494,2.3,2.3
213,"(2015) 
Sidigas Avellino",30,6050,2307,2.4,2.4
214,"(1989) 
Enimont Livorno",30,6025,2626,2.4,2.4
215,"(2001) 
Mabo Prefabbricati Livorno",36,7250,3199,2,2
216,"(2006) 
VidiVici Bologna",34,6850,2597,2.1,2.1
217,"(2011) 
Scavolini Siviglia Pesaro",32,6450,2401,2.3,2.2
218,"(2016) 
Umana Reyer Venezia",30,6125,2330,2.4,2.4
219,"(2010) 
Air Avellino",30,6075,2378,2.4,2.4
220,"(1992) 
Bialetti Montecatini",30,6075,2510,2.4,2.4
221,"(2016) 
The Flexx Pistoia",30,6075,2298,2.4,2.4
222,"(2017) 
VL Pesaro",30,6050,2547,2.4,2.4
223,"(2022) 
Virtus Segafredo Bologna",30,6025,2334,2.4,2.4
224,"(2022) 
Virtus Segafredo Bologna",30,6025,2334,2.4,2.4
225,"(2012) 
Scavolini Banca Marche Pesaro",30,6000,2383,2.4,2.4
226,"(2014) 
Upea Capo d'Orlando",30,6000,2222,2.4,2.4
227,"(2018) 
Vanoli Cremona",30,5850,2360,2.4,2.5
228,"(2002) 
Viola Reggio Calabria",34,6850,2559,2.1,2.1
229,"(2002) 
Pompea Napoli",34,6850,2737,2.1,2.1
230,"(1995) 
Teamsystem Bologna",32,6525,2597,2.2,2.2
231,"(2018) 
Fiat Torino",30,6125,2611,2.4,2.3
232,"(1989) 
Irge Desio",30,6075,3291,2.4,2.3
233,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,2.4,2.3
234,"(1992) 
Knorr Bologna",30,6050,2359,2.4,2.3
235,"(2015) 
Openjobmetis Varese",30,6025,2344,2.4,2.4
236,"(1989) 
Scavolini Pesaro",30,6025,2710,2.4,2.4
237,"(2020) 
Acqua S.Bernardo Cantù",28,5625,2313,2.5,2.5
238,"(2001) 
Snaidero Udine",36,7225,2951,1.9,1.9
239,"(2006) 
Whirlpool Varese",34,6900,2692,2.1,2
240,"(1992) 
Benetton Treviso",30,6075,2603,2.3,2.3
241,"(2021) 
Virtus Segafredo Bologna",30,6075,2364,2.3,2.3
242,"(2021) 
Virtus Segafredo Bologna",30,6075,2364,2.3,2.3
243,"(1999) 
Benetton Treviso",30,6025,2157,2.3,2.3
244,"(1992) 
Philips Milano",30,6025,2545,2.3,2.3
245,"(2008) 
NGC Cantu'",30,6025,2445,2.3,2.3
246,"(2013) 
Umana Venezia",30,6000,2420,2.3,2.3
247,"(2018) 
A|X Armani Exchange Milano",30,5875,2371,2.3,2.4
248,"(1991) 
Filanto Forli'",30,5825,2823,2.3,2.4
249,"(2004) 
Lottomatica Roma",34,6850,2728,2,2
250,"(2004) 
Snaidero Cucine Udine",34,6825,2834,2,2
251,"(2011) 
Sidigas Avellino",32,6475,2606,2.2,2.1
252,"(1994) 
Birex Verona",32,6450,2620,2.2,2.1
253,"(2011) 
Bennet Cantù",32,6425,2237,2.2,2.1
254,"(2022) 
Carpegna Prosciutto Pesaro",30,6050,2613,2.3,2.3
255,"(2022) 
Carpegna Prosciutto Pesaro",30,6050,2613,2.3,2.3
256,"(2017) 
Openjobmetis Varese",30,6050,2271,2.3,2.3
257,"(2018) 
VL Pesaro",30,6025,2754,2.3,2.3
258,"(2014) 
Sidigas Avellino",30,6000,2341,2.3,2.3
259,"(2018) 
Oriora Pistoia",30,5825,2511,2.3,2.4
260,"(1997) 
Stefanel Milano",26,5200,2014,2.7,2.7
261,"(2001) 
Oregon Scientific Cantu'",36,7225,2797,1.9,1.9
262,"(2003) 
Metis Varese",34,6850,2905,2,2
263,"(2000) 
De Vizia Avellino",34,6850,2881,2,2
264,"(2002) 
Montepaschi Siena",34,6850,2603,2,2
265,"(1994) 
Benetton Treviso",32,6425,2537,2.1,2.1
