#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(1997) 
Benetton Treviso",26,5200,1873,1,1
2,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,1.5,1.5
3,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,1.5,1.5
4,"(1993) 
Stefanel Trieste",30,6075,2423,1.1,1.1
5,"(1993) 
Scavolini Pesaro",30,6000,2548,1.2,1.2
6,"(1995) 
Benetton Treviso",32,6425,2612,1.1,1.1
7,"(1998) 
Sony Milano",26,5200,1881,1.4,1.4
8,"(1997) 
Stefanel Milano",26,5200,2014,1.4,1.4
9,"(1996) 
Benetton Treviso",26,5225,1967,1.5,1.5
10,"(2017) 
Sidigas Avellino",30,6175,2313,1.3,1.3
11,"(2019) 
Umana Reyer Venezia",21,4225,1582,1.9,1.8
12,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,1.9,1.9
13,"(2019) 
Germani Basket Brescia",21,4200,1554,1.9,1.9
14,"(1999) 
Paf Bologna",30,6000,2060,1.3,1.3
15,"(1998) 
Benetton Treviso",26,5250,1866,1.5,1.5
16,"(2003) 
Benetton Treviso",34,6625,2640,1.2,1.2
17,"(1999) 
Kinder Bologna",30,6000,2033,1.4,1.4
18,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,2.1,2
19,"(1995) 
Stefanel Milano",32,6475,2593,1.3,1.3
20,"(1992) 
Panasonic R.Calabria",30,6075,2574,1.4,1.4
21,"(1990) 
Panasonic R.Calabria",30,6050,2664,1.4,1.4
22,"(2009) 
Benetton Treviso",28,5625,2278,1.5,1.5
23,"(2020) 
Happy Casa Brindisi",28,5600,2212,1.5,1.5
24,"(1998) 
S.D.A.G. Gorizia",26,5250,2037,1.6,1.6
25,"(1998) 
Teamsystem Bologna",26,5200,1817,1.6,1.6
26,"(1994) 
Benetton Treviso",32,6425,2537,1.3,1.3
27,"(2022) 
Umana Reyer Venezia",30,6075,2402,1.4,1.4
28,"(2022) 
Umana Reyer Venezia",30,6075,2402,1.4,1.4
29,"(1989) 
Benetton Treviso",30,6050,2500,1.4,1.4
30,"(1996) 
Teamsystem Bologna",26,5225,1932,1.7,1.6
31,"(1998) 
Pall. Varese",26,5025,1977,1.7,1.7
32,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,2,2
33,"(2011) 
Banco di Sardegna Sassari",32,6400,2494,1.4,1.4
34,"(2009) 
Lottomatica Roma",28,5625,2132,1.6,1.6
35,"(2019) 
Happy Casa Brindisi",21,4250,1696,2.1,2.1
36,"(1989) 
Viola Reggio Calabria",30,6050,2598,1.5,1.5
37,"(1999) 
Adr Roma",30,6050,2219,1.5,1.5
38,"(1999) 
Telit Trieste",30,6025,2211,1.5,1.5
39,"(1998) 
Müller Verona",26,5300,2096,1.7,1.7
40,"(1997) 
Fontanafredda Siena",26,5225,1983,1.7,1.7
41,"(1998) 
Polti Cantu'",26,5075,1818,1.7,1.8
42,"(1991) 
Benetton Treviso",30,6000,2500,1.5,1.5
