#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2001) 
Benetton Treviso",36,7250,3359,116.3,115.4
2,"(2002) 
Benetton Treviso",34,6825,3093,117.2,116.7
3,"(2007) 
Montepaschi Siena",34,6825,2998,113.8,113.4
4,"(2001) 
Kinder Bologna",36,7225,3121,106.3,105.9
5,"(2001) 
Montepaschi Siena",36,7300,2975,103.4,101.9
6,"(2003) 
Benetton Treviso",34,6625,2943,109.4,112.3
7,"(2000) 
Benetton Treviso",34,6850,2964,106.7,105.9
8,"(2001) 
Skipper Bologna",36,7200,3075,100.8,100.8
9,"(2006) 
Montepaschi Siena",34,6875,2943,106.5,105.3
10,"(2003) 
Montepaschi Siena",34,6825,3014,106.4,106
11,"(2000) 
Kinder Bologna",34,6850,3018,106.1,105.3
12,"(2001) 
Metis Varese",36,7200,3086,99.1,99.1
13,"(2004) 
Benetton Treviso",34,6825,2836,103.8,103.4
14,"(2003) 
Teramo Basket",34,6875,3098,103.6,102.5
15,"(2004) 
Montepaschi Siena",34,6825,2875,103.6,103.3
16,"(2005) 
Carpisa Napoli",34,6875,3051,103.4,102.3
17,"(2004) 
Climamio Bologna",34,6925,2897,102.7,100.9
18,"(1994) 
Buckler Bologna",32,6425,2866,109,108.5
19,"(1989) 
Scavolini Pesaro",30,6025,2944,116,115.6
20,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,102.1,101
21,"(2005) 
Benetton Treviso",34,6875,2862,102.1,100.9
22,"(2000) 
Müller Verona",34,6850,3056,102.1,101.3
23,"(1987) 
Tracer Milano",30,6025,3055,115.5,115.1
24,"(2003) 
Skipper Bologna",34,6770,2947,101.9,102.3
25,"(1988) 
Enichem Livorno",30,6050,2897,115.3,114.3
26,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,96.1,95.7
27,"(2007) 
Air Avellino",34,6825,2878,101.2,100.9
28,"(2005) 
Climamio Bologna",34,6875,2929,101.1,100
29,"(1995) 
Buckler Bologna",32,6450,2889,106.8,106
30,"(2008) 
Montepaschi Siena",30,6050,2651,113.8,112.9
31,"(2000) 
Varese Roosters",34,6825,3020,100.4,100
32,"(2001) 
Fabriano Basket",36,7275,2983,94.6,93.6
33,"(2002) 
Montepaschi Siena",34,6850,2813,100,99.3
34,"(2001) 
Scavolini Pesaro",36,7275,3003,94.2,93.2
35,"(2002) 
Skipper Bologna",34,6800,2796,99,99
36,"(2000) 
Scavolini Pesaro",34,6875,2969,98.9,97.8
37,"(2000) 
Paf Bologna",34,6900,2750,98.9,97.4
38,"(1990) 
Scavolini Pesaro",30,6050,3004,111.9,110.9
39,"(2007) 
Premiata Montegranaro",34,6850,2853,98.6,97.9
40,"(1987) 
Arexons Cantù",30,6075,2815,111.7,110.3
41,"(2000) 
Viola Reggio Calabria",34,6825,2939,98.4,98
42,"(2005) 
Armani Jeans Milano",34,6850,2826,98.1,97.4
43,"(1989) 
A. Ranger Varese",30,6025,2860,111.1,110.6
44,"(2000) 
Montepaschi Siena",34,6875,2810,97.9,96.8
45,"(2007) 
Siviglia Wear Teramo",34,6850,2845,97.7,97
46,"(1994) 
Cagiva Varese",32,6475,2874,103.6,102.4
47,"(1987) 
Basket Brescia",30,6100,3035,110.5,108.7
48,"(2001) 
Lauretana Biella",36,7300,2966,91.9,90.6
49,"(1990) 
Auxilium Torino",30,6020,2903,110.2,109.8
50,"(2005) 
Angelico Biella",34,6850,2730,97.1,96.4
51,"(2005) 
VidiVici Bologna",34,6825,2887,96.6,96.3
52,"(2004) 
Vertical Vision Cantu'",34,6850,2911,96.6,95.9
53,"(2023) 
Virtus Segafredo Bologna",30,6050,2668,109.5,108.6
54,"(2001) 
De Vizia Avellino",36,7250,2869,91.1,90.5
55,"(2000) 
Adr Roma",34,6850,2818,96.4,95.7
56,"(2005) 
Montepaschi Siena",34,6850,2763,96.4,95.6
57,"(1991) 
Philips Milano",30,6050,2842,108.9,108
58,"(2001) 
Viola Reggio Calabria",36,7250,2972,90.8,90.1
59,"(1991) 
Benetton Treviso",30,6000,2736,108.7,108.7
60,"(2003) 
Metis Varese",34,6850,2906,95.9,95.2
61,"(2004) 
Armani Jeans Milano",34,6825,2680,95.9,95.5
62,"(2000) 
BingoSNAI Montecatini",34,6850,2806,95.7,95
63,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,108.4,107
64,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,108.4,107
65,"(1987) 
Divarese Varese",30,6100,2840,108.4,106.6
66,"(2001) 
Adecco Milano",36,7300,2953,90.2,88.9
