#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,78.9,78.4
2,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,78.5,78.5
3,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,78.8,78.8
4,"(2019) 
Germani Basket Brescia",21,4200,1554,78.9,78.9
5,"(2019) 
Umana Reyer Venezia",21,4225,1582,83.6,83.1
6,"(2019) 
Happy Casa Brindisi",21,4250,1696,85.4,84.4
7,"(1998) 
Kinder Bologna",26,5225,1776,69,68.7
8,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,90.7,89.6
9,"(1998) 
Teamsystem Bologna",26,5200,1817,71.7,71.7
10,"(1997) 
Kinder Bologna",26,5225,1795,72.2,71.8
11,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,89.4,88.9
12,"(2019) 
Vanoli Cremona",20,4000,1617,95.1,95.1
13,"(2019) 
Openjobmetis Varese",19,3825,1522,100.4,99.8
14,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,93.1,92.5
15,"(2019) 
De'Longhi Treviso",21,4200,1664,93.8,93.8
16,"(1998) 
Benetton Treviso",26,5250,1866,76.3,75.6
17,"(1999) 
Paf Bologna",30,6000,2060,66.2,66.2
18,"(2012) 
Lenovo Cantù",30,5825,2031,66.2,68.2
19,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,96.5,96.5
20,"(1997) 
Benetton Treviso",26,5200,1873,78.2,78.2
21,"(2009) 
Montepaschi Siena",28,5600,1965,73.3,73.3
22,"(1996) 
Teamsystem Bologna",26,5225,1932,79.3,79
23,"(1998) 
Polti Cantu'",26,5075,1818,79.6,81.6
24,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,94.4,93.9
25,"(2013) 
EA7 Emporio Armani Milano",30,6025,2134,69.5,69.2
26,"(1998) 
Sony Milano",26,5200,1881,80.3,80.3
27,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,69.9,69.6
28,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,69.9,69.6
29,"(2014) 
EA7 Emporio Armani Milano",30,6000,2202,70.6,70.6
30,"(1996) 
Benetton Treviso",26,5225,1967,81.5,81.1
31,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,71.1,70.4
32,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,71.1,70.4
33,"(1997) 
Teamsystem Bologna",26,5225,1988,82.2,81.8
34,"(1999) 
Kinder Bologna",30,6000,2033,71.4,71.4
35,"(1998) 
Pall. Varese",26,5025,1977,82.8,85.7
36,"(1998) 
Calze Pompea Roma",26,5300,1960,82.9,81.4
37,"(1997) 
Stefanel Milano",26,5200,2014,83.3,83.3
38,"(2019) 
Virtus Roma",22,4425,1880,98.8,98.3
39,"(1996) 
Stefanel Milano",26,5200,2002,83.7,83.7
40,"(2019) 
Oriora Pistoia",22,4400,1832,99.1,99.1
41,"(1997) 
Fontanafredda Siena",26,5225,1983,84,83.6
42,"(1996) 
Fontanafredda Siena",26,5225,2020,84.5,84.1
43,"(1997) 
Calze Pompea Roma",26,5250,1943,85.2,84.3
44,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,73.9,73.2
45,"(2012) 
Montepaschi Siena",30,6000,2160,73.9,73.9
46,"(1996) 
Kinder Bologna",26,5250,2120,85.3,84.5
47,"(1997) 
Pall. Varese",26,5200,2004,85.3,85.3
48,"(2008) 
Montepaschi Siena",30,6050,2153,74,73.4
49,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,79.5,79.5
50,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,79.5,79.5
51,"(2013) 
Pasta Reggia Caserta",30,6025,2175,74.2,73.9
52,"(2013) 
Montepaschi Siena",30,6025,2114,74.5,74.2
