#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Banco di Sardegna Sassari",21,4200,1796,17,17
2,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1533,19.1,18.8
3,"(2019) 
Pompea Fortitudo Bologna",21,4225,1624,18.2,18.1
4,"(2019) 
Happy Casa Brindisi",21,4250,1776,18.3,18.1
5,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1741,18.5,18.5
6,"(2019) 
Segafredo Virtus Bologna",20,4025,1719,20.4,20.2
7,"(2019) 
A|X Armani Exchange Milano",21,4200,1687,19.4,19.4
8,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1583,20.6,20.5
9,"(2019) 
Germani Basket Brescia",21,4200,1707,20,20
10,"(2019) 
Vanoli Cremona",20,4000,1627,21.2,21.2
11,"(2019) 
Dolomiti Energia Trentino",21,4225,1635,20.5,20.4
12,"(2019) 
Umana Reyer Venezia",21,4225,1638,20.7,20.5
13,"(2019) 
Virtus Roma",22,4425,1727,19.9,19.8
14,"(2019) 
Oriora Pistoia",22,4400,1639,19.9,19.9
15,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1671,20.7,20.6
16,"(2019) 
De'Longhi Treviso",21,4200,1620,21.9,21.9
17,"(2019) 
Openjobmetis Varese",19,3825,1570,24.3,24.2
18,"(2020) 
Fortitudo Lavoropiù Bologna",28,5600,2179,17.6,17.6
19,"(1998) 
S.D.A.G. Gorizia",26,5250,1868,19.2,19
20,"(2020) 
Acqua S.Bernardo Cantù",28,5625,2179,18,17.9
21,"(2018) 
Happy Casa Brindisi",30,6075,2454,17,16.8
22,"(2013) 
Banco di Sardegna Sassari",30,6000,2589,17.1,17.1
23,"(1997) 
Fontanafredda Siena",26,5225,1928,19.8,19.7
24,"(2018) 
Fiat Torino",30,6125,2492,17.2,16.9
25,"(2020) 
Happy Casa Brindisi",28,5600,2395,18.5,18.5
26,"(1996) 
Teamsystem Bologna",26,5225,2067,19.9,19.8
27,"(2013) 
Sidigas Avellino",30,6050,2291,17.3,17.2
28,"(2013) 
Pasta Reggia Caserta",30,6025,2189,17.3,17.3
29,"(2023) 
Estra Pistoia",30,6025,2432,17.4,17.3
30,"(2020) 
A|X Armani Exchange Milano",28,5600,2385,18.7,18.7
31,"(2020) 
A|X Armani Exchange Milano",28,5600,2385,18.7,18.7
32,"(1997) 
Teamsystem Bologna",26,5225,2172,20.2,20.1
33,"(2013) 
Vanoli Cremona",30,6025,2285,17.6,17.5
34,"(1998) 
Teamsystem Bologna",26,5200,2023,20.5,20.5
35,"(1997) 
Polti Cantu'",26,5250,1920,20.5,20.3
36,"(1998) 
Kinder Bologna",26,5225,1983,20.5,20.4
37,"(1996) 
Benetton Treviso",26,5225,2195,20.6,20.5
38,"(2009) 
NGC Medical Cantu'",28,5625,2137,19.1,19.1
39,"(1998) 
Zucchetti R.Emilia",26,5300,2037,20.6,20.2
40,"(2021) 
A|X Armani Exchange Milano",30,6050,2465,17.9,17.8
41,"(2021) 
A|X Armani Exchange Milano",30,6050,2465,17.9,17.8
42,"(2015) 
Sidigas Avellino",30,6050,2389,18,17.8
43,"(2020) 
Allianz Pallacanestro Trieste",28,5600,2253,19.3,19.3
44,"(1997) 
Cfm R.Emilia",26,5250,1990,20.7,20.5
45,"(1989) 
Viola Reggio Calabria",30,6050,2582,18,17.9
46,"(2016) 
Banco di Sardegna Sassari",30,6000,2301,18,18
47,"(1996) 
Cagiva Varese",26,5250,2180,20.8,20.6
48,"(1996) 
Viola Reggio Calabria",26,5250,2093,20.9,20.7
49,"(1998) 
Mabo Pistoia",26,5200,1792,20.9,20.9
50,"(2021) 
Dolomiti Energia Trentino",30,6102,2345,18.2,17.9
51,"(2021) 
Fortitudo Kigili Bologna",30,6027,2429,18.2,18.1
52,"(2014) 
Upea Capo d'Orlando",30,6000,2094,18.2,18.2
53,"(2020) 
Banco di Sardegna Sassari",28,5625,2527,19.5,19.4
54,"(2013) 
Acqua Vitasnella Cantù",30,6050,2432,18.2,18.1
55,"(2012) 
Lenovo Cantù",30,5825,2222,18.2,18.8
56,"(2017) 
VL Pesaro",30,6050,2310,18.3,18.1
57,"(2016) 
Sidigas Avellino",30,6075,2392,18.3,18.1
58,"(2020) 
Dolomiti Energia Trentino",28,5650,2191,19.6,19.5
59,"(2015) 
Openjobmetis Varese",30,6025,2252,18.4,18.3
60,"(2018) 
Vanoli Cremona",30,5850,2484,18.4,18.8
61,"(2023) 
Umana Reyer Venezia",30,6025,2488,18.4,18.3
62,"(2017) 
Sidigas Avellino",30,6175,2492,18.5,18
63,"(1996) 
Scavolini Pesaro",26,5275,2223,21.3,21
64,"(1996) 
Polti Cantu'",26,5250,2001,21.3,21.1
65,"(2017) 
Segafredo Virtus Bologna",30,6025,2353,18.5,18.5
66,"(2020) 
Vanoli Basket Cremona",28,5700,2370,19.9,19.5
67,"(1989) 
Neutroroberts Firenze",30,6150,2648,18.6,18.1
68,"(1991) 
S. Clear Cantu'",30,6025,2527,18.6,18.5
69,"(2013) 
Montepaschi Siena",30,6025,2308,18.6,18.5
70,"(1997) 
Scavolini Pesaro",26,5225,2017,21.5,21.4
71,"(1997) 
Pepsi Rimini",26,5200,1808,21.5,21.5
72,"(2017) 
Betaland Capo d'Orlando",30,6050,2153,18.6,18.5
73,"(2016) 
Betaland Capo d'Orlando",30,6050,2291,18.6,18.5
74,"(2023) 
EA7 Emporio Armani Milano",30,6000,2412,18.6,18.6
75,"(1989) 
Enimont Livorno",30,6025,2699,18.7,18.6
76,"(2016) 
Vanoli Cremona",30,6025,2370,18.7,18.7
77,"(2013) 
Sutor Montegranaro",30,6025,2328,18.7,18.7
78,"(2016) 
Germani Basket Brescia",30,6025,2360,18.8,18.7
79,"(2023) 
Openjobmetis Varese",30,6000,2618,18.8,18.8
80,"(2017) 
Dolomiti Energia Trentino",30,6000,2423,18.8,18.8
81,"(1996) 
C. Montana Forli'",26,5200,1951,21.7,21.7
82,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2418,18.8,18.6
83,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2418,18.8,18.6
84,"(1998) 
Sony Milano",26,5200,1952,21.7,21.7
85,"(2013) 
Victoria Libertas Pesaro",30,6125,2360,18.8,18.4
86,"(2022) 
GeVi Napoli Basket",30,6075,2379,18.8,18.6
87,"(1996) 
Telemarket Roma",26,5275,2176,21.7,21.4
88,"(2021) 
Allianz Pallacanestro Trieste",30,6098,2390,18.9,18.6
89,"(2021) 
Allianz Pallacanestro Trieste",30,6098,2390,18.9,18.6
90,"(2009) 
Pepsi Caserta",28,5675,2247,20.2,19.9
91,"(1997) 
Benetton Treviso",26,5200,2000,21.8,21.8
92,"(2016) 
Dolomiti Energia Trentino",30,6050,2352,18.9,18.7
93,"(1997) 
Calze Pompea Roma",26,5250,1939,21.8,21.6
94,"(2021) 
Vanoli Basket Cremona",30,6075,2386,18.9,18.7
95,"(2012) 
Banco di Sardegna Sassari",30,6050,2677,18.9,18.8
96,"(2015) 
Dolomiti Energia Trentino",30,6025,2292,18.9,18.9
97,"(1998) 
Polti Cantu'",26,5075,1779,21.8,22.4
98,"(2014) 
Acqua Vitasnella Cantù",30,6100,2389,19,18.7
99,"(2021) 
GeVi Napoli Basket",30,6075,2393,19,18.7
100,"(2016) 
VL Pallacanestro Pesaro",30,6050,2285,19,18.8
101,"(2020) 
Openjobmetis Varese",28,5675,2271,20.3,20.1
102,"(2020) 
Virtus Segafredo Bologna",28,5600,2397,20.3,20.3
103,"(2008) 
Eldo Caserta",30,6050,2236,19,18.8
104,"(2016) 
MIA-Red October Cantù",30,6025,2335,19,18.9
105,"(2020) 
UNAHOTELS Reggio Emilia",28,5625,2122,20.4,20.3
106,"(1996) 
Mash J. Verona",26,5350,2089,21.9,21.3
107,"(2022) 
Pallacanestro Trieste",30,6075,2345,19,18.8
108,"(2014) 
Banco di Sardegna Sassari",30,6075,2549,19,18.8
109,"(2022) 
Virtus Segafredo Bologna",30,6025,2542,19.1,19
110,"(2022) 
Virtus Segafredo Bologna",30,6025,2542,19.1,19
111,"(1997) 
Viola Reggio Calabria",26,5200,1946,22,22
112,"(2017) 
Germani Basket Brescia",30,6075,2397,19.1,18.9
113,"(2018) 
A|X Armani Exchange Milano",30,5875,2609,19.1,19.5
114,"(2017) 
Fiat Torino",30,6025,2432,19.2,19.1
115,"(2014) 
Sidigas Avellino",30,6000,2283,19.2,19.2
116,"(2016) 
Fiat Torino",30,6075,2455,19.3,19
117,"(2022) 
Bertram Yachts Derthona Tortona",30,6025,2407,19.3,19.2
118,"(2022) 
Bertram Yachts Derthona Tortona",30,6025,2407,19.3,19.2
119,"(2008) 
Solsonica Rieti",30,6050,2187,19.3,19.1
120,"(1996) 
Fontanafredda Siena",26,5225,2021,22.3,22.2
121,"(1996) 
Stefanel Milano",26,5200,2101,22.3,22.3
122,"(2023) 
Virtus Segafredo Bologna",30,6050,2668,19.3,19.2
123,"(1998) 
Müller Verona",26,5300,1969,22.4,22
124,"(1998) 
Benetton Treviso",26,5250,2108,22.4,22.2
125,"(2021) 
Happy Casa Brindisi",30,6075,2440,19.5,19.2
126,"(2021) 
Happy Casa Brindisi",30,6075,2440,19.5,19.2
127,"(1998) 
Pepsi Rimini",26,5225,1774,22.5,22.4
128,"(1997) 
Pall. Varese",26,5200,2103,22.5,22.5
129,"(2013) 
Cimberio Varese",30,6025,2389,19.5,19.4
130,"(2002) 
Carifac Fabriano",34,6925,2460,17.2,16.9
131,"(2017) 
Happy Casa Brindisi",30,6075,2317,19.5,19.3
132,"(2020) 
De'Longhi Treviso",28,5600,2353,20.9,20.9
133,"(1998) 
Pall. Varese",26,5025,2133,22.5,23.3
134,"(2018) 
Germani Basket Brescia",30,6050,2408,19.6,19.4
135,"(2009) 
Air Avellino",28,5675,2125,21,20.7
136,"(1994) 
Comerson Siena",32,6400,2417,18.4,18.4
137,"(2022) 
EA7 Emporio Armani Milano",30,6025,2481,19.6,19.5
138,"(2022) 
EA7 Emporio Armani Milano",30,6025,2481,19.6,19.5
139,"(2009) 
Carife Ferrara",28,5675,2074,21,20.7
140,"(1997) 
Stefanel Milano",26,5200,2030,22.6,22.6
