#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2006) 
Armani Jeans Milano",34,6800,2663,26,26
2,"(2003) 
Teramo Basket",34,6875,3098,25.2,25
3,"(2001) 
Adecco Milano",36,7300,2953,23.6,23.3
4,"(2001) 
Kinder Bologna",36,7225,3121,23.4,23.4
5,"(2000) 
Lineltex Imola",34,6900,2894,24.2,23.9
6,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,22.7,22.6
7,"(2001) 
Benetton Treviso",36,7250,3359,22.6,22.4
8,"(2003) 
Montepaschi Siena",34,6825,3014,23.9,23.8
9,"(2001) 
Fillattice Imola",36,7325,2856,22.5,22.1
10,"(2001) 
Coop Nordest Trieste",36,7250,2861,22.4,22.2
11,"(2004) 
Armani Jeans Milano",34,6825,2680,23.6,23.6
12,"(2005) 
Air Avellino",34,6800,2589,23.6,23.6
13,"(2001) 
Müller Verona",36,7225,2852,22.2,22.1
14,"(1995) 
Teamsystem Bologna",32,6525,2723,24.9,24.5
15,"(2005) 
Carpisa Napoli",34,6875,3051,23.4,23.2
16,"(2000) 
Poliform Cantu'",34,6900,2676,23.4,23
17,"(2004) 
Bipop Carire RE",34,6875,2657,23.4,23.1
18,"(2001) 
Metis Varese",36,7200,3086,22.1,22.1
19,"(2007) 
Premiata Montegranaro",34,6850,2853,23.3,23.2
20,"(2002) 
Benetton Treviso",34,6825,3093,23.3,23.2
21,"(2001) 
Euro Roseto",36,7250,3018,21.9,21.8
22,"(2005) 
Whirlpool Varese",34,6875,2620,23.2,23
23,"(2006) 
Siviglia Wear Teramo",34,6800,2758,23.2,23.2
24,"(2005) 
Snaidero Udine",34,6850,2819,23.2,23
25,"(2001) 
Skipper Bologna",36,7200,3075,21.9,21.9
26,"(2005) 
Upea Capo d'Orlando",34,6900,2779,23.2,22.8
27,"(1994) 
Buckler Bologna",32,6425,2866,24.6,24.5
28,"(2006) 
Whirlpool Varese",34,6900,2747,23.1,22.8
29,"(2000) 
Benetton Treviso",34,6850,2964,23.1,22.9
30,"(2007) 
Siviglia Wear Teramo",34,6850,2845,23.1,22.9
31,"(2003) 
Metis Varese",34,6850,2906,23.1,22.9
32,"(2001) 
De Vizia Avellino",36,7250,2869,21.8,21.6
33,"(2001) 
Fabriano Basket",36,7275,2983,21.7,21.5
34,"(2005) 
Vertical Vision Cantu'",34,6850,2699,23,22.8
35,"(2003) 
Snaidero Cucine Udine",34,6950,2850,23,22.5
36,"(2000) 
Müller Verona",34,6850,3056,23,22.8
37,"(1993) 
Filodoro Bologna",30,6050,2506,26,25.8
38,"(2006) 
Montepaschi Siena",34,6875,2943,22.9,22.7
39,"(2005) 
Armani Jeans Milano",34,6850,2826,22.9,22.7
40,"(2004) 
Montepaschi Siena",34,6825,2875,22.9,22.8
41,"(2004) 
Climamio Bologna",34,6925,2897,22.9,22.5
42,"(2004) 
Vertical Vision Cantu'",34,6850,2911,22.9,22.7
43,"(2006) 
TDShop.it Livorno",34,6850,2681,22.9,22.7
44,"(2001) 
Mabo Prefabbricati Livorno",36,7250,2979,21.6,21.4
45,"(2000) 
Cordivari Roseto",34,6600,2789,22.8,23.5
46,"(2005) 
Climamio Bologna",34,6875,2929,22.8,22.5
47,"(2005) 
Basket Livorno",34,6925,2764,22.8,22.4
48,"(2006) 
Premiata Montegranaro",34,6825,2699,22.8,22.7
49,"(2006) 
Climamio Bologna",34,6850,2764,22.7,22.6
50,"(2004) 
Casti Group Varese",34,6825,2736,22.7,22.7
51,"(2005) 
VidiVici Bologna",34,6825,2887,22.7,22.6
52,"(2002) 
Oregon Scientific Cantu'",34,6800,2718,22.7,22.7
53,"(2002) 
Skipper Bologna",34,6800,2796,22.7,22.7
54,"(2007) 
Solsonica Rieti",34,6875,2689,22.7,22.4
55,"(2006) 
Legea Scafati",34,6850,2748,22.7,22.5
56,"(2003) 
Oregon Scientific Cantu'",34,6825,2835,22.7,22.6
57,"(2004) 
Air Avellino",34,6800,2737,22.6,22.6
58,"(1995) 
Nuova Tirrena Roma",32,6450,2711,24.1,23.9
59,"(2006) 
Eldo Napoli",34,6875,2648,22.6,22.4
60,"(2000) 
Kinder Bologna",34,6850,3018,22.6,22.5
61,"(2005) 
Angelico Biella",34,6850,2730,22.6,22.5
62,"(2000) 
Viola Reggio Calabria",34,6825,2939,22.6,22.5
63,"(2006) 
Benetton Treviso",34,6800,2582,22.6,22.6
64,"(2005) 
Benetton Treviso",34,6875,2862,22.5,22.3
65,"(2002) 
Euro Roseto",34,6825,2682,22.5,22.4
66,"(1995) 
Scavolini Pesaro",32,6475,2791,23.9,23.7
67,"(1995) 
Buckler Bologna",32,6450,2889,23.9,23.8
68,"(2007) 
La Fortezza Bologna",34,6850,2684,22.5,22.3
69,"(2002) 
Metis Varese",34,6825,2695,22.5,22.4
70,"(2003) 
Skipper Bologna",34,6770,2947,22.5,22.6
71,"(1993) 
Stefanel Trieste",30,6075,2584,25.5,25.2
72,"(1993) 
Buckler Bologna",30,6075,2651,25.5,25.2
73,"(2000) 
Montepaschi Siena",34,6875,2810,22.5,22.2
74,"(2004) 
Navigo.it Teramo",34,6825,2758,22.5,22.4
75,"(2001) 
Montepaschi Siena",36,7300,2975,21.2,20.9
76,"(2007) 
Upim Bologna",34,6850,2669,22.4,22.3
77,"(1995) 
Cagiva Varese",32,6475,2807,23.8,23.6
78,"(2005) 
Lottomatica Roma",34,6900,2740,22.4,22.1
79,"(2003) 
Lauretana Biella",34,6900,2756,22.4,22.1
80,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,22.4,22.1
81,"(2003) 
Benetton Treviso",34,6625,2943,22.4,22.9
82,"(1993) 
Recoaro Milano",30,6075,2740,25.3,25
83,"(2004) 
Eurofiditalia R.Calabria",34,6875,2720,22.3,22.1
84,"(1987) 
Hitachi Venezia",30,6025,2855,25.2,25.1
85,"(2002) 
Air Avellino",34,6900,2728,22.2,21.9
86,"(2003) 
Tris Reggio Calabria",34,6900,2733,22.2,21.9
87,"(1992) 
Panasonic R.Calabria",30,6075,2688,25.2,24.9
88,"(2005) 
Navigo.it Teramo",34,6800,2786,22.2,22.2
89,"(2003) 
Breil Milano",34,6800,2744,22.1,22.1
90,"(2000) 
Varese Roosters",34,6825,3020,22.1,22
91,"(1990) 
Auxilium Torino",30,6020,2903,25,24.9
92,"(2001) 
Snaidero Udine",36,7225,2858,20.8,20.7
93,"(2007) 
Cimberio Varese",34,6975,2656,22,21.5
94,"(2006) 
Lottomatica Roma",34,6925,2556,22,21.6
95,"(2007) 
Montepaschi Siena",34,6825,2998,22,21.9
96,"(2000) 
De Vizia Avellino",34,6850,2807,22,21.8
97,"(2006) 
Air Avellino",34,6825,2648,22,21.9
98,"(2011) 
Scavolini Siviglia Pesaro",32,6450,2419,23.4,23.2
99,"(2000) 
Paf Bologna",34,6900,2750,22,21.7
100,"(2004) 
Benetton Treviso",34,6825,2836,22,21.9
101,"(1988) 
Enichem Livorno",30,6050,2897,24.9,24.7
102,"(2001) 
Viola Reggio Calabria",36,7250,2972,20.7,20.6
103,"(2004) 
Lottomatica Roma",34,6850,2761,21.9,21.8
104,"(2003) 
Scavolini Pesaro",34,6700,2918,21.9,22.3
105,"(1993) 
Bialetti Montecatini",30,6075,2472,24.9,24.6
106,"(1992) 
Stefanel Trieste",30,6000,2417,24.9,24.9
107,"(2000) 
BingoSNAI Montecatini",34,6850,2806,21.9,21.8
108,"(2002) 
Pippo Milano",34,6850,2743,21.9,21.7
109,"(2006) 
Bipop Carire R.Emilia",34,6800,2560,21.9,21.9
110,"(2004) 
Sicc Cucine Jesi",34,6850,2751,21.9,21.7
111,"(2002) 
Scavolini Pesaro",34,6850,2736,21.8,21.7
112,"(2001) 
Lauretana Biella",36,7300,2966,20.6,20.3
113,"(2001) 
Scavolini Pesaro",36,7275,3003,20.6,20.4
114,"(2007) 
Angelico Biella",34,6875,2725,21.8,21.6
115,"(1994) 
Cagiva Varese",32,6475,2874,23.2,22.9
116,"(1988) 
Arimo Bologna",30,6025,2636,24.7,24.6
117,"(2002) 
Viola Reggio Calabria",34,6850,2607,21.8,21.6
118,"(2006) 
Angelico Biella",34,6850,2740,21.7,21.5
119,"(2004) 
Snaidero Cucine Udine",34,6825,2675,21.7,21.6
120,"(1995) 
Stefanel Milano",32,6475,2789,23.1,22.8
121,"(2003) 
Pompea Napoli",34,6825,2858,21.7,21.6
122,"(1995) 
Madigan Pistoia",32,6425,2648,23,22.9
123,"(2001) 
Würth Roma",36,7225,2813,20.4,20.4
124,"(2004) 
Sedima Roseto",34,6850,2692,21.6,21.5
125,"(2000) 
Adr Roma",34,6850,2818,21.6,21.5
126,"(2007) 
Armani Jeans Milano",34,6800,2708,21.6,21.6
127,"(2005) 
Bipop Carire R.Emilia",34,6975,2796,21.6,21.1
128,"(2002) 
Virtus Bologna",34,6850,2659,21.6,21.5
129,"(2003) 
Air Avellino",34,6825,2834,21.6,21.5
130,"(2002) 
Mabo Prefabbricati Livorno",34,6800,2637,21.6,21.6
131,"(1993) 
Pfizer R.Calabria",30,6050,2547,24.5,24.3
132,"(2003) 
Mabo Livorno",34,6850,2765,21.6,21.4
133,"(1988) 
Snaidero Caserta",30,6000,2803,24.5,24.5
134,"(1994) 
Scavolini Pesaro",32,6500,2727,22.9,22.5
135,"(2000) 
Scavolini Pesaro",34,6875,2969,21.5,21.3
136,"(1995) 
Mash J. Verona",32,6525,2647,22.8,22.4
137,"(1994) 
Madigan Pistoia",32,6425,2670,22.8,22.8
138,"(1992) 
Benetton Treviso",30,6075,2658,24.4,24.1
139,"(1995) 
Olitalia Forli'",32,6475,2614,22.8,22.5
140,"(1992) 
Scavolini Pesaro",30,6000,2557,24.3,24.3
141,"(1994) 
Filodoro Bologna",32,6475,2725,22.8,22.5
142,"(2003) 
Lottomatica Roma",34,6925,2712,21.4,21
143,"(2004) 
Villaggio Solidago Livorno",34,6825,2815,21.4,21.3
144,"(2011) 
Montepaschi Siena",32,6475,2639,22.8,22.5
145,"(1993) 
Onyx Caserta",30,6000,2678,24.3,24.3
146,"(2004) 
Pompea Napoli",34,6900,2885,21.4,21.1
147,"(2007) 
Benetton Treviso",34,6825,2607,21.4,21.3
148,"(1994) 
Stefanel Milano",32,6450,2766,22.7,22.5
149,"(2006) 
Snaidero Cucine Udine",34,6800,2753,21.4,21.4
150,"(2000) 
Telit Trieste",34,6625,2683,21.4,21.9
151,"(2000) 
Vip Rimini",34,6800,2914,21.3,21.3
152,"(2007) 
Tisettanta Cantu'",34,6875,2708,21.3,21
153,"(1993) 
Benetton Treviso",30,6100,2480,24.1,23.7
154,"(2010) 
Canadian Solar Bologna",30,6100,2345,24.1,23.7
155,"(2004) 
Lauretana Biella",34,6800,2747,21.2,21.2
156,"(1992) 
Robe di Kappa Torino",30,6125,2594,24.1,23.6
157,"(1991) 
Robe di Kappa Torino",30,6075,2663,24.1,23.8
158,"(2000) 
Adecco Milano",34,6875,2870,21.2,21
159,"(1992) 
Knorr Bologna",30,6050,2575,24,23.8
160,"(2005) 
Montepaschi Siena",34,6850,2763,21.2,21
161,"(2004) 
Scavolini Pesaro",34,6800,2709,21.2,21.2
162,"(2005) 
BT Roseto",34,6800,2464,21.2,21.2
163,"(1991) 
A. Ranger Varese",30,6050,2675,24,23.8
164,"(1992) 
Marr Rimini",30,6100,2489,24,23.6
165,"(1990) 
Philips Milano",30,6025,2857,24,23.9
166,"(2003) 
Sicilia Messina",34,6900,2768,21.1,20.8
167,"(2006) 
Tisettanta Cantu'",34,6900,2679,21.1,20.8
168,"(2006) 
Upea Capo d'Orlando",34,6825,2524,21.1,21
169,"(1993) 
C. Campeginese R.Emilia",30,6075,2582,23.9,23.6
170,"(2007) 
Eldo Napoli",34,6875,2672,21,20.8
171,"(1994) 
Benetton Treviso",32,6425,2781,22.3,22.2
172,"(2003) 
Euro Roseto",34,6570,2841,21,21.7
173,"(1993) 
Kleenex Pistoia",30,6050,2588,23.7,23.5
174,"(1993) 
Burghy Roma",30,6025,2666,23.7,23.6
175,"(1992) 
Philips Milano",30,6025,2752,23.7,23.6
176,"(2007) 
Scavolini Spar Pesaro",34,6825,2762,20.9,20.8
177,"(1987) 
Arexons Cantù",30,6075,2815,23.6,23.3
178,"(1990) 
Il Messaggero Roma",30,6020,2731,23.6,23.5
179,"(2011) 
Canadian Solar Bologna",32,6450,2414,22.1,21.9
180,"(1987) 
Wuber Napoli",30,6100,2634,23.6,23.2
181,"(2011) 
Fabi Shoes Montegranaro",32,6425,2482,22.1,22
182,"(1995) 
Teorematour Milano",32,6400,2458,22.1,22.1
183,"(1987) 
Enichem Livorno",30,6050,2782,23.5,23.3
184,"(1987) 
Scavolini Pesaro",30,6050,2823,23.5,23.3
185,"(1994) 
Teorematour Roma",32,6425,2572,22,21.9
186,"(1990) 
Stefanel Trieste",30,6050,2609,23.5,23.3
187,"(1992) 
S. Clear Cantu'",30,6100,2572,23.5,23.1
188,"(2008) 
Banca Tercas Teramo",30,6100,2491,23.5,23.1
189,"(1992) 
Kleenex Pistoia",30,6050,2521,23.5,23.3
190,"(1991) 
Glaxo Verona",30,6050,2617,23.5,23.3
191,"(1987) 
Banco Roma",30,6025,2776,23.5,23.4
192,"(2002) 
Lauretana Biella",34,6950,2746,20.7,20.2
193,"(1992) 
Teamsystem Fabriano",30,6100,2419,23.4,23
194,"(1990) 
A. Ranger Varese",30,6075,2802,23.4,23.1
195,"(1988) 
Paini Napoli",30,5800,2516,23.4,24.2
196,"(1995) 
Viola Reggio Calabria",32,6450,2488,21.9,21.8
197,"(2007) 
Snaidero Cucine Udine",34,6825,2591,20.6,20.5
198,"(2011) 
Angelico Biella",32,6500,2454,21.9,21.6
199,"(1995) 
Benetton Treviso",32,6425,2761,21.9,21.8
200,"(1993) 
Glaxo Verona",30,6075,2539,23.4,23.1
201,"(2002) 
Pompea Napoli",34,6850,2735,20.6,20.4
202,"(2006) 
VidiVici Bologna",34,6850,2779,20.5,20.4
203,"(1987) 
S. Benedetto Torino",30,6000,2711,23.2,23.2
204,"(2002) 
Montepaschi Siena",34,6850,2813,20.4,20.3
205,"(1995) 
Illycaffe' Trieste",32,6425,2557,21.7,21.6
206,"(1992) 
Phonola Caserta",30,6075,2541,23.2,22.9
207,"(1993) 
Scavolini Pesaro",30,6000,2625,23.2,23.2
208,"(1992) 
Bialetti Montecatini",30,6075,2485,23.1,22.8
209,"(1990) 
Knorr Bologna",30,6019,2574,23.1,23.1
210,"(2003) 
Coop Nordest Trieste",34,6625,2518,20.4,20.9
211,"(1990) 
Benetton Treviso",30,6000,2742,23.1,23.1
212,"(1990) 
Filanto Forli'",30,6025,2980,23.1,23
213,"(2002) 
Lottomatica Roma",34,6825,2670,20.3,20.2
214,"(1991) 
Pall. Trapani",30,6125,2447,23,22.5
215,"(2002) 
Acegas Trieste",34,6875,2680,20.2,20
216,"(1989) 
Phonola Caserta",30,6050,2789,22.9,22.7
217,"(1987) 
Snaidero Caserta",30,6000,2927,22.9,22.9
218,"(1988) 
Vismara Cantu'",30,5825,2745,22.9,23.6
219,"(2010) 
Cimberio Varese",30,6050,2385,22.9,22.7
220,"(1999) 
Pepsi Rimini",30,6025,2145,22.9,22.8
221,"(2010) 
Fabi Shoes Montegranaro",30,6050,2314,22.9,22.7
222,"(2010) 
Montepaschi Siena",30,6000,2514,22.9,22.9
223,"(1988) 
Cantine Riunite R.Emilia",30,5825,2502,22.9,23.6
224,"(1994) 
Comerson Siena",32,6400,2417,21.4,21.4
225,"(1989) 
Philips Milano",30,6000,2797,22.8,22.8
226,"(1992) 
Virtus Roma",30,6000,2695,22.8,22.8
227,"(1994) 
Pfizer R.Calabria",32,6425,2629,21.4,21.3
228,"(1990) 
S. Clear Cantu'",30,6050,2663,22.8,22.6
229,"(1988) 
Benetton Treviso",30,6025,2467,22.7,22.6
230,"(1990) 
Pall. Firenze",30,6000,2652,22.7,22.7
231,"(1988) 
Divarese Varese",30,6000,2614,22.7,22.7
232,"(1987) 
Benetton Treviso",30,6050,2485,22.6,22.4
233,"(1993) 
Acqua Lora Venezia",30,6050,2370,22.6,22.4
234,"(1994) 
Illycaffe' Trieste",32,6425,2663,21.2,21.1
235,"(2005) 
Viola R.Calabria",34,6875,2549,19.9,19.7
236,"(1989) 
A. Ranger Varese",30,6025,2860,22.5,22.4
237,"(1988) 
Ipifim Torino",30,6025,2706,22.5,22.4
238,"(1988) 
Hitachi Venezia",30,6000,2482,22.5,22.5
239,"(1989) 
Paini Napoli",30,6000,2656,22.5,22.5
240,"(2002) 
Carifac Fabriano",34,6925,2460,19.9,19.5
241,"(1988) 
Philips Milano",30,6000,2760,22.5,22.5
242,"(2012) 
Juve Caserta",30,6100,2164,22.5,22.1
243,"(1991) 
Il Messaggero Roma",30,6050,2778,22.5,22.3
244,"(1988) 
Scavolini Pesaro",30,6000,2678,22.5,22.5
245,"(2000) 
Snaidero Udine",34,6850,2829,19.8,19.6
246,"(2007) 
Air Avellino",34,6825,2878,19.8,19.7
247,"(1990) 
Scavolini Pesaro",30,6050,3004,22.4,22.2
248,"(1990) 
Libertas Livorno",30,6025,2718,22.4,22.3
249,"(1999) 
Lineltex Imola",30,6025,2487,22.4,22.3
250,"(1994) 
Panapesca Montecatini",32,6450,2649,21,20.8
251,"(2011) 
EA7 Armani Milano",32,6400,2532,21,21
252,"(1989) 
Scavolini Pesaro",30,6025,2944,22.4,22.3
253,"(1987) 
Tracer Milano",30,6025,3055,22.4,22.3
254,"(1991) 
Stefanel Trieste",30,6025,2414,22.4,22.3
255,"(1991) 
Benetton Treviso",30,6000,2736,22.4,22.4
256,"(1991) 
Scavolini Pesaro",30,6000,2690,22.3,22.3
257,"(1995) 
Cx Orologi Siena",32,6425,2452,20.9,20.8
258,"(2010) 
Dinamo Sassari",30,6075,2463,22.3,22
