#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,16,16
2,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,17.7,17.6
3,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,18.6,18.4
4,"(2019) 
Happy Casa Brindisi",21,4250,1696,17.8,17.6
5,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,18.1,18.1
6,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,19.8,19.6
7,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,19,19
8,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,20.4,20.2
9,"(2019) 
Germani Basket Brescia",21,4200,1554,19.6,19.6
10,"(2019) 
Vanoli Cremona",20,4000,1617,21,21
11,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,20,19.9
12,"(2019) 
Virtus Roma",22,4425,1880,19.4,19.3
13,"(2019) 
Umana Reyer Venezia",21,4225,1582,20.5,20.4
14,"(2019) 
Oriora Pistoia",22,4400,1832,19.6,19.6
15,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,20.3,20.2
16,"(2019) 
De'Longhi Treviso",21,4200,1664,21.5,21.5
17,"(2019) 
Openjobmetis Varese",19,3825,1522,24.1,23.9
18,"(2020) 
Fortitudo Lavoropiù Bologna",28,5600,2291,17.3,17.3
19,"(2020) 
Acqua S.Bernardo Cantù",28,5625,2313,17.6,17.6
20,"(1998) 
S.D.A.G. Gorizia",26,5250,2037,19.2,19
21,"(2018) 
Happy Casa Brindisi",30,6075,2370,16.7,16.5
22,"(2013) 
Banco di Sardegna Sassari",30,6000,2400,16.7,16.7
23,"(2018) 
Fiat Torino",30,6125,2611,16.7,16.4
24,"(2013) 
Pasta Reggia Caserta",30,6025,2175,16.8,16.8
25,"(2013) 
Sidigas Avellino",30,6050,2419,16.9,16.7
26,"(2023) 
Estra Pistoia",30,6025,2514,16.9,16.8
27,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,18.1,18.1
28,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,18.1,18.1
29,"(2020) 
Happy Casa Brindisi",28,5600,2212,18.2,18.2
30,"(1997) 
Fontanafredda Siena",26,5225,1983,19.8,19.7
31,"(1996) 
Teamsystem Bologna",26,5225,1932,19.9,19.8
32,"(2020) 
Banco di Sardegna Sassari",28,5625,2437,18.5,18.5
33,"(2013) 
Vanoli Cremona",30,6025,2464,17.4,17.3
34,"(1997) 
Teamsystem Bologna",26,5225,1988,20.2,20.1
35,"(2016) 
Banco di Sardegna Sassari",30,6000,2218,17.6,17.6
36,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,17.6,17.4
37,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,17.6,17.4
38,"(2023) 
Umana Reyer Venezia",30,6025,2356,17.6,17.5
39,"(2015) 
Openjobmetis Varese",30,6025,2344,17.7,17.7
40,"(1998) 
Teamsystem Bologna",26,5200,1817,20.5,20.5
41,"(2021) 
Fortitudo Kigili Bologna",30,6025,2511,17.8,17.7
42,"(2021) 
Dolomiti Energia Trentino",30,6100,2447,17.8,17.5
43,"(2013) 
Acqua Vitasnella Cantù",30,6050,2290,17.8,17.7
44,"(2015) 
Sidigas Avellino",30,6050,2307,17.8,17.7
45,"(2020) 
Allianz Pallacanestro Trieste",28,5600,2249,19.1,19.1
46,"(1997) 
Polti Cantu'",26,5250,2022,20.5,20.3
47,"(1998) 
Kinder Bologna",26,5225,1776,20.5,20.4
48,"(2016) 
Sidigas Avellino",30,6075,2285,17.8,17.6
49,"(1996) 
Benetton Treviso",26,5225,1967,20.6,20.5
50,"(2012) 
Lenovo Cantù",30,5825,2031,17.9,18.4
51,"(2009) 
NGC Medical Cantu'",28,5625,2114,19.1,19.1
52,"(1998) 
Zucchetti R.Emilia",26,5300,2097,20.6,20.2
53,"(2014) 
Upea Capo d'Orlando",30,6000,2222,18,18
54,"(2020) 
Dolomiti Energia Trentino",28,5650,2228,19.3,19.1
55,"(1997) 
Cfm R.Emilia",26,5250,2066,20.7,20.5
56,"(2017) 
VL Pesaro",30,6050,2547,18,17.9
57,"(1989) 
Viola Reggio Calabria",30,6050,2598,18,17.9
58,"(2017) 
Dolomiti Energia Trentino",30,6000,2304,18,18
59,"(1996) 
Cagiva Varese",26,5250,2139,20.8,20.6
60,"(2016) 
Betaland Capo d'Orlando",30,6050,2315,18.1,18
61,"(2013) 
Sutor Montegranaro",30,6025,2608,18.1,18
62,"(1996) 
Viola Reggio Calabria",26,5250,2213,20.9,20.7
63,"(1998) 
Mabo Pistoia",26,5200,2012,20.9,20.9
64,"(2017) 
Segafredo Virtus Bologna",30,6025,2292,18.1,18.1
65,"(2023) 
EA7 Emporio Armani Milano",30,6000,2235,18.2,18.2
66,"(2018) 
Vanoli Cremona",30,5850,2360,18.2,18.7
67,"(2014) 
Acqua Vitasnella Cantù",30,6100,2354,18.3,18
68,"(2020) 
Vanoli Basket Cremona",28,5700,2395,19.6,19.2
69,"(2017) 
Sidigas Avellino",30,6175,2313,18.3,17.8
70,"(2012) 
Banco di Sardegna Sassari",30,6050,2513,18.3,18.1
71,"(2016) 
Germani Basket Brescia",30,6025,2453,18.3,18.2
72,"(2017) 
Germani Basket Brescia",30,6075,2282,18.3,18.1
73,"(2023) 
Openjobmetis Varese",30,6000,2702,18.4,18.4
74,"(2017) 
Betaland Capo d'Orlando",30,6050,2544,18.4,18.2
75,"(2013) 
Montepaschi Siena",30,6025,2114,18.4,18.3
76,"(2020) 
Virtus Segafredo Bologna",28,5600,2168,19.7,19.7
77,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,18.5,18.2
78,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,18.5,18.2
79,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,18.5,18.3
80,"(1996) 
Scavolini Pesaro",26,5275,2275,21.3,21
81,"(1996) 
Polti Cantu'",26,5250,2038,21.3,21.1
82,"(2022) 
GeVi Napoli Basket",30,6075,2515,18.5,18.3
83,"(2021) 
GeVi Napoli Basket",30,6075,2455,18.5,18.3
84,"(1989) 
Neutroroberts Firenze",30,6150,2834,18.6,18.1
85,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2412,18.6,18.4
86,"(2021) 
Bertram Derthona Basket Tortona",30,6050,2412,18.6,18.4
87,"(2016) 
Dolomiti Energia Trentino",30,6050,2201,18.6,18.4
88,"(1991) 
S. Clear Cantu'",30,6025,2444,18.6,18.5
89,"(2015) 
Dolomiti Energia Trentino",30,6025,2274,18.6,18.5
90,"(2016) 
Vanoli Cremona",30,6025,2416,18.6,18.5
91,"(2013) 
Victoria Libertas Pesaro",30,6125,2623,18.6,18.2
92,"(1997) 
Scavolini Pesaro",26,5225,2195,21.5,21.4
93,"(1997) 
Pepsi Rimini",26,5200,1938,21.5,21.5
94,"(2014) 
Banco di Sardegna Sassari",30,6075,2435,18.6,18.4
95,"(2021) 
Happy Casa Brindisi",30,6073,2499,18.7,18.4
96,"(2021) 
Happy Casa Brindisi",30,6073,2499,18.7,18.4
97,"(2017) 
Fiat Torino",30,6025,2494,18.7,18.6
