#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(1994) 
Buckler Bologna",32,6425,2866,79.7,79.7
2,"(2003) 
Teramo Basket",34,6875,3098,77,77
3,"(2003) 
Montepaschi Siena",34,6825,3014,76.8,76.8
4,"(2003) 
Metis Varese",34,6850,2906,79.8,79.8
5,"(1995) 
Buckler Bologna",32,6450,2889,76.5,76.5
6,"(1994) 
Filodoro Bologna",32,6475,2725,81.4,81.4
7,"(1992) 
Scavolini Pesaro",30,6000,2557,81.4,81.4
8,"(1995) 
Teamsystem Bologna",32,6525,2723,77.8,77.8
9,"(1993) 
Buckler Bologna",30,6075,2651,79.1,79.1
10,"(2001) 
Kinder Bologna",36,7225,3121,72.5,72.5
11,"(1994) 
Cagiva Varese",32,6475,2874,77.2,77.2
12,"(1994) 
Scavolini Pesaro",32,6500,2727,74.7,74.7
13,"(1995) 
Cagiva Varese",32,6475,2807,77.2,77.2
14,"(1994) 
Stefanel Milano",32,6450,2766,81,81
15,"(2001) 
Adecco Milano",36,7300,2953,73.8,73.8
16,"(2001) 
Metis Varese",36,7200,3086,77.5,77.5
17,"(1993) 
Stefanel Trieste",30,6075,2584,76.9,76.9
18,"(1991) 
Glaxo Verona",30,6050,2617,80.3,80.3
19,"(1993) 
Filodoro Bologna",30,6050,2506,75.2,75.2
20,"(1995) 
Nuova Tirrena Roma",32,6450,2711,78.9,78.9
21,"(2003) 
Snaidero Cucine Udine",34,6950,2850,78.8,78.8
22,"(1990) 
Auxilium Torino",30,6020,2903,72.8,72.8
23,"(1993) 
Pfizer R.Calabria",30,6050,2547,79.7,79.7
24,"(2001) 
Fillattice Imola",36,7325,2856,74,74
25,"(2006) 
Armani Jeans Milano",34,6800,2663,69.1,69.1
26,"(1993) 
Glaxo Verona",30,6075,2539,78,78
27,"(2000) 
Lineltex Imola",34,6900,2894,71.4,71.4
28,"(2000) 
Scavolini Pesaro",34,6875,2969,80.2,80.2
29,"(2000) 
Müller Verona",34,6850,3056,78.3,78.3
30,"(1994) 
Benetton Treviso",32,6425,2781,72.3,72.3
31,"(2000) 
Benetton Treviso",34,6850,2964,75.5,75.5
32,"(1987) 
Arexons Cantù",30,6075,2815,78.9,78.9
33,"(1987) 
Enichem Livorno",30,6050,2782,80.5,80.5
34,"(1993) 
Recoaro Milano",30,6075,2740,76.3,76.3
35,"(1992) 
Panasonic R.Calabria",30,6075,2688,73.8,73.8
36,"(2005) 
Carpisa Napoli",34,6875,3051,80.1,80.1
37,"(2007) 
Siviglia Wear Teramo",34,6850,2845,76.8,76.8
38,"(2003) 
Skipper Bologna",34,6770,2947,77.8,77.8
39,"(1994) 
Madigan Pistoia",32,6425,2670,74.4,74.4
40,"(1993) 
Burghy Roma",30,6025,2666,79.2,79.2
41,"(2007) 
Montepaschi Siena",34,6825,2998,80.8,80.8
42,"(2005) 
VidiVici Bologna",34,6825,2887,72.8,72.8
43,"(1992) 
Knorr Bologna",30,6050,2575,77.9,77.9
44,"(1988) 
Vismara Cantu'",30,5825,2745,78,78
45,"(2000) 
Cordivari Roseto",34,6600,2789,74.4,74.4
46,"(2000) 
Varese Roosters",34,6825,3020,77.2,77.2
47,"(1992) 
Stefanel Trieste",30,6000,2417,76,76
48,"(2004) 
Montepaschi Siena",34,6825,2875,73.5,73.5
49,"(1987) 
Hitachi Venezia",30,6025,2855,77.3,77.3
50,"(2001) 
Euro Roseto",36,7250,3018,72.6,72.6
51,"(1990) 
Philips Milano",30,6025,2857,73.3,73.3
52,"(2006) 
Siviglia Wear Teramo",34,6800,2758,74.5,74.5
53,"(1987) 
Scavolini Pesaro",30,6050,2823,77.3,77.3
54,"(1990) 
Il Messaggero Roma",30,6020,2731,77.8,77.8
55,"(2000) 
Kinder Bologna",34,6850,3018,72,72
56,"(1990) 
Scavolini Pesaro",30,6050,3004,78.9,78.9
57,"(2004) 
Villaggio Solidago Livorno",34,6825,2815,74.5,74.5
58,"(1995) 
Stefanel Milano",32,6475,2789,79.4,79.4
59,"(1990) 
S. Clear Cantu'",30,6050,2663,75,75
60,"(1994) 
Pfizer R.Calabria",32,6425,2629,77,77
61,"(1991) 
Scavolini Pesaro",30,6000,2690,79,79
62,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,77.4,77.4
63,"(1988) 
Arimo Bologna",30,6025,2636,75.4,75.4
64,"(1993) 
C. Campeginese R.Emilia",30,6075,2582,79.6,79.6
65,"(1992) 
Virtus Roma",30,6000,2695,79.9,79.9
66,"(2001) 
Fabriano Basket",36,7275,2983,73.9,73.9
67,"(1991) 
A. Ranger Varese",30,6050,2675,72.4,72.4
68,"(1990) 
Filanto Forli'",30,6025,2980,77.1,77.1
69,"(2004) 
Bipop Carire RE",34,6875,2657,76.5,76.5
70,"(1993) 
Scavolini Pesaro",30,6000,2625,79.5,79.5
71,"(2003) 
Breil Milano",34,6800,2744,82.1,82.1
72,"(2001) 
Müller Verona",36,7225,2852,74.8,74.8
73,"(2006) 
TDShop.it Livorno",34,6850,2681,70.1,70.1
74,"(1994) 
Teorematour Roma",32,6425,2572,76.4,76.4
75,"(1999) 
Pepsi Rimini",30,6025,2145,77.2,77.2
76,"(1992) 
Robe di Kappa Torino",30,6125,2594,74.7,74.7
77,"(1991) 
Robe di Kappa Torino",30,6075,2663,74.1,74.1
78,"(2003) 
Benetton Treviso",34,6625,2943,76.2,76.2
79,"(1989) 
Phonola Caserta",30,6050,2789,80.3,80.3
80,"(2001) 
Coop Nordest Trieste",36,7250,2861,72.7,72.7
81,"(2005) 
Basket Livorno",34,6925,2764,71,71
82,"(2004) 
Vertical Vision Cantu'",34,6850,2911,76.4,76.4
83,"(2002) 
Pippo Milano",34,6850,2743,75.2,75.2
84,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,70.4,70.4
85,"(2007) 
La Fortezza Bologna",34,6850,2684,73.6,73.6
86,"(1995) 
Scavolini Pesaro",32,6475,2791,70.1,70.1
87,"(2006) 
Montepaschi Siena",34,6875,2943,73.5,73.5
88,"(2002) 
Skipper Bologna",34,6800,2796,76.1,76.1
89,"(2007) 
Upim Bologna",34,6850,2669,71.1,71.1
90,"(1992) 
Benetton Treviso",30,6075,2658,72.1,72.1
91,"(1993) 
Kleenex Pistoia",30,6050,2588,76.3,76.3
92,"(2006) 
Legea Scafati",34,6850,2748,73.6,73.6
93,"(2003) 
Oregon Scientific Cantu'",34,6825,2835,74.9,74.9
94,"(2000) 
Viola Reggio Calabria",34,6825,2939,67.4,67.4
95,"(1995) 
Olitalia Forli'",32,6475,2614,70,70
96,"(2001) 
Benetton Treviso",36,7250,3359,74.2,74.2
97,"(1993) 
Bialetti Montecatini",30,6075,2472,74.4,74.4
98,"(2007) 
Premiata Montegranaro",34,6850,2853,74.1,74.1
99,"(2004) 
Lottomatica Roma",34,6850,2761,73.8,73.8
100,"(2004) 
Sedima Roseto",34,6850,2692,73.7,73.7
101,"(2002) 
Oregon Scientific Cantu'",34,6800,2718,78.7,78.7
102,"(1991) 
Fernet Branca Pavia",30,6100,2752,79.8,79.8
103,"(1992) 
S. Clear Cantu'",30,6100,2572,72.9,72.9
104,"(2004) 
Climamio Bologna",34,6925,2897,75,75
105,"(2005) 
Upea Capo d'Orlando",34,6900,2779,73.5,73.5
106,"(2004) 
Sicc Cucine Jesi",34,6850,2751,73.2,73.2
107,"(1991) 
Pall. Trapani",30,6125,2447,74.2,74.2
108,"(2001) 
Montepaschi Siena",36,7300,2975,72,72
109,"(2000) 
Poliform Cantu'",34,6900,2676,67.5,67.5
110,"(1989) 
Arimo Bologna",30,6025,2716,77,77
111,"(1989) 
Philips Milano",30,6000,2797,71.4,71.4
112,"(1988) 
Snaidero Caserta",30,6000,2803,80.3,80.3
113,"(2003) 
Scavolini Pesaro",34,6700,2918,77.2,77.2
114,"(2001) 
De Vizia Avellino",36,7250,2869,77,77
115,"(2007) 
Angelico Biella",34,6875,2725,73.1,73.1
116,"(2007) 
Armani Jeans Milano",34,6800,2708,74.9,74.9
117,"(1989) 
A. Ranger Varese",30,6025,2860,77.2,77.2
118,"(1991) 
Knorr Bologna",30,5875,2561,81.2,81.2
119,"(2006) 
Benetton Treviso",34,6800,2582,75.5,75.5
120,"(1999) 
Paf Bologna",30,6000,2379,80.1,80.1
121,"(1987) 
Snaidero Caserta",30,6000,2927,75.8,75.8
122,"(2001) 
Lauretana Biella",36,7300,2966,78.7,78.7
123,"(1992) 
Kleenex Pistoia",30,6050,2521,72.9,72.9
124,"(2001) 
Mabo Prefabbricati Livorno",36,7250,2979,76.3,76.3
125,"(2004) 
Snaidero Cucine Udine",34,6825,2675,75.2,75.2
126,"(2002) 
Benetton Treviso",34,6825,3093,76.1,76.1
127,"(1990) 
Sidis R.Emilia",30,6125,2473,80.2,80.2
128,"(1992) 
Marr Rimini",30,6100,2489,73.5,73.5
129,"(1992) 
Philips Milano",30,6025,2752,74.5,74.5
130,"(2004) 
Pompea Napoli",34,6900,2885,73.9,73.9
131,"(1992) 
Teamsystem Fabriano",30,6100,2419,74.1,74.1
132,"(1992) 
Bialetti Montecatini",30,6075,2485,77.1,77.1
133,"(2006) 
Air Avellino",34,6825,2648,72.8,72.8
134,"(2002) 
Air Avellino",34,6900,2728,72.5,72.5
135,"(2000) 
Adr Roma",34,6850,2818,73.5,73.5
136,"(2006) 
Snaidero Cucine Udine",34,6800,2753,75.2,75.2
137,"(2001) 
Scavolini Pesaro",36,7275,3003,74.5,74.5
138,"(2001) 
Würth Roma",36,7225,2813,75.6,75.6
139,"(2004) 
Armani Jeans Milano",34,6825,2680,72.4,72.4
140,"(1995) 
Viola Reggio Calabria",32,6450,2488,76.8,76.8
141,"(1990) 
Pall. Firenze",30,6000,2652,72.9,72.9
142,"(2005) 
Snaidero Udine",34,6850,2819,71,71
143,"(2001) 
Snaidero Udine",36,7225,2858,77.6,77.6
144,"(2006) 
Climamio Bologna",34,6850,2764,72.6,72.6
145,"(1987) 
Tracer Milano",30,6025,3055,76.2,76.2
146,"(1992) 
Phonola Caserta",30,6075,2541,73.7,73.7
147,"(1988) 
Ipifim Torino",30,6025,2706,76.8,76.8
148,"(2010) 
Montepaschi Siena",30,6000,2514,80.3,80.3
149,"(1993) 
Onyx Caserta",30,6000,2678,72.8,72.8
150,"(2003) 
Lauretana Biella",34,6900,2756,73.9,73.9
151,"(1994) 
Panapesca Montecatini",32,6450,2649,76.8,76.8
152,"(1988) 
Enichem Livorno",30,6050,2897,71.7,71.7
153,"(1999) 
Lineltex Imola",30,6025,2487,81.1,81.1
154,"(2005) 
Lottomatica Roma",34,6900,2740,70.2,70.2
155,"(2003) 
Tris Reggio Calabria",34,6900,2733,73.4,73.4
156,"(2005) 
Whirlpool Varese",34,6875,2620,73,73
157,"(2000) 
Montepaschi Siena",34,6875,2810,72.5,72.5
158,"(2006) 
Premiata Montegranaro",34,6825,2699,73.3,73.3
159,"(1990) 
A. Ranger Varese",30,6075,2802,72.1,72.1
160,"(1989) 
Scavolini Pesaro",30,6025,2944,76.4,76.4
161,"(2004) 
Air Avellino",34,6800,2737,70,70
162,"(1994) 
Illycaffe' Trieste",32,6425,2663,72.1,72.1
163,"(1988) 
Scavolini Pesaro",30,6000,2678,77.4,77.4
164,"(1987) 
Banco Roma",30,6025,2776,72.4,72.4
165,"(1996) 
Kinder Bologna",26,5250,2282,77.8,77.8
166,"(1999) 
Scavolini Pesaro",30,6100,2324,72.9,72.9
167,"(1988) 
Cantine Riunite R.Emilia",30,5825,2502,72.9,72.9
168,"(1995) 
Mash J. Verona",32,6525,2647,72.8,72.8
169,"(2011) 
Scavolini Siviglia Pesaro",32,6450,2419,72.3,72.3
170,"(1989) 
Panapesca Montecatini",30,6025,2521,80.7,80.7
171,"(2005) 
Angelico Biella",34,6850,2730,70.2,70.2
172,"(1991) 
Il Messaggero Roma",30,6050,2778,77.7,77.7
173,"(1991) 
Phonola Caserta",30,6000,2447,77.7,77.7
174,"(2000) 
BingoSNAI Montecatini",34,6850,2806,68.5,68.5
175,"(2002) 
Euro Roseto",34,6825,2682,72.1,72.1
176,"(1994) 
Comerson Siena",32,6400,2417,73.6,73.6
177,"(2007) 
Solsonica Rieti",34,6875,2689,71.6,71.6
178,"(2000) 
De Vizia Avellino",34,6850,2807,73.2,73.2
179,"(1989) 
Neutroroberts Firenze",30,6150,2648,76.6,76.6
180,"(2005) 
Benetton Treviso",34,6875,2862,74.7,74.7
181,"(2000) 
Adecco Milano",34,6875,2870,73.4,73.4
182,"(2004) 
Benetton Treviso",34,6825,2836,74.5,74.5
183,"(1995) 
Madigan Pistoia",32,6425,2648,72.7,72.7
184,"(2004) 
Casti Group Varese",34,6825,2736,74.5,74.5
185,"(1993) 
Benetton Treviso",30,6100,2480,69.9,69.9
186,"(1990) 
Knorr Bologna",30,6019,2574,75.7,75.7
187,"(2002) 
Mabo Prefabbricati Livorno",34,6800,2637,77.1,77.1
188,"(2003) 
Lottomatica Roma",34,6925,2712,76.4,76.4
189,"(2002) 
Virtus Bologna",34,6850,2659,74.6,74.6
190,"(2011) 
Montepaschi Siena",32,6475,2639,79.4,79.4
191,"(1990) 
Panasonic R.Calabria",30,6050,2660,78.1,78.1
192,"(1989) 
Vismara Cantu'",30,6000,2676,73.2,73.2
193,"(2004) 
Eurofiditalia R.Calabria",34,6875,2720,68.2,68.2
194,"(2000) 
Telit Trieste",34,6625,2683,69.9,69.9
195,"(2006) 
Whirlpool Varese",34,6900,2747,72.5,72.5
196,"(2005) 
Climamio Bologna",34,6875,2929,70.5,70.5
197,"(2002) 
Viola Reggio Calabria",34,6850,2607,72.7,72.7
198,"(1999) 
Müller Verona",30,6000,2212,78.2,78.2
199,"(2003) 
Sicilia Messina",34,6900,2768,76.2,76.2
200,"(2004) 
Navigo.it Teramo",34,6825,2758,73.3,73.3
201,"(1990) 
Stefanel Trieste",30,6050,2609,72.5,72.5
202,"(1988) 
Philips Milano",30,6000,2760,73.6,73.6
203,"(1998) 
Teamsystem Bologna",26,5200,2023,77.9,77.9
204,"(2001) 
Viola Reggio Calabria",36,7250,2972,70.9,70.9
205,"(2002) 
Lottomatica Roma",34,6825,2670,76.6,76.6
206,"(2003) 
Pompea Napoli",34,6825,2858,75.6,75.6
207,"(1999) 
Zucchetti Montecatini",30,6000,2260,75.4,75.4
208,"(1987) 
S. Benedetto Torino",30,6000,2711,73.3,73.3
209,"(2003) 
Euro Roseto",34,6570,2841,70.1,70.1
210,"(1994) 
Birex Verona",32,6450,2592,78.5,78.5
211,"(1991) 
Philips Milano",30,6050,2842,75.5,75.5
212,"(1988) 
Divarese Varese",30,6000,2614,77,77
213,"(2002) 
Pompea Napoli",34,6850,2735,77.2,77.2
214,"(2005) 
Montepaschi Siena",34,6850,2763,71.5,71.5
215,"(1994) 
Meta System R.Emilia",32,6450,2569,78.6,78.6
216,"(1995) 
Benetton Treviso",32,6425,2761,73.8,73.8
217,"(1990) 
Libertas Livorno",30,6025,2718,74.1,74.1
218,"(2005) 
Armani Jeans Milano",34,6850,2826,73.5,73.5
219,"(2000) 
Vip Rimini",34,6800,2914,70.3,70.3
220,"(1999) 
Kinder Bologna",30,6000,2275,78.9,78.9
221,"(2005) 
Vertical Vision Cantu'",34,6850,2699,72,72
222,"(2002) 
Metis Varese",34,6825,2695,68.8,68.8
223,"(1995) 
Cx Orologi Siena",32,6425,2452,75.9,75.9
224,"(2008) 
Banca Tercas Teramo",30,6100,2491,74.9,74.9
225,"(2005) 
Bipop Carire R.Emilia",34,6975,2796,72.1,72.1
226,"(2005) 
Air Avellino",34,6800,2589,69.4,69.4
227,"(1995) 
Teorematour Milano",32,6400,2458,71.4,71.4
228,"(2003) 
Air Avellino",34,6825,2834,73.6,73.6
229,"(1999) 
Varese Roosters",30,6025,2270,74,74
230,"(2010) 
Canadian Solar Bologna",30,6100,2345,72.6,72.6
231,"(2002) 
Montepaschi Siena",34,6850,2813,71.2,71.2
232,"(2003) 
Mabo Livorno",34,6850,2765,72.9,72.9
233,"(1987) 
Wuber Napoli",30,6100,2634,72.3,72.3
234,"(2007) 
Tisettanta Cantu'",34,6875,2708,72.5,72.5
235,"(2006) 
Lottomatica Roma",34,6925,2556,71.7,71.7
236,"(2011) 
Fabi Shoes Montegranaro",32,6425,2482,76.2,76.2
237,"(2003) 
Coop Nordest Trieste",34,6625,2518,72.5,72.5
238,"(1990) 
Phonola Caserta",30,6050,2689,77.3,77.3
239,"(2022) 
Virtus Segafredo Bologna",30,6025,2542,74.6,74.6
