#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,75.1,75.1
2,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,68.2,68.2
3,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,71.6,71.6
4,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,70.5,70.5
5,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,72.7,72.7
6,"(2019) 
Happy Casa Brindisi",21,4250,1696,76.5,76.5
7,"(2019) 
Oriora Pistoia",22,4400,1832,74.5,74.5
8,"(2019) 
Germani Basket Brescia",21,4200,1554,71.2,71.2
9,"(2019) 
Vanoli Cremona",20,4000,1617,71.8,71.8
10,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,77.5,77.5
11,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,70.7,70.7
12,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,77.2,77.2
13,"(2013) 
Sidigas Avellino",30,6050,2419,72.4,72.4
14,"(2019) 
Umana Reyer Venezia",21,4225,1582,70.9,70.9
15,"(2014) 
Upea Capo d'Orlando",30,6000,2222,74.5,74.5
16,"(2015) 
Sidigas Avellino",30,6050,2307,73.2,73.2
17,"(2013) 
Banco di Sardegna Sassari",30,6000,2400,71.8,71.8
18,"(2013) 
Vanoli Cremona",30,6025,2464,80.8,80.8
19,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,74.4,74.4
20,"(2020) 
Acqua S.Bernardo Cantù",28,5625,2313,75.5,75.5
21,"(2018) 
Happy Casa Brindisi",30,6075,2370,71,71
22,"(2018) 
Fiat Torino",30,6125,2611,73.6,73.6
23,"(2013) 
Acqua Vitasnella Cantù",30,6050,2290,75.3,75.3
24,"(2008) 
Eldo Caserta",30,6050,2389,69.9,69.9
25,"(2017) 
Germani Basket Brescia",30,6075,2282,70.8,70.8
26,"(2021) 
Fortitudo Kigili Bologna",30,6025,2511,76.6,76.6
27,"(2020) 
Fortitudo Lavoropiù Bologna",28,5600,2291,78.6,78.6
28,"(2017) 
Betaland Capo d'Orlando",30,6050,2544,72.3,72.3
29,"(2020) 
Banco di Sardegna Sassari",28,5625,2437,76.7,76.7
30,"(2020) 
Happy Casa Brindisi",28,5600,2212,75.2,75.2
31,"(2014) 
Banco di Sardegna Sassari",30,6075,2435,71.9,71.9
32,"(2012) 
Oknoplast Bologna",30,6025,2405,75.9,75.9
33,"(2019) 
Openjobmetis Varese",19,3825,1522,76.8,76.8
34,"(2017) 
Sidigas Avellino",30,6175,2313,72.9,72.9
35,"(2016) 
Banco di Sardegna Sassari",30,6000,2218,73.2,73.2
36,"(2008) 
Solsonica Rieti",30,6050,2321,70.2,70.2
37,"(2009) 
NGC Medical Cantu'",28,5625,2114,76.2,76.2
38,"(2018) 
Germani Basket Brescia",30,6050,2443,65.9,65.9
39,"(2019) 
Virtus Roma",22,4425,1880,73.9,73.9
40,"(2023) 
Estra Pistoia",30,6025,2514,78.4,78.4
41,"(2012) 
Acea Roma",30,6050,2273,74.4,74.4
42,"(2015) 
Openjobmetis Varese",30,6025,2344,72.8,72.8
43,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,74.9,74.9
44,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,74.9,74.9
45,"(2015) 
Dolomiti Energia Trentino",30,6025,2274,70.4,70.4
46,"(1998) 
S.D.A.G. Gorizia",26,5250,2037,74,74
47,"(2019) 
De'Longhi Treviso",21,4200,1664,73.8,73.8
48,"(2021) 
Dolomiti Energia Trentino",30,6100,2447,72.7,72.7
49,"(2014) 
Sidigas Avellino",30,6000,2341,69.1,69.1
50,"(2017) 
Segafredo Virtus Bologna",30,6025,2292,75.8,75.8
51,"(2023) 
EA7 Emporio Armani Milano",30,6000,2235,75.1,75.1
52,"(2017) 
Dolomiti Energia Trentino",30,6000,2304,74.3,74.3
53,"(2016) 
Vanoli Cremona",30,6025,2416,73.8,73.8
54,"(2009) 
Pepsi Caserta",28,5675,2161,75.2,75.2
55,"(2012) 
Lenovo Cantù",30,5825,2031,75.8,75.8
56,"(2016) 
Betaland Capo d'Orlando",30,6050,2315,73.6,73.6
57,"(2011) 
Canadian Solar Bologna",32,6450,2378,72,72
58,"(2016) 
Dolomiti Energia Trentino",30,6050,2201,74.7,74.7
59,"(1989) 
Viola Reggio Calabria",30,6050,2598,76.3,76.3
60,"(2022) 
Virtus Segafredo Bologna",30,6025,2334,76.1,76.1
61,"(2022) 
Virtus Segafredo Bologna",30,6025,2334,76.1,76.1
62,"(2010) 
Bennet Cantù",30,6000,2132,73.8,73.8
63,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,73.6,73.6
64,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,73.6,73.6
65,"(2015) 
EA7 Emporio Armani Milano",30,6025,2205,73,73
66,"(2017) 
VL Pesaro",30,6050,2547,75.9,75.9
67,"(2016) 
Germani Basket Brescia",30,6025,2453,74.6,74.6
68,"(2013) 
Pasta Reggia Caserta",30,6025,2175,78.1,78.1
69,"(2016) 
MIA-Red October Cantù",30,6025,2476,78.7,78.7
70,"(2013) 
Sutor Montegranaro",30,6025,2608,74.1,74.1
71,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,76.1,76.1
72,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,76.1,76.1
73,"(2013) 
Cimberio Varese",30,6025,2458,74.8,74.8
74,"(1998) 
Kinder Bologna",26,5225,1776,72.3,72.3
75,"(2011) 
Banco di Sardegna Sassari",32,6400,2494,74.7,74.7
76,"(1998) 
Teamsystem Bologna",26,5200,1817,72,72
77,"(2014) 
Grissin Bon Reggio Emilia",30,6075,2219,71.9,71.9
78,"(1996) 
Teamsystem Bologna",26,5225,1932,75,75
79,"(2013) 
Montepaschi Siena",30,6025,2114,79.9,79.9
80,"(2011) 
Banca Tercas Teramo",32,6425,2488,75,75
81,"(2015) 
Umana Reyer Venezia",30,6150,2230,69,69
82,"(2017) 
Happy Casa Brindisi",30,6075,2461,70,70
83,"(2015) 
Betaland Capo d'Orlando",30,6025,2205,72.4,72.4
84,"(2020) 
Allianz Pallacanestro Trieste",28,5600,2249,74.1,74.1
85,"(1989) 
Neutroroberts Firenze",30,6150,2834,73.9,73.9
86,"(2017) 
Openjobmetis Varese",30,6050,2271,71.8,71.8
87,"(2016) 
Sidigas Avellino",30,6075,2285,76.7,76.7
88,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,75.6,75.6
89,"(2018) 
A|X Armani Exchange Milano",30,5875,2371,71.6,71.6
90,"(1996) 
Benetton Treviso",26,5225,1967,72.3,72.3
91,"(2017) 
Fiat Torino",30,6025,2494,73.6,73.6
92,"(2020) 
Dolomiti Energia Trentino",28,5650,2228,73.8,73.8
93,"(2018) 
Openjobmetis Varese",30,6000,2284,71.5,71.5
94,"(2020) 
Openjobmetis Varese",28,5675,2433,77,77
95,"(2010) 
Enel Brindisi",30,6050,2466,73.9,73.9
96,"(2018) 
Vanoli Cremona",30,5850,2360,73.6,73.6
97,"(2014) 
Acqua Vitasnella Cantù",30,6100,2354,75.5,75.5
98,"(2015) 
Giorgio Tesi Group Pistoia",30,6050,2320,71.5,71.5
99,"(2017) 
Red October Cantù",30,6050,2614,69.7,69.7
100,"(2012) 
Banco di Sardegna Sassari",30,6050,2513,73,73
101,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,75.2,75.2
102,"(2021) 
Allianz Pallacanestro Trieste",30,6100,2464,75.2,75.2
103,"(2008) 
Montepaschi Siena",30,6050,2153,72,72
