#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Openjobmetis Varese",19,3825,1570,11.1,11
2,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1533,11,10.8
3,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1583,11.3,11.2
4,"(2019) 
Happy Casa Brindisi",21,4250,1776,11,10.8
5,"(2019) 
Dolomiti Energia Trentino",21,4225,1635,11,10.9
6,"(2019) 
Vanoli Cremona",20,4000,1627,11.7,11.7
7,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1741,11.5,11.5
8,"(2019) 
Oriora Pistoia",22,4400,1639,11.4,11.4
9,"(2019) 
De'Longhi Treviso",21,4200,1620,12.1,12.1
10,"(2019) 
Germani Basket Brescia",21,4200,1707,12.1,12.1
11,"(2019) 
A|X Armani Exchange Milano",21,4200,1687,12.8,12.8
12,"(2019) 
Segafredo Virtus Bologna",20,4025,1719,13.4,13.3
13,"(2019) 
Umana Reyer Venezia",21,4225,1638,12.9,12.8
14,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1671,12.4,12.3
15,"(2019) 
Pompea Fortitudo Bologna",21,4225,1624,13.1,13.1
16,"(2019) 
Virtus Roma",22,4425,1727,13.6,13.6
17,"(2019) 
Banco di Sardegna Sassari",21,4200,1796,14.3,14.3
18,"(2018) 
Openjobmetis Varese",30,6000,2385,10,10
19,"(1997) 
Fontanafredda Siena",26,5225,1928,11.6,11.6
20,"(2022) 
Happy Casa Brindisi",30,6025,2494,10.1,10.1
21,"(2020) 
De'Longhi Treviso",28,5600,2353,11.1,11.1
22,"(2021) 
Fortitudo Kigili Bologna",30,6027,2429,10.5,10.5
23,"(2020) 
Vanoli Basket Cremona",28,5700,2370,11.3,11.1
24,"(2020) 
A|X Armani Exchange Milano",28,5600,2385,11.4,11.4
25,"(2020) 
A|X Armani Exchange Milano",28,5600,2385,11.4,11.4
26,"(2021) 
UNAHOTELS Reggio Emilia",30,6150,2409,10.7,10.5
27,"(2022) 
GeVi Napoli Basket",30,6075,2379,10.8,10.6
28,"(2022) 
Bertram Yachts Derthona Tortona",30,6025,2407,10.8,10.7
29,"(2022) 
Bertram Yachts Derthona Tortona",30,6025,2407,10.8,10.7
30,"(2021) 
A|X Armani Exchange Milano",30,6050,2465,10.8,10.7
31,"(2021) 
A|X Armani Exchange Milano",30,6050,2465,10.8,10.7
32,"(1989) 
Knorr Bologna",30,6000,2664,10.9,10.9
33,"(2020) 
Carpegna Prosciutto Pesaro",28,5625,2271,11.7,11.7
34,"(2023) 
Germani Brescia",30,6025,2618,11,10.9
35,"(2021) 
Openjobmetis Varese",30,6025,2470,11,10.9
36,"(1996) 
Mash J. Verona",26,5350,2089,12.7,12.3
37,"(2020) 
Happy Casa Brindisi",28,5600,2395,11.9,11.9
38,"(2018) 
Segafredo Virtus Bologna",30,6000,2387,11.2,11.2
39,"(2023) 
Bertram Derthona Tortona",30,6025,2411,11.3,11.2
40,"(1998) 
Termal Imola",26,5200,2053,13,13
