#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2002) 
Lauretana Biella",34,6950,2685,19.7,19.3
2,"(2001) 
Oregon Scientific Cantu'",36,7225,2797,18.2,18.1
3,"(2001) 
Benetton Treviso",36,7250,2986,18,17.8
4,"(2001) 
Müller Verona",36,7225,2974,17.9,17.9
5,"(2002) 
Oregon Scientific Cantu'",34,6800,2601,18.9,18.9
6,"(2002) 
Mabo Prefabbricati Livorno",34,6800,2791,18.8,18.8
7,"(2001) 
Kinder Bologna",36,7225,2703,17.7,17.7
8,"(2003) 
Metis Varese",34,6850,2905,18.8,18.6
9,"(2006) 
Bipop Carire R.Emilia",34,6800,2723,18.8,18.8
10,"(2007) 
Air Avellino",34,6825,2637,18.7,18.6
11,"(2005) 
Lottomatica Roma",34,6900,2667,18.6,18.4
12,"(2000) 
Kinder Bologna",34,6850,2551,18.6,18.4
13,"(2006) 
Lottomatica Roma",34,6925,2448,18.4,18.1
14,"(2001) 
Fillattice Imola",36,7325,2956,17.3,17
15,"(2003) 
Lauretana Biella",34,6900,2759,18.3,18
16,"(2004) 
Lottomatica Roma",34,6850,2728,18.3,18.1
17,"(2004) 
Climamio Bologna",34,6925,2619,18.1,17.8
18,"(2000) 
De Vizia Avellino",34,6850,2881,18.1,18
19,"(2007) 
Montepaschi Siena",34,6825,2366,18,18
20,"(2001) 
Mabo Prefabbricati Livorno",36,7250,3199,17,16.9
21,"(2003) 
Air Avellino",34,6825,2919,17.9,17.9
22,"(2004) 
Villaggio Solidago Livorno",34,6825,2893,17.9,17.8
23,"(2001) 
De Vizia Avellino",36,7250,2994,16.9,16.8
24,"(2001) 
Coop Nordest Trieste",36,7250,2945,16.9,16.7
25,"(2001) 
Skipper Bologna",36,7200,2807,16.9,16.9
26,"(2005) 
Climamio Bologna",34,6875,2650,17.8,17.6
27,"(2005) 
Air Avellino",34,6800,2828,17.8,17.8
28,"(2002) 
Viola Reggio Calabria",34,6850,2559,17.7,17.6
29,"(2000) 
Varese Roosters",34,6825,3210,17.7,17.6
30,"(2001) 
Viola Reggio Calabria",36,7250,3205,16.7,16.6
31,"(2001) 
Metis Varese",36,7200,3149,16.6,16.6
32,"(2005) 
Bipop Carire R.Emilia",34,6975,2803,17.6,17.1
33,"(2002) 
Metis Varese",34,6825,2733,17.6,17.5
34,"(2002) 
Air Avellino",34,6900,2854,17.5,17.2
35,"(2006) 
Montepaschi Siena",34,6875,2522,17.5,17.3
36,"(2007) 
Upim Bologna",34,6850,2696,17.5,17.3
37,"(2006) 
TDShop.it Livorno",34,6850,2935,17.5,17.3
38,"(2005) 
Vertical Vision Cantu'",34,6850,2799,17.5,17.3
39,"(2004) 
Lauretana Biella",34,6800,2831,17.5,17.5
40,"(2000) 
Adr Roma",34,6850,2686,17.4,17.3
41,"(2005) 
VidiVici Bologna",34,6825,2831,17.4,17.3
42,"(2001) 
Adecco Milano",36,7300,3068,16.4,16.1
43,"(2007) 
Solsonica Rieti",34,6875,2773,17.3,17.1
44,"(2003) 
Snaidero Cucine Udine",34,6950,2881,17.3,16.9
45,"(2011) 
Angelico Biella",32,6500,2503,18.3,18
46,"(2004) 
Bipop Carire RE",34,6875,2576,17.2,17
47,"(2007) 
Pierrel Capo d'Orlando",34,6875,2985,17.2,17
48,"(2003) 
Mabo Livorno",34,6850,2984,17.1,17
49,"(2004) 
Vertical Vision Cantu'",34,6850,2745,17.1,17
50,"(2010) 
Montepaschi Siena",30,6000,2159,19.3,19.3
51,"(2005) 
Montepaschi Siena",34,6850,2495,17,16.9
52,"(2008) 
Montepaschi Siena",30,6050,2153,19.2,19
53,"(2007) 
Tisettanta Cantu'",34,6875,2776,16.9,16.7
54,"(2004) 
Sicc Cucine Jesi",34,6850,2899,16.8,16.7
55,"(2003) 
Tris Reggio Calabria",34,6900,2734,16.8,16.6
56,"(2006) 
Premiata Montegranaro",34,6825,2732,16.8,16.7
57,"(1995) 
Nuova Tirrena Roma",32,6450,2657,17.8,17.7
58,"(2010) 
Armani Jeans Milano",30,6075,2295,19,18.7
59,"(2004) 
Casti Group Varese",34,6825,2891,16.7,16.6
60,"(2003) 
Skipper Bologna",34,6770,2730,16.7,16.8
61,"(2002) 
Benetton Treviso",34,6825,2691,16.7,16.6
62,"(2000) 
Viola Reggio Calabria",34,6825,3035,16.7,16.6
63,"(2006) 
Air Avellino",34,6825,2815,16.7,16.6
64,"(2001) 
Lauretana Biella",36,7300,3091,15.7,15.5
65,"(2005) 
Whirlpool Varese",34,6875,2643,16.6,16.4
66,"(2005) 
Angelico Biella",34,6850,2645,16.6,16.5
67,"(2001) 
Euro Roseto",36,7250,3157,15.7,15.6
68,"(2006) 
Legea Scafati",34,6850,2854,16.6,16.5
69,"(2003) 
Coop Nordest Trieste",34,6625,2842,16.5,17
70,"(2002) 
Lottomatica Roma",34,6825,2507,16.5,16.4
71,"(2007) 
Lottomatica Roma",34,6675,2471,16.5,16.8
72,"(1994) 
Teorematour Roma",32,6425,2655,17.5,17.4
73,"(2010) 
Angelico Biella",30,6050,2487,18.7,18.5
74,"(2007) 
Eldo Napoli",34,6875,2779,16.4,16.3
75,"(2004) 
Armani Jeans Milano",34,6825,2486,16.4,16.4
76,"(2003) 
Breil Milano",34,6800,2737,16.4,16.4
77,"(2004) 
Montepaschi Siena",34,6825,2593,16.4,16.4
78,"(2005) 
Basket Livorno",34,6925,2768,16.4,16.1
79,"(1994) 
Cagiva Varese",32,6475,2715,17.4,17.2
80,"(2007) 
Angelico Biella",34,6875,2860,16.4,16.2
81,"(2007) 
Scavolini Spar Pesaro",34,6825,2819,16.4,16.3
82,"(2000) 
Vip Rimini",34,6800,3086,16.4,16.4
83,"(2011) 
Fabi Shoes Montegranaro",32,6425,2588,17.4,17.3
84,"(2007) 
La Fortezza Bologna",34,6850,2731,16.3,16.1
85,"(2004) 
Air Avellino",34,6800,2995,16.3,16.3
86,"(2000) 
Benetton Treviso",34,6850,2738,16.2,16.1
87,"(2007) 
Premiata Montegranaro",34,6850,2706,16.1,16
88,"(2002) 
Euro Roseto",34,6825,2657,16.1,16.1
89,"(1995) 
Cagiva Varese",32,6475,2706,17.2,17
90,"(2000) 
Poliform Cantu'",34,6900,2812,16.1,15.9
91,"(2006) 
Eldo Napoli",34,6875,2635,16.1,15.9
92,"(2001) 
Scavolini Pesaro",36,7275,2892,15.2,15
93,"(2003) 
Montepaschi Siena",34,6825,2746,16.1,16
94,"(2001) 
Würth Roma",36,7225,2824,15.2,15.1
95,"(2006) 
VidiVici Bologna",34,6850,2597,16.1,15.9
96,"(2009) 
Montepaschi Siena",28,5600,1965,19.5,19.5
97,"(2006) 
Angelico Biella",34,6850,2721,16,15.9
98,"(2004) 
Benetton Treviso",34,6825,2457,16,15.9
99,"(2010) 
Vanoli-Braga Cremona",30,6125,2395,18.1,17.7
