year,teams,playoff,finalist,winner
1987,Divarese Varese,1,0,0
1987,Tracer Milano,1,1,0
1987,Vismara Cantù,1,0,0
1987,Snaidero Caserta,1,0,0
1987,Scavolini Pesaro,1,1,1
1987,Dietor Bologna,1,0,0
1987,Enichem Livorno,1,0,0
1987,Allibert Livorno,1,0,0
1987,San Benedetto Torino,1,0,0
1987,Banco Roma,1,0,0
1987,Hitachi Venezia,0,0,0
1987,Benetton Treviso,0,0,0
1987,Neutroroberts Firenze,0,0,0
1987,Wuber Napoli,0,0,0
1987,Irge Desio,0,0,0
1987,Basket Brescia,0,0,0
1988,Scavolini Pesaro,1,1,0
1988,Enichem Livorno,1,1,0
1988,Knorr Bologna,1,0,0
1988,Benetton Treviso,1,0,0
1988,Philips Milano,1,0,1
1988,Snaidero Caserta,1,0,0
1988,Arimo Bologna,1,0,0
1988,Paini Napoli,1,0,0
1988,Divarese Varese,1,0,0
1988,Vismara Cantù (-1),1,0,0
1988,Allibert Livorno,0,0,0
1988,Phonola Roma,0,0,0
1988,Cantine Riunite Reggio Emilia,0,0,0
1988,Ipifim Torino,0,0,0
1988,Hitachi Venezia,0,0,0
1988,Alno Fabriano,0,0,0
1989,Scavolini Pesaro,1,1,1
1989,Antifurti Ranger Varese,1,1,0
1989,Wiwa Vismara Cantù,1,0,0
1989,Phonola Caserta,1,0,0
1989,Knorr Bologna,1,0,0
1989,Enimont Livorno,1,0,0
1989,Viola Reggio Calabria,1,0,0
1989,Il Messaggero Roma,1,0,0
1989,Cantine Riunite Reggio Emilia,1,0,0
1989,Philips Milano,1,0,0
1989,Benetton Treviso,0,0,0
1989,Arimo Bologna,0,0,0
1989,Paini Napoli,0,0,0
1989,Neutro Roberts Firenze,0,0,0
1989,Panapesca Montecatini,0,0,0
1989,Irge Desio,0,0,0
1990,Philips Milano,1,1,0
1990,Phonola Caserta,1,1,1
1990,Knorr Bologna,1,0,0
1990,Il Messaggero Roma,1,0,0
1990,Benetton Treviso,1,0,0
1990,Shampoo Clear Cantù,1,0,0
1990,Scavolini Pesaro,1,0,0
1990,Stefanel Trieste,1,0,0
1990,Libertas Livorno,1,0,0
1990,Auxilium Torino,1,0,0
1990,Antifurti Ranger Varese,0,0,0
1990,Panasonic Reggio Calabria,0,0,0
1990,Filanto Forlì,0,0,0
1990,Sidis Reggio Emilia,0,0,0
1990,Filodoro Napoli,0,0,0
1990,Pallacanestro Firenze,0,0,0
1991,Scavolini Pesaro,1,1,0
1991,Benetton Treviso,1,1,1
1991,Philips Milano,1,0,0
1991,Knorr Bologna,1,0,0
1991,Shampoo Clear Cantù,1,0,0
1991,Il Messaggero Roma,1,0,0
1991,Stefanel Trieste,1,0,0
1991,Phonola Caserta,1,0,0
1991,Robe di Kappa Torino,1,0,0
1991,Baker Livorno,1,0,0
1991,Antifurti Ranger Varese,0,0,0
1991,Glaxo Verona,0,0,0
1991,Fernet Branca Pavia,0,0,0
1991,Pallacanestro Trapani,0,0,0
1991,Ticino Siena,0,0,0
1991,Filanto Forlì,0,0,0
1992,Knorr Bologna,1,1,1
1992,Philips Milano,1,0,0
1992,Benetton Treviso,1,1,0
1992,Stefanel Trieste,1,0,0
1992,Shampoo Clear Cantù,1,0,0
1992,Panasonic Reggio Calabria,1,0,0
1992,Scavolini Pesaro,1,0,0
1992,Kleenex Pistoia,1,0,0
1992,Baker Livorno,1,0,0
1992,Bialetti Montecatini,1,0,0
1992,Phonola Caserta,0,0,0
1992,Virtus Roma,0,0,0
1992,Marr Rimini,0,0,0
1992,Scaini Venezia,0,0,0
1992,Teamsystem Fabriano,0,0,0
1992,Robe di Kappa Torino,0,0,0
1993,Buckler Beer Bologna,1,1,1
1993,Scavolini Pesaro,1,1,0
1993,Stefanel Trieste,1,0,0
1993,Glaxo Verona,1,0,0
1993,Recoaro Milano,1,0,0
1993,Filodoro Bologna (-6),1,0,0
1993,Pfizer Reggio Calabria,1,0,0
1993,Benetton Treviso,1,0,0
1993,Kleenex Pistoia,1,0,0
1993,Bialetti Montecatini,1,0,0
1993,Campeginese Reggio Emilia,0,0,0
1993,Shampoo Clear Cantù,0,0,0
1993,Onyx Caserta,0,0,0
1993,Baker Livorno (-1),0,0,0
1993,Burghy Roma,0,0,0
1993,Acqua Lora Venezia,0,0,0
1994,Buckler Beer Bologna,1,1,1
1994,Filodoro Bologna,1,0,0
1994,Benetton Treviso,1,1,0
1994,Stefanel Milano,1,0,0
1994,Cagiva Varese,1,0,0
1994,Scavolini Pesaro,1,0,0
1994,Birex Verona,1,0,0
1994,Teorematour Roma,1,0,0
1994,Comerson Siena,1,0,0
1994,Madigan Pistoia,1,0,0
1994,Pfizer Reggio Calabria,0,0,0
1994,Illy Caffè Trieste,0,0,0
1994,Meta System Reggio Emilia,0,0,0
1994,Panapesca Montecatini,0,0,0
1994,Burghy Roma,0,0,0
1994,Acqua Lora Venezia,0,0,0
1995,Buckler Beer Bologna,1,0,0
1995,TeamSystem Bologna,1,1,0
1995,Benetton Treviso,1,0,0
1995,Cagiva Varese,1,0,0
1995,Stefanel Milano,1,1,0
1995,Nuova Tirrenia Roma,1,0,0
1995,Scavolini Pesaro,1,0,0
1995,Viola Reggio Calabria,1,0,0
1995,Madigan Pistoia,1,0,0
1995,Mash Jeans Verona,1,0,0
1995,Olitalia Forlì,0,0,0
1995,CX Orologi Siena,0,0,0
1995,Illy Caffè Trieste,0,0,0
1995,Teorematour Milano,0,0,0
1996,Benetton Treviso,1,1,1
1996,TeamSystem Bologna,1,1,0
1996,Kinder Bologna,1,0,0
1996,Stefanel Milano,1,0,0
