#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2007) 
Montepaschi Siena",34,6825,2366,-18.6,-18.5
2,"(2009) 
Montepaschi Siena",28,5600,1965,-18.6,-18.6
3,"(2008) 
Montepaschi Siena",30,6050,2153,-16.6,-16.5
4,"(2000) 
Kinder Bologna",34,6850,2551,-13.7,-13.6
5,"(2006) 
Montepaschi Siena",34,6875,2522,-12.4,-12.2
6,"(2001) 
Kinder Bologna",36,7225,2703,-11.6,-11.6
7,"(2002) 
Benetton Treviso",34,6825,2691,-11.8,-11.8
8,"(2014) 
EA7 Emporio Armani Milano",30,6000,2202,-12.7,-12.7
9,"(2004) 
Benetton Treviso",34,6825,2457,-11.1,-11.1
10,"(2001) 
Benetton Treviso",36,7250,2986,-10.4,-10.3
11,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,-12.1,-12
12,"(2010) 
Montepaschi Siena",30,6000,2159,-11.8,-11.8
13,"(1994) 
Buckler Bologna",32,6425,2527,-10.6,-10.6
14,"(2011) 
Montepaschi Siena",32,6475,2308,-10.3,-10.2
15,"(1999) 
Paf Bologna",30,6000,2060,-10.6,-10.6
16,"(2013) 
EA7 Emporio Armani Milano",30,6025,2134,-10.6,-10.6
17,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,-10.3,-10.2
18,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,-10.3,-10.2
19,"(2003) 
Benetton Treviso",34,6625,2640,-8.9,-9.1
20,"(2021) 
Virtus Segafredo Bologna",30,6075,2364,-10.1,-9.9
21,"(2021) 
Virtus Segafredo Bologna",30,6075,2364,-10.1,-9.9
22,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,-9.7,-9.6
23,"(2022) 
EA7 Emporio Armani Milano",30,6025,2191,-9.7,-9.6
24,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,-10.2,-10.2
25,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,-10.2,-10.2
26,"(2004) 
Montepaschi Siena",34,6825,2593,-8.3,-8.3
27,"(2005) 
Climamio Bologna",34,6875,2650,-8.2,-8.1
28,"(2004) 
Climamio Bologna",34,6925,2619,-8.2,-8
29,"(1997) 
Kinder Bologna",26,5225,1795,-10.6,-10.5
30,"(2001) 
Skipper Bologna",36,7200,2807,-7.4,-7.4
31,"(2000) 
Paf Bologna",34,6900,2482,-7.9,-7.8
32,"(2005) 
Montepaschi Siena",34,6850,2495,-7.9,-7.8
33,"(2003) 
Montepaschi Siena",34,6825,2746,-7.9,-7.9
34,"(2023) 
Germani Brescia",30,6025,2353,-8.8,-8.8
35,"(2001) 
Montepaschi Siena",36,7300,2714,-7.2,-7.2
36,"(1995) 
Buckler Bologna",32,6450,2636,-7.9,-7.8
37,"(2015) 
EA7 Emporio Armani Milano",30,6025,2205,-8.2,-8.2
38,"(1991) 
Knorr Bologna",30,5875,2314,-8.2,-8.4
39,"(2005) 
Benetton Treviso",34,6875,2616,-7.2,-7.2
40,"(1991) 
Philips Milano",30,6050,2597,-8.2,-8.1
