#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2001) 
Benetton Treviso",36,7250,3359,93.3,92.7
2,"(2001) 
Kinder Bologna",36,7225,3121,86.7,86.4
3,"(2003) 
Teramo Basket",34,6875,3098,91.1,90.1
4,"(2002) 
Benetton Treviso",34,6825,3093,91,90.6
5,"(2001) 
Metis Varese",36,7200,3086,85.7,85.7
6,"(2001) 
Skipper Bologna",36,7200,3075,85.4,85.4
7,"(2000) 
Müller Verona",34,6850,3056,89.9,89.2
8,"(1987) 
Tracer Milano",30,6025,3055,101.8,101.4
9,"(2005) 
Carpisa Napoli",34,6875,3051,89.7,88.8
10,"(1987) 
Basket Brescia",30,6100,3035,101.2,99.5
11,"(2000) 
Varese Roosters",34,6825,3020,88.8,88.5
12,"(2001) 
Euro Roseto",36,7250,3018,83.8,83.3
13,"(2000) 
Kinder Bologna",34,6850,3018,88.8,88.1
14,"(2003) 
Montepaschi Siena",34,6825,3014,88.6,88.3
15,"(1990) 
Scavolini Pesaro",30,6050,3004,100.1,99.3
16,"(2001) 
Scavolini Pesaro",36,7275,3003,83.4,82.6
17,"(2007) 
Montepaschi Siena",34,6825,2998,88.2,87.9
18,"(2001) 
Fabriano Basket",36,7275,2983,82.9,82
19,"(1990) 
Filanto Forli'",30,6025,2980,99.3,98.9
20,"(2001) 
Mabo Prefabbricati Livorno",36,7250,2979,82.8,82.2
21,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,82.8,82.5
22,"(2001) 
Montepaschi Siena",36,7300,2975,82.6,81.5
23,"(2001) 
Viola Reggio Calabria",36,7250,2972,82.6,82
24,"(2000) 
Scavolini Pesaro",34,6875,2969,87.3,86.4
25,"(2001) 
Lauretana Biella",36,7300,2966,82.4,81.3
26,"(2000) 
Benetton Treviso",34,6850,2964,87.2,86.5
27,"(2001) 
Adecco Milano",36,7300,2953,82,80.9
28,"(2003) 
Skipper Bologna",34,6770,2947,86.7,87.1
29,"(1989) 
Scavolini Pesaro",30,6025,2944,98.1,97.7
30,"(2006) 
Montepaschi Siena",34,6875,2943,86.6,85.6
31,"(2003) 
Benetton Treviso",34,6625,2943,86.6,88.8
32,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,86.5,85.6
33,"(2000) 
Viola Reggio Calabria",34,6825,2939,86.4,86.1
34,"(2005) 
Climamio Bologna",34,6875,2929,86.1,85.2
35,"(1987) 
Snaidero Caserta",30,6000,2927,97.6,97.6
36,"(2003) 
Scavolini Pesaro",34,6700,2918,85.8,87.1
37,"(2000) 
Vip Rimini",34,6800,2914,85.7,85.7
38,"(2004) 
Vertical Vision Cantu'",34,6850,2911,85.6,85
