#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,75,74.5
2,"(2019) 
Openjobmetis Varese",19,3825,1522,80.1,79.6
3,"(2019) 
Germani Basket Brescia",21,4200,1554,74,74
4,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,74,74
5,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,79,78
6,"(2019) 
Umana Reyer Venezia",21,4225,1582,75.3,74.9
7,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,75.9,75.9
8,"(2019) 
Vanoli Cremona",20,4000,1617,80.9,80.9
9,"(2019) 
De'Longhi Treviso",21,4200,1664,79.2,79.2
10,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,79.3,78.8
11,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,79.5,79.1
12,"(2019) 
Happy Casa Brindisi",21,4250,1696,80.8,79.8
13,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,84,84
14,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,80.5,80
15,"(1998) 
Kinder Bologna",26,5225,1776,68.3,68
16,"(1997) 
Kinder Bologna",26,5225,1795,69,68.7
17,"(1998) 
Teamsystem Bologna",26,5200,1817,69.9,69.9
18,"(1998) 
Polti Cantu'",26,5075,1818,69.9,71.6
19,"(2019) 
Oriora Pistoia",22,4400,1832,83.3,83.3
20,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,92.5,91.9
21,"(1998) 
Benetton Treviso",26,5250,1866,71.8,71.1
22,"(1997) 
Benetton Treviso",26,5200,1873,72,72
23,"(2019) 
Virtus Roma",22,4425,1880,85.5,85
24,"(1998) 
Sony Milano",26,5200,1881,72.3,72.3
25,"(1998) 
Pepsi Rimini",26,5225,1897,73,72.6
26,"(1996) 
Teamsystem Bologna",26,5225,1932,74.3,74
27,"(1997) 
Pepsi Rimini",26,5200,1938,74.5,74.5
28,"(1997) 
Calze Pompea Roma",26,5250,1943,74.7,74
29,"(1998) 
Calze Pompea Roma",26,5300,1960,75.4,74
30,"(2009) 
Montepaschi Siena",28,5600,1965,70.2,70.2
31,"(1996) 
Benetton Treviso",26,5225,1967,75.7,75.3
32,"(1998) 
Pall. Varese",26,5025,1977,76,78.7
33,"(1997) 
Fontanafredda Siena",26,5225,1983,76.3,75.9
