#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2001) 
Kinder Bologna",36,7225,3121,37.5,37.3
2,"(2001) 
Adecco Milano",36,7300,2953,36.9,36.4
3,"(2001) 
Fabriano Basket",36,7275,2983,36.8,36.5
4,"(2001) 
Skipper Bologna",36,7200,3075,36.6,36.6
5,"(2001) 
Benetton Treviso",36,7250,3359,36.3,36
6,"(2001) 
Metis Varese",36,7200,3086,36.2,36.2
7,"(2003) 
Teramo Basket",34,6875,3098,38,37.6
8,"(2000) 
Lineltex Imola",34,6900,2894,37.9,37.4
9,"(2005) 
Angelico Biella",34,6850,2730,37.9,37.6
10,"(2005) 
Benetton Treviso",34,6875,2862,37.7,37.3
11,"(2006) 
Angelico Biella",34,6850,2740,37.6,37.4
12,"(2000) 
Kinder Bologna",34,6850,3018,37.6,37.3
13,"(2001) 
Scavolini Pesaro",36,7275,3003,35.5,35.1
14,"(2000) 
Paf Bologna",34,6900,2750,37.6,37
15,"(2000) 
Montepaschi Siena",34,6875,2810,37.5,37.1
16,"(2002) 
Virtus Bologna",34,6850,2659,37.5,37.2
17,"(2001) 
Viola Reggio Calabria",36,7250,2972,35.3,35.1
18,"(2005) 
Navigo.it Teramo",34,6800,2786,37.4,37.4
19,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,37.3,36.9
20,"(2000) 
Poliform Cantu'",34,6900,2676,37,36.5
21,"(2002) 
Scavolini Pesaro",34,6850,2736,37,36.7
22,"(2004) 
Montepaschi Siena",34,6825,2875,37,36.9
23,"(2005) 
BT Roseto",34,6800,2464,37,37
24,"(2000) 
Telit Trieste",34,6625,2683,37,38
25,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,34.9,34.7
26,"(2004) 
Eurofiditalia R.Calabria",34,6875,2720,36.9,36.5
27,"(2005) 
VidiVici Bologna",34,6825,2887,36.9,36.7
28,"(2007) 
Angelico Biella",34,6875,2725,36.8,36.4
29,"(2000) 
Viola Reggio Calabria",34,6825,2939,36.8,36.7
30,"(2004) 
Pompea Napoli",34,6900,2885,36.7,36.2
31,"(2004) 
Benetton Treviso",34,6825,2836,36.7,36.6
32,"(2003) 
Montepaschi Siena",34,6825,3014,36.7,36.6
33,"(2000) 
Vip Rimini",34,6800,2914,36.7,36.7
34,"(2001) 
Müller Verona",36,7225,2852,34.6,34.5
35,"(2005) 
Snaidero Udine",34,6850,2819,36.7,36.4
36,"(2001) 
Würth Roma",36,7225,2813,34.6,34.5
37,"(2007) 
Air Avellino",34,6825,2878,36.6,36.5
38,"(2007) 
Armani Jeans Milano",34,6800,2708,36.6,36.6
39,"(2002) 
Air Avellino",34,6900,2728,36.6,36.1
40,"(1989) 
Scavolini Pesaro",30,6025,2944,41.4,41.3
41,"(2004) 
Sicc Cucine Jesi",34,6850,2751,36.5,36.2
42,"(2004) 
Armani Jeans Milano",34,6825,2680,36.5,36.4
43,"(2002) 
Montepaschi Siena",34,6850,2813,36.4,36.1
44,"(2005) 
Armani Jeans Milano",34,6850,2826,36.4,36.1
45,"(2007) 
Benetton Treviso",34,6825,2607,36.4,36.3
46,"(2005) 
Basket Livorno",34,6925,2764,36.3,35.6
47,"(2002) 
Benetton Treviso",34,6825,3093,36.3,36.1
48,"(2002) 
Skipper Bologna",34,6800,2796,36.3,36.3
49,"(2001) 
Montepaschi Siena",36,7300,2975,34.2,33.8
50,"(2000) 
Scavolini Pesaro",34,6875,2969,36.2,35.8
51,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,41,40.5
52,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,41,40.5
53,"(2004) 
Climamio Bologna",34,6925,2897,36.2,35.5
54,"(2006) 
Climamio Bologna",34,6850,2764,36.1,35.9
55,"(2005) 
Climamio Bologna",34,6875,2929,36.1,35.7
56,"(1991) 
A. Ranger Varese",30,6050,2675,40.8,40.4
57,"(2001) 
Fillattice Imola",36,7325,2856,33.9,33.4
58,"(2006) 
Siviglia Wear Teramo",34,6800,2758,35.9,35.9
59,"(2007) 
La Fortezza Bologna",34,6850,2684,35.9,35.6
60,"(1989) 
Paini Napoli",30,6000,2656,40.7,40.7
61,"(2001) 
Coop Nordest Trieste",36,7250,2861,33.9,33.6
62,"(1987) 
Divarese Varese",30,6100,2840,40.6,39.9
63,"(2007) 
Upim Bologna",34,6850,2669,35.8,35.5
64,"(2005) 
Montepaschi Siena",34,6850,2763,35.8,35.5
65,"(2001) 
De Vizia Avellino",36,7250,2869,33.7,33.5
66,"(2018) 
Acqua S.Bernardo Cantù",30,6050,2526,40.5,40.1
67,"(2004) 
Navigo.it Teramo",34,6825,2758,35.6,35.5
68,"(1989) 
A. Ranger Varese",30,6025,2860,40.4,40.2
69,"(2005) 
Air Avellino",34,6800,2589,35.6,35.6
70,"(2011) 
Canadian Solar Bologna",32,6450,2414,37.8,37.5
71,"(2001) 
Lauretana Biella",36,7300,2966,33.6,33.1
72,"(2014) 
Openjobmetis Varese",30,6150,2418,40.3,39.3
73,"(1987) 
Snaidero Caserta",30,6000,2927,40.3,40.3
74,"(2006) 
Upea Capo d'Orlando",34,6825,2524,35.5,35.4
75,"(2006) 
Montepaschi Siena",34,6875,2943,35.5,35.1
76,"(2006) 
Tisettanta Cantu'",34,6900,2679,35.4,34.9
77,"(2006) 
Armani Jeans Milano",34,6800,2663,35.4,35.4
78,"(2004) 
Sedima Roseto",34,6850,2692,35.4,35.2
79,"(2007) 
Siviglia Wear Teramo",34,6850,2845,35.4,35.2
80,"(2018) 
Banco di Sardegna Sassari",30,5875,2593,40.1,41
81,"(1987) 
Scavolini Pesaro",30,6050,2823,40,39.7
82,"(2005) 
Carpisa Napoli",34,6875,3051,35.3,34.9
83,"(1989) 
Knorr Bologna",30,6000,2664,40,40
84,"(2006) 
Air Avellino",34,6825,2648,35.2,35
85,"(2007) 
Eldo Napoli",34,6875,2672,35.1,34.7
86,"(2007) 
Cimberio Varese",34,6975,2656,35.1,34.2
87,"(2006) 
Bipop Carire R.Emilia",34,6800,2560,35,35
88,"(2007) 
Montepaschi Siena",34,6825,2998,35,34.9
89,"(1989) 
Il Messaggero Roma",30,6025,2802,39.6,39.5
90,"(2002) 
Pippo Milano",34,6850,2743,34.9,34.7
91,"(2002) 
Pompea Napoli",34,6850,2735,34.9,34.7
92,"(1987) 
Banco Roma",30,6025,2776,39.5,39.4
93,"(2006) 
Snaidero Cucine Udine",34,6800,2753,34.8,34.8
94,"(2002) 
Viola Reggio Calabria",34,6850,2607,34.8,34.5
95,"(2007) 
Scavolini Spar Pesaro",34,6825,2762,34.7,34.6
96,"(2006) 
Benetton Treviso",34,6800,2582,34.7,34.7
97,"(2004) 
Lottomatica Roma",34,6850,2761,34.7,34.4
98,"(2003) 
Pompea Napoli",34,6825,2858,34.7,34.5
99,"(1995) 
Scavolini Pesaro",32,6475,2791,36.8,36.4
100,"(2000) 
Müller Verona",34,6850,3056,34.6,34.4
101,"(1989) 
Arimo Bologna",30,6025,2716,39.3,39.1
102,"(1988) 
Scavolini Pesaro",30,6000,2678,39.3,39.3
103,"(2004) 
Air Avellino",34,6800,2737,34.6,34.6
104,"(2004) 
Snaidero Cucine Udine",34,6825,2675,34.5,34.4
105,"(2000) 
Adr Roma",34,6850,2818,34.5,34.2
106,"(1989) 
Philips Milano",30,6000,2797,39.1,39.1
107,"(1992) 
Panasonic R.Calabria",30,6075,2688,39,38.6
108,"(2000) 
De Vizia Avellino",34,6850,2807,34.4,34.1
109,"(2003) 
Oregon Scientific Cantu'",34,6825,2835,34.4,34.2
110,"(2002) 
Carifac Fabriano",34,6925,2460,34.3,33.7
111,"(1988) 
Alno Fabriano",30,6000,2648,38.9,38.9
112,"(2001) 
Euro Roseto",36,7250,3018,32.4,32.2
113,"(2006) 
Eldo Napoli",34,6875,2648,34.3,33.9
114,"(1987) 
Arexons Cantù",30,6075,2815,38.9,38.4
115,"(2017) 
Openjobmetis Varese",30,6050,2355,38.9,38.5
116,"(1987) 
Tracer Milano",30,6025,3055,38.8,38.7
117,"(2003) 
Benetton Treviso",34,6625,2943,34.2,35.1
118,"(2004) 
Vertical Vision Cantu'",34,6850,2911,34.2,34
119,"(2016) 
Dolomiti Energia Trentino",30,6050,2352,38.8,38.4
120,"(2007) 
Snaidero Cucine Udine",34,6825,2591,34.1,34
121,"(2021) 
GeVi Napoli Basket",30,6075,2393,38.7,38.2
122,"(1989) 
Phonola Caserta",30,6050,2789,38.7,38.4
123,"(2011) 
EA7 Armani Milano",32,6400,2532,36.3,36.3
124,"(2004) 
Lauretana Biella",34,6800,2747,34.1,34.1
125,"(2011) 
Sidigas Avellino",32,6475,2480,36.2,35.8
126,"(1992) 
Phonola Caserta",30,6075,2541,38.6,38.2
127,"(2002) 
Lauretana Biella",34,6950,2746,34.1,33.3
128,"(2000) 
BingoSNAI Montecatini",34,6850,2806,34.1,33.8
129,"(2014) 
Acqua Vitasnella Cantù",30,6100,2389,38.6,37.9
130,"(1987) 
Hitachi Venezia",30,6025,2855,38.5,38.4
131,"(1987) 
S. Benedetto Torino",30,6000,2711,38.5,38.5
132,"(1988) 
Phonola Roma",30,6000,2479,38.5,38.5
133,"(2006) 
Legea Scafati",34,6850,2748,34,33.7
134,"(2017) 
The Flexx Pistoia",30,6025,2267,38.5,38.3
135,"(2005) 
Upea Capo d'Orlando",34,6900,2779,33.9,33.4
136,"(2000) 
Benetton Treviso",34,6850,2964,33.9,33.7
137,"(2004) 
Scavolini Pesaro",34,6800,2709,33.9,33.9
138,"(2014) 
Dolomiti Energia Trento",30,6075,2440,38.5,38
139,"(2005) 
Viola R.Calabria",34,6875,2549,33.9,33.5
140,"(2002) 
Metis Varese",34,6825,2695,33.9,33.8
141,"(2016) 
EA7 Emporio Armani Milano",30,6000,2584,38.4,38.4
142,"(2006) 
Lottomatica Roma",34,6925,2556,33.9,33.3
143,"(2023) 
Umana Reyer Venezia",30,6025,2488,38.4,38.2
144,"(1987) 
Allibert Livorno",30,6050,2576,38.4,38
145,"(2007) 
Tisettanta Cantu'",34,6875,2708,33.8,33.5
146,"(2018) 
Vanoli Cremona",30,5850,2484,38.3,39.3
147,"(2018) 
Sidigas Avellino",30,6025,2470,38.3,38.1
148,"(2004) 
Villaggio Solidago Livorno",34,6825,2815,33.7,33.6
149,"(2007) 
Premiata Montegranaro",34,6850,2853,33.7,33.4
150,"(2003) 
Breil Milano",34,6800,2744,33.7,33.7
151,"(2014) 
Banco di Sardegna Sassari",30,6075,2549,38.2,37.7
152,"(1988) 
Philips Milano",30,6000,2760,38.1,38.1
153,"(1988) 
Knorr Bologna",30,6000,2623,38.1,38.1
