#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2001) 
Kinder Bologna",36,7225,3121,27.8,27.7
2,"(2001) 
Benetton Treviso",36,7250,3359,27.6,27.4
3,"(2001) 
Fabriano Basket",36,7275,2983,25.9,25.6
4,"(2000) 
Paf Bologna",34,6900,2750,27.4,27
5,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,30.6,30.2
6,"(2021) 
Virtus Segafredo Bologna",30,6080,2666,30.6,30.2
7,"(2002) 
Benetton Treviso",34,6825,3093,26.9,26.8
8,"(2001) 
Montepaschi Siena",36,7300,2975,25.3,25
9,"(2005) 
Benetton Treviso",34,6875,2862,26.6,26.3
10,"(2000) 
Kinder Bologna",34,6850,3018,26.6,26.4
11,"(2000) 
Montepaschi Siena",34,6875,2810,26.5,26.2
12,"(2001) 
Skipper Bologna",36,7200,3075,24.9,24.9
13,"(2004) 
Benetton Treviso",34,6825,2836,26.4,26.3
14,"(2004) 
Pompea Napoli",34,6900,2885,26.3,25.9
15,"(2001) 
Adecco Milano",36,7300,2953,24.8,24.5
16,"(2001) 
Scavolini Pesaro",36,7275,3003,24.8,24.5
17,"(2001) 
Metis Varese",36,7200,3086,24.5,24.5
18,"(2005) 
Armani Jeans Milano",34,6850,2826,25.9,25.7
19,"(2002) 
Virtus Bologna",34,6850,2659,25.9,25.7
20,"(2002) 
Montepaschi Siena",34,6850,2813,25.8,25.6
21,"(2002) 
Skipper Bologna",34,6800,2796,25.8,25.8
22,"(2005) 
Snaidero Udine",34,6850,2819,25.8,25.6
23,"(2004) 
Montepaschi Siena",34,6825,2875,25.8,25.7
24,"(2004) 
Eurofiditalia R.Calabria",34,6875,2720,25.7,25.5
25,"(2001) 
Fillattice Imola",36,7325,2856,24.3,23.9
26,"(2001) 
Würth Roma",36,7225,2813,24.2,24.1
27,"(2003) 
Teramo Basket",34,6875,3098,25.6,25.3
28,"(2005) 
Angelico Biella",34,6850,2730,25.6,25.4
29,"(2005) 
Navigo.it Teramo",34,6800,2786,25.6,25.6
30,"(2002) 
Pippo Milano",34,6850,2743,25.5,25.3
