#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,21.3,21.3
2,"(1996) 
Kinder Bologna",26,5250,2120,17.8,17.6
3,"(1998) 
Kinder Bologna",26,5225,1776,18.2,18.1
4,"(1996) 
Fontanafredda Siena",26,5225,2020,18.5,18.4
5,"(1997) 
Benetton Treviso",26,5200,1873,18.8,18.8
6,"(2019) 
Openjobmetis Varese",19,3825,1522,25.8,25.6
7,"(1997) 
Kinder Bologna",26,5225,1795,18.9,18.8
8,"(1998) 
Teamsystem Bologna",26,5200,1817,18.9,18.9
9,"(1997) 
Teamsystem Bologna",26,5225,1988,19,18.9
10,"(1998) 
Benetton Treviso",26,5250,1866,19.1,18.9
11,"(2019) 
Germani Basket Brescia",21,4200,1554,23.9,23.9
12,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,25.2,25
13,"(1998) 
Pall. Varese",26,5025,1977,19.4,20.1
14,"(1996) 
Stefanel Milano",26,5200,2002,19.4,19.4
15,"(1996) 
Rolly Pistoia",26,5225,2187,19.7,19.6
16,"(1998) 
Polti Cantu'",26,5075,1818,20.1,20.6
17,"(1999) 
Paf Bologna",30,6000,2060,17.5,17.5
18,"(1997) 
Stefanel Milano",26,5200,2014,20.2,20.2
19,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,25,25
20,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,25.1,24.9
21,"(1996) 
Teamsystem Bologna",26,5225,1932,20.5,20.4
22,"(1998) 
Sony Milano",26,5200,1881,20.5,20.5
23,"(2019) 
Vanoli Cremona",20,4000,1617,26.7,26.7
24,"(1994) 
Buckler Bologna",32,6425,2527,16.8,16.7
25,"(1997) 
Mabo Pistoia",26,5225,2061,20.6,20.5
26,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,27.1,26.7
27,"(1996) 
Scavolini Pesaro",26,5275,2275,21,20.7
28,"(1998) 
Pepsi Rimini",26,5225,1897,21.2,21.1
29,"(2019) 
Umana Reyer Venezia",21,4225,1582,26.2,26.1
30,"(1997) 
Pall. Varese",26,5200,2004,21.3,21.3
31,"(1999) 
Kinder Bologna",30,6000,2033,18.5,18.5
32,"(1996) 
Genertel Trieste",26,5250,2354,21.7,21.5
33,"(1996) 
Telemarket Roma",26,5275,2180,21.8,21.5
34,"(1996) 
Viola Reggio Calabria",26,5250,2213,21.8,21.6
35,"(1998) 
Ducato Siena",26,5250,2022,21.8,21.6
36,"(2009) 
Montepaschi Siena",28,5600,1965,20.3,20.3
37,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,27,26.9
38,"(1997) 
Polti Cantu'",26,5250,2022,21.9,21.7
39,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,27.1,27.1
40,"(1998) 
Calze Pompea Roma",26,5300,1960,22,21.6
41,"(1997) 
Calze Pompea Roma",26,5250,1943,22.1,21.9
42,"(1997) 
Mash J. Verona",26,5225,1993,22.1,22
43,"(1997) 
Scavolini Pesaro",26,5225,2195,22.2,22.1
44,"(1997) 
Viola Reggio Calabria",26,5200,2100,22.3,22.3
45,"(2019) 
Virtus Roma",22,4425,1880,26.3,26.2
46,"(1996) 
Benetton Treviso",26,5225,1967,22.3,22.2
47,"(2019) 
De'Longhi Treviso",21,4200,1664,27.9,27.9
48,"(1997) 
Fontanafredda Siena",26,5225,1983,22.5,22.4
49,"(1996) 
Polti Cantu'",26,5250,2038,22.6,22.4
50,"(1997) 
Pepsi Rimini",26,5200,1938,22.7,22.7
51,"(1996) 
Mash J. Verona",26,5350,2022,22.8,22.1
52,"(1996) 
Cagiva Varese",26,5250,2139,23,22.7
53,"(2019) 
Happy Casa Brindisi",21,4250,1696,28.5,28.1
54,"(1998) 
S.D.A.G. Gorizia",26,5250,2037,23,22.8
55,"(2009) 
NGC Medical Cantu'",28,5625,2114,21.5,21.4
56,"(1998) 
Zucchetti R.Emilia",26,5300,2097,23.2,22.8
57,"(1999) 
Zucchetti Montecatini",30,6000,2230,20.1,20.1
58,"(1998) 
Termal Imola",26,5200,2139,23.2,23.2
59,"(1998) 
Mabo Pistoia",26,5200,2012,23.3,23.3
60,"(1998) 
Müller Verona",26,5300,2096,23.4,23
61,"(2019) 
Oriora Pistoia",22,4400,1832,28,28
62,"(2009) 
Sigma Coatings Montegranaro",28,5650,2232,22,21.8
63,"(1999) 
Pepsi Rimini",30,6025,2270,20.6,20.5
64,"(1995) 
Stefanel Milano",32,6475,2593,19.3,19.1
65,"(1991) 
Il Messaggero Roma",30,6050,2663,20.7,20.5
66,"(2012) 
Lenovo Cantù",30,5825,2031,20.7,21.3
67,"(1999) 
Telit Trieste",30,6025,2211,20.8,20.7
68,"(2016) 
EA7 Emporio Armani Milano",30,6000,2384,20.8,20.8
69,"(1999) 
Benetton Treviso",30,6025,2157,20.8,20.7
70,"(2009) 
Banca Tercas Teramo",28,5600,2171,22.3,22.3
71,"(2009) 
Lottomatica Roma",28,5625,2132,22.4,22.3
72,"(1995) 
Teamsystem Bologna",32,6525,2597,19.7,19.3
73,"(1994) 
Filodoro Bologna",32,6475,2555,19.7,19.5
74,"(1999) 
Scavolini Pesaro",30,6100,2233,21,20.7
75,"(2009) 
Benetton Treviso",28,5625,2278,22.5,22.4
76,"(1992) 
Kleenex Pistoia",30,6050,2523,21.1,20.9
77,"(1999) 
Viola Reggio Calabria",30,6000,2309,21.1,21.1
78,"(1993) 
Filodoro Bologna",30,6050,2375,21.2,21
79,"(1999) 
Bipop-Carire R.Emilia",30,6000,2386,21.2,21.2
80,"(2009) 
Angelico Biella",28,5650,2252,22.7,22.5
81,"(2009) 
Armani Jeans Milano",28,5700,2069,22.8,22.4
82,"(2023) 
Virtus Segafredo Bologna",30,6054,2305,21.3,21.1
83,"(1996) 
C. Montana Forli'",26,5200,2194,24.6,24.6
84,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,32,31.8
85,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,29.1,28.9
86,"(1993) 
Scavolini Pesaro",30,6000,2548,21.4,21.4
87,"(1999) 
Varese Roosters",30,6025,2277,21.4,21.3
88,"(1999) 
Ducato Siena",30,6075,2068,21.4,21.2
89,"(1999) 
Müller Verona",30,6000,2332,21.4,21.4
90,"(2014) 
EA7 Emporio Armani Milano",30,6000,2202,21.4,21.4
91,"(2020) 
Banco di Sardegna Sassari",28,5625,2437,23,22.9
92,"(1988) 
Scavolini Pesaro",30,6000,2600,21.5,21.5
93,"(1995) 
Buckler Bologna",32,6450,2636,20.3,20.1
