#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Openjobmetis Varese",19,3825,1522,10.2,10.1
2,"(2019) 
Umana Reyer Venezia",21,4225,1582,10.5,10.4
3,"(1996) 
Viola Reggio Calabria",26,5250,2213,8.5,8.4
4,"(2019) 
Oriora Pistoia",22,4400,1832,10.2,10.2
5,"(1998) 
Kinder Bologna",26,5225,1776,8.7,8.7
6,"(2019) 
Vanoli Cremona",20,4000,1617,11.3,11.3
7,"(2009) 
Sigma Coatings Montegranaro",28,5650,2232,8.1,8.1
8,"(1997) 
Mabo Pistoia",26,5225,2061,8.8,8.7
9,"(1998) 
Sony Milano",26,5200,1881,8.8,8.8
10,"(2019) 
Germani Basket Brescia",21,4200,1554,11,11
11,"(2016) 
Dolomiti Energia Trentino",30,6050,2201,7.8,7.7
12,"(2020) 
Germani Brescia",28,5650,2389,8.3,8.2
13,"(1998) 
Polti Cantu'",26,5075,1818,9,9.2
14,"(2020) 
Carpegna Prosciutto Pesaro",28,5625,2364,8.4,8.3
15,"(2019) 
Happy Casa Brindisi",21,4250,1696,11.1,11
16,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,11.6,11.6
17,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,8.7,8.7
18,"(2020) 
A|X Armani Exchange Milano",28,5600,2099,8.7,8.7
19,"(1997) 
Fontanafredda Siena",26,5225,1983,9.4,9.3
20,"(1997) 
Benetton Treviso",26,5200,1873,9.5,9.5
21,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,8.3,8.2
22,"(2021) 
A|X Armani Exchange Milano",30,6053,2155,8.3,8.2
23,"(2020) 
Happy Casa Brindisi",28,5600,2212,8.9,8.9
24,"(2011) 
Novipiù Casale Monferrato",32,6525,2447,7.8,7.6
25,"(1999) 
Ducato Siena",30,6075,2068,8.3,8.2
26,"(1996) 
Rolly Pistoia",26,5225,2187,9.6,9.5
27,"(2015) 
Obiettivo Lavoro Bologna",30,6125,2360,8.4,8.2
28,"(2022) 
Givova Scafati",30,6050,2414,8.5,8.4
29,"(2018) 
Dolomiti Energia Trentino",30,6100,2410,8.5,8.4
30,"(2023) 
Vanoli Basket Cremona",30,6050,2389,8.5,8.4
31,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,12.2,12.2
32,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,12.8,12.7
33,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,12.8,12.7
34,"(1999) 
Canturina Cantù",30,6075,2381,8.6,8.5
35,"(2017) 
Dolomiti Energia Trentino",30,6000,2304,8.6,8.6
