#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Openjobmetis Varese",19,3825,1522,36,35.8
2,"(1998) 
Kinder Bologna",26,5225,1776,26.9,26.8
3,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,33.5,33.5
4,"(1996) 
Kinder Bologna",26,5250,2120,27.9,27.7
5,"(2019) 
Germani Basket Brescia",21,4200,1554,34.9,34.9
6,"(1997) 
Benetton Treviso",26,5200,1873,28.3,28.3
7,"(1998) 
Teamsystem Bologna",26,5200,1817,28.9,28.9
8,"(1998) 
Polti Cantu'",26,5075,1818,29.1,29.8
9,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,38,37.7
10,"(2019) 
Vanoli Cremona",20,4000,1617,38,38
11,"(1996) 
Rolly Pistoia",26,5225,2187,29.2,29.1
12,"(1996) 
Stefanel Milano",26,5200,2002,29.3,29.3
13,"(1998) 
Sony Milano",26,5200,1881,29.3,29.3
14,"(1997) 
Mabo Pistoia",26,5225,2061,29.4,29.2
15,"(1997) 
Kinder Bologna",26,5225,1795,29.4,29.2
16,"(1998) 
Pall. Varese",26,5025,1977,29.4,30.4
17,"(1996) 
Fontanafredda Siena",26,5225,2020,29.5,29.3
18,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,36.6,36.6
19,"(2019) 
Umana Reyer Venezia",21,4225,1582,36.7,36.5
20,"(1998) 
Benetton Treviso",26,5250,1866,29.9,29.6
21,"(1996) 
Viola Reggio Calabria",26,5250,2213,30.3,30
22,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,38.1,37.9
23,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,40.2,39.7
24,"(1999) 
Paf Bologna",30,6000,2060,26.9,26.9
25,"(1997) 
Teamsystem Bologna",26,5225,1988,31.1,31
26,"(1997) 
Stefanel Milano",26,5200,2014,31.3,31.3
27,"(1996) 
Teamsystem Bologna",26,5225,1932,31.5,31.3
28,"(1997) 
Fontanafredda Siena",26,5225,1983,31.9,31.8
29,"(2019) 
Happy Casa Brindisi",21,4250,1696,39.6,39.2
30,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,39.7,39.7
31,"(1998) 
Ducato Siena",26,5250,2022,32.1,31.8
32,"(1996) 
Telemarket Roma",26,5275,2180,32.2,31.7
33,"(2019) 
Virtus Roma",22,4425,1880,38,37.8
34,"(1997) 
Scavolini Pesaro",26,5225,2195,32.3,32.2
35,"(2019) 
Oriora Pistoia",22,4400,1832,38.2,38.2
36,"(1998) 
Pepsi Rimini",26,5225,1897,32.4,32.2
37,"(1996) 
Scavolini Pesaro",26,5275,2275,32.4,32
38,"(1997) 
Pall. Varese",26,5200,2004,32.4,32.4
39,"(2009) 
Sigma Coatings Montegranaro",28,5650,2232,30.2,29.9
40,"(1997) 
Viola Reggio Calabria",26,5200,2100,32.6,32.6
41,"(2019) 
De'Longhi Treviso",21,4200,1664,40.4,40.4
42,"(1997) 
Calze Pompea Roma",26,5250,1943,32.7,32.4
43,"(1994) 
Buckler Bologna",32,6425,2527,26.7,26.6
44,"(1996) 
Genertel Trieste",26,5250,2354,33,32.7
45,"(1996) 
Mash J. Verona",26,5350,2022,33,32.1
46,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,41,40.8
47,"(1999) 
Kinder Bologna",30,6000,2033,28.8,28.8
48,"(1998) 
Termal Imola",26,5200,2139,33.3,33.3
49,"(1998) 
Calze Pompea Roma",26,5300,1960,33.4,32.8
50,"(1998) 
S.D.A.G. Gorizia",26,5250,2037,33.4,33.1
51,"(1997) 
Mash J. Verona",26,5225,1993,33.4,33.3
52,"(1998) 
Mabo Pistoia",26,5200,2012,33.5,33.5
53,"(1998) 
Müller Verona",26,5300,2096,33.6,33
54,"(1997) 
Polti Cantu'",26,5250,2022,33.7,33.3
55,"(2012) 
Lenovo Cantù",30,5825,2031,29.4,30.2
56,"(2009) 
Montepaschi Siena",28,5600,1965,31.5,31.5
57,"(2009) 
NGC Medical Cantu'",28,5625,2114,31.6,31.4
58,"(1996) 
Cagiva Varese",26,5250,2139,34.2,33.9
59,"(1999) 
Ducato Siena",30,6075,2068,29.7,29.4
60,"(2009) 
Lottomatica Roma",28,5625,2132,31.9,31.8
61,"(1996) 
Benetton Treviso",26,5225,1967,34.3,34.2
62,"(1997) 
Pepsi Rimini",26,5200,1938,34.4,34.4
63,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,44.8,44.5
64,"(1999) 
Zucchetti Montecatini",30,6000,2230,29.9,29.9
