#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2002) 
Lauretana Biella",34,6950,2746,21.9,21.4
2,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,20.4,20.3
3,"(2001) 
Benetton Treviso",36,7250,3359,20.3,20.1
4,"(2001) 
Kinder Bologna",36,7225,3121,20.1,20
5,"(2001) 
Müller Verona",36,7225,2852,19.9,19.8
6,"(2000) 
Kinder Bologna",34,6850,3018,20.8,20.6
7,"(2002) 
Mabo Prefabbricati Livorno",34,6800,2637,20.6,20.6
8,"(2001) 
Skipper Bologna",36,7200,3075,19.4,19.4
9,"(2001) 
Fillattice Imola",36,7325,2856,19.3,18.9
10,"(2002) 
Oregon Scientific Cantu'",34,6800,2718,20.3,20.3
11,"(2001) 
Coop Nordest Trieste",36,7250,2861,18.9,18.8
12,"(2001) 
De Vizia Avellino",36,7250,2869,18.9,18.8
13,"(2001) 
Mabo Prefabbricati Livorno",36,7250,2979,18.9,18.8
14,"(2002) 
Viola Reggio Calabria",34,6850,2607,20,19.8
15,"(2000) 
Varese Roosters",34,6825,3020,19.9,19.9
16,"(2000) 
De Vizia Avellino",34,6850,2807,19.9,19.7
17,"(2003) 
Metis Varese",34,6850,2906,19.9,19.7
18,"(2001) 
Viola Reggio Calabria",36,7250,2972,18.6,18.5
19,"(2001) 
Metis Varese",36,7200,3086,18.5,18.5
20,"(2002) 
Metis Varese",34,6825,2695,19.5,19.5
21,"(2000) 
Adr Roma",34,6850,2818,19.4,19.2
22,"(2003) 
Air Avellino",34,6825,2834,19.3,19.2
23,"(2006) 
Bipop Carire R.Emilia",34,6800,2560,19.2,19.2
24,"(2001) 
Adecco Milano",36,7300,2953,18.1,17.9
25,"(2003) 
Lauretana Biella",34,6900,2756,19.1,18.9
26,"(2005) 
Lottomatica Roma",34,6900,2740,19.1,18.8
27,"(2007) 
Air Avellino",34,6825,2878,19.1,19
28,"(2002) 
Air Avellino",34,6900,2728,19.1,18.8
29,"(2001) 
Lauretana Biella",36,7300,2966,17.9,17.6
30,"(2004) 
Climamio Bologna",34,6925,2897,18.9,18.6
31,"(2002) 
Benetton Treviso",34,6825,3093,18.9,18.8
32,"(2004) 
Lottomatica Roma",34,6850,2761,18.8,18.7
33,"(2000) 
Viola Reggio Calabria",34,6825,2939,18.8,18.7
34,"(2006) 
Lottomatica Roma",34,6925,2556,18.8,18.4
35,"(2002) 
Lottomatica Roma",34,6825,2670,18.7,18.6
36,"(2007) 
Montepaschi Siena",34,6825,2998,18.7,18.6
37,"(2003) 
Mabo Livorno",34,6850,2765,18.5,18.4
38,"(2001) 
Montepaschi Siena",36,7300,2975,17.4,17.2
39,"(2000) 
Benetton Treviso",34,6850,2964,18.4,18.3
40,"(2004) 
Villaggio Solidago Livorno",34,6825,2815,18.4,18.3
41,"(2000) 
Poliform Cantu'",34,6900,2676,18.3,18
42,"(2001) 
Euro Roseto",36,7250,3018,17.3,17.1
43,"(2000) 
Paf Bologna",34,6900,2750,18.2,18
44,"(2005) 
Climamio Bologna",34,6875,2929,18.2,18
45,"(2001) 
Würth Roma",36,7225,2813,17.1,17.1
46,"(2005) 
Air Avellino",34,6800,2589,18.1,18.1
47,"(2002) 
Euro Roseto",34,6825,2682,18.1,18
48,"(2005) 
Vertical Vision Cantu'",34,6850,2699,18.1,17.9
49,"(2007) 
Upim Bologna",34,6850,2669,18.1,17.9
50,"(2001) 
Scavolini Pesaro",36,7275,3003,17,16.9
51,"(2003) 
Tris Reggio Calabria",34,6900,2733,18,17.7
52,"(2006) 
Montepaschi Siena",34,6875,2943,18,17.8
53,"(2005) 
Bipop Carire R.Emilia",34,6975,2796,18,17.5
54,"(2005) 
VidiVici Bologna",34,6825,2887,18,17.9
55,"(2006) 
TDShop.it Livorno",34,6850,2681,17.9,17.8
56,"(2000) 
Vip Rimini",34,6800,2914,17.9,17.9
57,"(2003) 
Snaidero Cucine Udine",34,6950,2850,17.9,17.5
58,"(2002) 
Skipper Bologna",34,6800,2796,17.8,17.8
59,"(2002) 
Carifac Fabriano",34,6925,2460,17.7,17.4
60,"(2004) 
Lauretana Biella",34,6800,2747,17.7,17.7
61,"(2007) 
Solsonica Rieti",34,6875,2689,17.7,17.5
62,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,17.7,17.5
63,"(2002) 
Snaidero Udine",34,6850,2656,17.7,17.6
64,"(2005) 
Montepaschi Siena",34,6850,2763,17.7,17.5
65,"(2004) 
Bipop Carire RE",34,6875,2657,17.6,17.5
66,"(2003) 
Skipper Bologna",34,6770,2947,17.6,17.7
67,"(2004) 
Vertical Vision Cantu'",34,6850,2911,17.6,17.5
68,"(2008) 
Montepaschi Siena",30,6050,2651,19.9,19.8
69,"(2001) 
Fabriano Basket",36,7275,2983,16.6,16.4
70,"(1995) 
Nuova Tirrena Roma",32,6450,2711,18.6,18.5
71,"(2010) 
Montepaschi Siena",30,6000,2514,19.8,19.8
72,"(2000) 
BingoSNAI Montecatini",34,6850,2806,17.4,17.3
73,"(2007) 
Tisettanta Cantu'",34,6875,2708,17.4,17.2
74,"(2002) 
Scavolini Pesaro",34,6850,2736,17.4,17.2
75,"(2002) 
Pippo Milano",34,6850,2743,17.3,17.2
76,"(2003) 
Coop Nordest Trieste",34,6625,2518,17.3,17.8
77,"(2010) 
Armani Jeans Milano",30,6075,2409,19.6,19.4
78,"(2002) 
Pompea Napoli",34,6850,2735,17.3,17.2
79,"(2004) 
Casti Group Varese",34,6825,2736,17.3,17.2
80,"(1994) 
Teorematour Roma",32,6425,2572,18.3,18.3
81,"(2006) 
Premiata Montegranaro",34,6825,2699,17.2,17.2
82,"(1994) 
Cagiva Varese",32,6475,2874,18.3,18.1
83,"(2005) 
Whirlpool Varese",34,6875,2620,17.2,17
84,"(1995) 
Cagiva Varese",32,6475,2807,18.3,18.1
85,"(2000) 
Scavolini Pesaro",34,6875,2969,17.2,17
86,"(2004) 
Sicc Cucine Jesi",34,6850,2751,17.2,17.1
87,"(2000) 
Lineltex Imola",34,6900,2894,17.1,16.9
88,"(2006) 
Air Avellino",34,6825,2648,17.1,17.1
89,"(2006) 
Legea Scafati",34,6850,2748,17.1,17
90,"(2007) 
Lottomatica Roma",34,6675,2650,17.1,17.4
91,"(2002) 
Acegas Trieste",34,6875,2680,17,16.8
92,"(2005) 
Angelico Biella",34,6850,2730,17,16.9
93,"(2002) 
Montepaschi Siena",34,6850,2813,17,16.8
94,"(2004) 
Armani Jeans Milano",34,6825,2680,17,16.9
95,"(2007) 
Scavolini Spar Pesaro",34,6825,2762,17,16.9
96,"(2003) 
Montepaschi Siena",34,6825,3014,16.9,16.9
97,"(2004) 
Montepaschi Siena",34,6825,2875,16.9,16.9
98,"(2003) 
Breil Milano",34,6800,2744,16.9,16.9
99,"(2007) 
Eldo Napoli",34,6875,2672,16.9,16.7
100,"(2010) 
Angelico Biella",30,6050,2393,19.2,19
101,"(2007) 
La Fortezza Bologna",34,6850,2684,16.9,16.8
102,"(2005) 
Basket Livorno",34,6925,2764,16.9,16.5
103,"(2006) 
Eldo Napoli",34,6875,2648,16.9,16.7
104,"(2007) 
Angelico Biella",34,6875,2725,16.9,16.7
105,"(2000) 
Telit Trieste",34,6625,2683,16.8,17.3
106,"(2000) 
Montepaschi Siena",34,6875,2810,16.7,16.5
107,"(2002) 
Virtus Bologna",34,6850,2659,16.7,16.6
108,"(2007) 
Premiata Montegranaro",34,6850,2853,16.7,16.6
109,"(2003) 
Oregon Scientific Cantu'",34,6825,2835,16.6,16.6
110,"(2004) 
Air Avellino",34,6800,2737,16.6,16.6
111,"(2001) 
Snaidero Udine",36,7225,2858,15.7,15.6
112,"(2004) 
Benetton Treviso",34,6825,2836,16.6,16.5
113,"(2009) 
Montepaschi Siena",28,5600,2485,20.1,20.1
114,"(2000) 
Müller Verona",34,6850,3056,16.5,16.4
115,"(2006) 
VidiVici Bologna",34,6850,2779,16.5,16.4
116,"(2006) 
Angelico Biella",34,6850,2740,16.4,16.3
117,"(2005) 
Armani Jeans Milano",34,6850,2826,16.4,16.3
118,"(2010) 
Vanoli-Braga Cremona",30,6125,2384,18.6,18.2
