#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2001) 
Benetton Treviso",36,7250,3359,51.8,51.8
2,"(1987) 
Basket Brescia",30,6100,3035,51.8,51.8
3,"(1987) 
Tracer Milano",30,6025,3055,55.4,55.4
4,"(1989) 
Scavolini Pesaro",30,6025,2944,53.8,53.8
5,"(2001) 
Skipper Bologna",36,7200,3075,49.7,49.7
6,"(1990) 
Scavolini Pesaro",30,6050,3004,55.7,55.7
7,"(2001) 
Metis Varese",36,7200,3086,48.5,48.5
8,"(2002) 
Benetton Treviso",34,6825,3093,52.3,52.3
9,"(2001) 
Kinder Bologna",36,7225,3121,51.3,51.3
10,"(2001) 
Viola Reggio Calabria",36,7250,2972,47.1,47.1
11,"(1988) 
Enichem Livorno",30,6050,2897,55.3,55.3
12,"(2000) 
Varese Roosters",34,6825,3020,48.7,48.7
13,"(1987) 
Divarese Varese",30,6100,2840,52,52
14,"(2000) 
Kinder Bologna",34,6850,3018,51.3,51.3
15,"(2001) 
Montepaschi Siena",36,7300,2975,52.3,52.3
16,"(1990) 
Filanto Forli'",30,6025,2980,51.7,51.7
17,"(2000) 
Müller Verona",34,6850,3056,49.7,49.7
18,"(2000) 
Viola Reggio Calabria",34,6825,2939,49.7,49.7
19,"(1989) 
A. Ranger Varese",30,6025,2860,52.5,52.5
20,"(2001) 
Scavolini Pesaro",36,7275,3003,48.6,48.6
21,"(1990) 
A. Ranger Varese",30,6075,2802,52.4,52.4
22,"(2001) 
Euro Roseto",36,7250,3018,49.3,49.3
23,"(2001) 
Oregon Scientific Cantu'",36,7225,2979,48,48
24,"(2000) 
Vip Rimini",34,6800,2914,48.4,48.4
25,"(1989) 
Il Messaggero Roma",30,6025,2802,53.5,53.5
26,"(1987) 
Hitachi Venezia",30,6025,2855,53.2,53.2
27,"(1987) 
Banco Roma",30,6025,2776,54.2,54.2
28,"(2005) 
Carpisa Napoli",34,6875,3051,50.2,50.2
29,"(1987) 
Snaidero Caserta",30,6000,2927,50.2,50.2
30,"(1987) 
Neutroroberts Firenze",30,6075,2689,50.4,50.4
31,"(2000) 
Scavolini Pesaro",34,6875,2969,48.7,48.7
32,"(2001) 
Lauretana Biella",36,7300,2966,46.8,46.8
33,"(1990) 
Auxilium Torino",30,6020,2903,56.1,56.1
34,"(2001) 
Mabo Prefabbricati Livorno",36,7250,2979,48.4,48.4
35,"(2003) 
Montepaschi Siena",34,6825,3014,50,50
36,"(2007) 
Pierrel Capo d'Orlando",34,6875,2941,48.2,48.2
37,"(2003) 
Benetton Treviso",34,6625,2943,52.8,52.8
38,"(1987) 
Scavolini Pesaro",30,6050,2823,51.6,51.6
39,"(1990) 
Benetton Treviso",30,6000,2742,53.9,53.9
40,"(1991) 
Benetton Treviso",30,6000,2736,55.5,55.5
41,"(2003) 
Teramo Basket",34,6875,3098,46.4,46.4
42,"(2001) 
Adecco Milano",36,7300,2953,46.5,46.5
43,"(2000) 
Snaidero Udine",34,6850,2829,48.5,48.5
44,"(2007) 
Air Avellino",34,6825,2878,49,49
45,"(2001) 
Fabriano Basket",36,7275,2983,44.2,44.2
46,"(1988) 
Philips Milano",30,6000,2760,52.7,52.7
47,"(1991) 
Philips Milano",30,6050,2842,53.4,53.4
48,"(1987) 
Arexons Cantù",30,6075,2815,53,53
49,"(1989) 
Philips Milano",30,6000,2797,51.2,51.2
50,"(2005) 
Climamio Bologna",34,6875,2929,48.7,48.7
51,"(2007) 
Montepaschi Siena",34,6825,2998,50.4,50.4
52,"(1989) 
Enimont Livorno",30,6025,2699,53.1,53.1
53,"(2003) 
Pompea Napoli",34,6825,2858,49.5,49.5
54,"(2003) 
Scavolini Pesaro",34,6700,2918,50.9,50.9
55,"(2001) 
De Vizia Avellino",36,7250,2869,48.3,48.3
56,"(2001) 
Müller Verona",36,7225,2852,46.2,46.2
57,"(2000) 
Adecco Milano",34,6875,2870,48.6,48.6
58,"(2006) 
Montepaschi Siena",34,6875,2943,49.1,49.1
59,"(1995) 
Buckler Bologna",32,6450,2889,54.9,54.9
60,"(2003) 
Skipper Bologna",34,6770,2947,50,50
61,"(2004) 
Pompea Napoli",34,6900,2885,48.5,48.5
62,"(1994) 
Cagiva Varese",32,6475,2874,54.6,54.6
63,"(2005) 
Benetton Treviso",34,6875,2862,49.2,49.2
64,"(2000) 
Benetton Treviso",34,6850,2964,51.3,51.3
65,"(2004) 
Lauretana Biella",34,6800,2747,47.7,47.7
66,"(2003) 
Air Avellino",34,6825,2834,49.7,49.7
67,"(1987) 
Dietor Bologna",30,6075,2695,49.3,49.3
68,"(2001) 
Snaidero Udine",36,7225,2858,47.6,47.6
69,"(2002) 
Montepaschi Siena",34,6850,2813,50.3,50.3
70,"(1987) 
Wuber Napoli",30,6100,2634,49.8,49.8
71,"(1991) 
Il Messaggero Roma",30,6050,2778,55.3,55.3
72,"(1987) 
Allibert Livorno",30,6050,2576,51.9,51.9
73,"(1990) 
Phonola Caserta",30,6050,2689,52,52
74,"(2000) 
BingoSNAI Montecatini",34,6850,2806,48.6,48.6
