#,Squadra,Giocate,Min,Totale,Media,40 Min
1,"(2019) 
Openjobmetis Varese",19,3825,1522,45.8,45.8
2,"(2019) 
Segafredo Virtus Bologna",20,4025,1500,40.2,40.2
3,"(2019) 
Germani Basket Brescia",21,4200,1554,43.1,43.1
4,"(2019) 
A|X Armani Exchange Milano",21,4200,1555,42,42
5,"(2019) 
Umana Reyer Venezia",21,4225,1582,44.1,44.1
6,"(2019) 
De'Longhi Treviso",21,4200,1664,46,46
7,"(2019) 
Vanoli Cremona",20,4000,1617,47.1,47.1
8,"(2019) 
S.Bernardo-Cinelandia Cantù",20,4050,1580,45.2,45.2
9,"(2019) 
Dolomiti Energia Trentino",21,4225,1665,44.1,44.1
10,"(1997) 
Kinder Bologna",26,5225,1795,42.3,42.3
11,"(2019) 
Banco di Sardegna Sassari",21,4200,1594,42.9,42.9
12,"(1998) 
Polti Cantu'",26,5075,1818,48.3,48.3
13,"(1998) 
Kinder Bologna",26,5225,1776,46.2,46.2
14,"(2019) 
Allianz Pallacanestro Trieste",22,4425,1770,45.2,45.2
15,"(2019) 
Happy Casa Brindisi",21,4250,1696,46.2,46.2
16,"(1998) 
Sony Milano",26,5200,1881,47.2,47.2
17,"(1998) 
Pall. Varese",26,5025,1977,47.1,47.1
18,"(1998) 
Benetton Treviso",26,5250,1866,45.9,45.9
19,"(2019) 
Pompea Fortitudo Bologna",21,4225,1670,45.1,45.1
20,"(1998) 
Teamsystem Bologna",26,5200,1817,46.5,46.5
21,"(1997) 
Benetton Treviso",26,5200,1873,46.2,46.2
22,"(1998) 
Calze Pompea Roma",26,5300,1960,45.4,45.4
23,"(1998) 
Pepsi Rimini",26,5225,1897,47.9,47.9
24,"(1997) 
Mash J. Verona",26,5225,1993,47.6,47.6
25,"(2019) 
Virtus Roma",22,4425,1880,46.1,46.1
26,"(2019) 
Grissin Bon Reggio Emilia",21,4200,1763,47.3,47.3
27,"(1997) 
Calze Pompea Roma",26,5250,1943,47.2,47.2
28,"(2019) 
Oriora Pistoia",22,4400,1832,48.4,48.4
29,"(2009) 
Montepaschi Siena",28,5600,1965,43.1,43.1
30,"(1999) 
Kinder Bologna",30,6000,2033,43.1,43.1
31,"(1997) 
Pall. Varese",26,5200,2004,46.2,46.2
32,"(2019) 
Carpegna Prosciutto Basket Pesaro",20,4025,1849,50.2,50.2
33,"(1997) 
Pepsi Rimini",26,5200,1938,49.2,49.2
34,"(1997) 
Stefanel Milano",26,5200,2014,47.3,47.3
35,"(1998) 
Ducato Siena",26,5250,2022,48.6,48.6
36,"(1996) 
Stefanel Milano",26,5200,2002,47.8,47.8
